"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABAB","1741","1440","301","147","124","23"
"ABSO","1741","1440","301","123","111","12"
"ABVA","1741","1440","301","117","107","10"
"ACAC","1741","1440","301","145","108","37"
"ACAN","1741","1440","301","4","2","2"
"ACBL","1741","1440","301","442","376","66"
"ACDU","1741","1440","301","574","443","131"
"ACGU","1741","1440","301","37","35","2"
"ACLE","1741","1440","301","677","574","103"
"ACNC","1741","1440","301","68","49","19"
"ACNF","1741","1440","301","1541","1273","268"
"ACNR","1741","1440","301","361","275","86"
"ACOL","1741","1440","301","1091","897","194"
"ACSP","1741","1440","301","62","53","9"
"ACTH","1741","1440","301","179","153","26"
"ACTR","1741","1440","301","477","446","31"
"ACXA","1741","1440","301","68","65","3"
"AEOC","1741","1440","301","18","17","1"
"ALSC","1741","1440","301","10","9","1"
"AMBI","1741","1440","301","5","1","4"
"ANCH","1741","1440","301","162","148","14"
"ANCU","1741","1440","301","188","156","32"
"APAR","1741","1440","301","118","102","16"
"APFU","1741","1440","301","332","274","58"
"APSP","1741","1440","301","23","22","1"
"APVI","1741","1440","301","290","270","20"
"ARHI","1741","1440","301","8","5","3"
"ARME","1741","1440","301","21","9","12"
"AUCH","1741","1440","301","228","195","33"
"BAPO","1741","1440","301","19","18","1"
"BLEN","1741","1440","301","28","24","4"
"BOAL","1741","1440","301","982","819","163"
"CAAB","1741","1440","301","10","10","0"
"CAAM","1741","1440","301","262","214","48"
"CACA","1741","1440","301","257","227","30"
"CACO","1741","1440","301","241","206","35"
"CADU","1741","1440","301","155","138","17"
"CAFE","1741","1440","301","23","22","1"
"CAGA","1741","1440","301","3","2","1"
"CAIG","1741","1440","301","16","15","1"
"CAJA","1741","1440","301","1293","1046","247"
"CAME","1741","1440","301","366","340","26"
"CAOR","1741","1440","301","40","38","2"
"CASA","1741","1440","301","270","246","24"
"CATY","1741","1440","301","45","28","17"
"CAZO","1741","1440","301","17","16","1"
"CEAR","1741","1440","301","775","646","129"
"CEFI","1741","1440","301","121","106","15"
"CELO","1741","1440","301","26","22","4"
"CEPO","1741","1440","301","590","470","120"
"CHAG","1741","1440","301","482","376","106"
"CHAU","1741","1440","301","214","204","10"
"CHCH","1741","1440","301","17","16","1"
"CHFR","1741","1440","301","213","190","23"
"CHHA","1741","1440","301","648","515","133"
"CHIN","1741","1440","301","41","36","5"
"CHKL","1741","1440","301","318","286","32"
"CHLC","1741","1440","301","20","18","2"
"CHLT","1741","1440","301","59","58","1"
"CHLU","1741","1440","301","424","373","51"
"CHMI","1741","1440","301","314","271","43"
"CHMU","1741","1440","301","966","803","163"
"CHOR","1741","1440","301","663","594","69"
"CHOV","1741","1440","301","275","208","67"
"CHPE","1741","1440","301","112","90","22"
"CHQU","1741","1440","301","658","552","106"
"CHSL","1741","1440","301","563","480","83"
"CHTI","1741","1440","301","9","7","2"
"CHUB","1741","1440","301","287","234","53"
"CHUN","1741","1440","301","182","161","21"
"CHVA","1741","1440","301","1299","1033","266"
"CHVE","1741","1440","301","218","180","38"
"CIFA","1741","1440","301","502","390","112"
"CIPI","1741","1440","301","181","155","26"
"CIVA","1741","1440","301","192","145","47"
"COFL","1741","1440","301","49","37","12"
"COGA","1741","1440","301","670","579","91"
"CONG","1741","1440","301","3","2","1"
"COVE","1741","1440","301","633","514","119"
"CTHA","1741","1440","301","184","156","28"
"CTST","1741","1440","301","967","792","175"
"DAAL","1741","1440","301","346","293","53"
"DEBA","1741","1440","301","4","3","1"
"DEMA","1741","1440","301","152","144","8"
"DIHO","1741","1440","301","5","4","1"
"DIHY","1741","1440","301","26","21","5"
"ENCA","1741","1440","301","5","3","2"
"EXBR","1741","1440","301","81","68","13"
"FICO","1741","1440","301","111","106","5"
"FISH","1741","1440","301","3","2","1"
"FOFL","1741","1440","301","574","503","71"
"FOLO","1741","1440","301","152","137","15"
"GOBI","1741","1440","301","9","4","5"
"GOVA","1741","1440","301","664","573","91"
"GUCU","1741","1440","301","77","63","14"
"GYEU","1741","1440","301","21","16","5"
"GYFL","1741","1440","301","101","87","14"
"GYJA","1741","1440","301","10","9","1"
"GYME","1741","1440","301","180","140","40"
"GYMT","1741","1440","301","16","13","3"
"GYSP","1741","1440","301","17","14","3"
