"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABSO","873","606","267","3","2","1"
"ABVA","873","606","267","23","19","4"
"ACAC","873","606","267","6","4","2"
"ACBL","873","606","267","110","60","50"
"ACDU","873","606","267","36","28","8"
"ACGU","873","606","267","22","17","5"
"ACLE","873","606","267","164","120","44"
"ACLI","873","606","267","147","92","55"
"ACNC","873","606","267","515","343","172"
"ACNF","873","606","267","845","586","259"
"ACNI","873","606","267","93","62","31"
"ACNR","873","606","267","71","56","15"
"ACNU","873","606","267","19","10","9"
"ACOL","873","606","267","440","309","131"
"ACPY","873","606","267","319","216","103"
"ACSP","873","606","267","10","6","4"
"ACTH","873","606","267","148","115","33"
"ACTR","873","606","267","16","13","3"
"ACXA","873","606","267","44","36","8"
"AEOC","873","606","267","4","3","1"
"AERO","873","606","267","6","4","2"
"AMCH","873","606","267","42","29","13"
"AMCL","873","606","267","14","12","2"
"AMFA","873","606","267","21","13","8"
"AMME","873","606","267","5","3","2"
"AMSC","873","606","267","24","19","5"
"AMSP","873","606","267","4","1","3"
"ANCA","873","606","267","176","156","20"
"ANMG","873","606","267","38","29","9"
"ANSP","873","606","267","3","1","2"
"ANTH","873","606","267","2","0","2"
"ANTW","873","606","267","78","59","19"
"APFU","873","606","267","397","293","104"
"APSP","873","606","267","30","7","23"
"APTR","873","606","267","152","130","22"
"APVI","873","606","267","36","28","8"
"ARHI","873","606","267","6","1","5"
"ARME","873","606","267","24","15","9"
"ARNI","873","606","267","18","11","7"
"ASTA","873","606","267","5","2","3"
"AUCH","873","606","267","24","14","10"
"BACO","873","606","267","22","17","5"
"BAUN","873","606","267","556","452","104"
"BAVI","873","606","267","31","25","6"
"BIGE","873","606","267","2","0","2"
"BLCH","873","606","267","4","1","3"
"BLEN","873","606","267","118","106","12"
"BOAN","873","606","267","23","20","3"
"BOAX","873","606","267","112","77","35"
"BUTT","873","606","267","3","1","2"
"CAAB","873","606","267","29","22","7"
"CAAM","873","606","267","14","13","1"
"CABE","873","606","267","3","1","2"
"CACA","873","606","267","167","143","24"
"CACE","873","606","267","8","7","1"
"CACO","873","606","267","8","5","3"
"CADU","873","606","267","118","94","24"
"CAFE","873","606","267","10","8","2"
"CAIG","873","606","267","13","10","3"
"CAJN","873","606","267","13","10","3"
"CALU","873","606","267","65","45","20"
"CAMC","873","606","267","26","6","20"
"CAME","873","606","267","268","208","60"
"CAML","873","606","267","19","18","1"
"CAOR","873","606","267","45","34","11"
"CAPA","873","606","267","197","154","43"
"CARD","873","606","267","21","18","3"
"CASE","873","606","267","18","11","7"
"CASO","873","606","267","160","114","46"
"CASP","873","606","267","2","0","2"
"CATE","873","606","267","89","68","21"
"CAVA","873","606","267","13","8","5"
"CEAR","873","606","267","322","229","93"
"CEBI","873","606","267","2","1","1"
"CEFI","873","606","267","4","2","2"
"CEFL","873","606","267","657","468","189"
"CEHE","873","606","267","127","98","29"
"CELE","873","606","267","10","6","4"
"CELO","873","606","267","3","2","1"
"CEMI","873","606","267","3","1","2"
"CEOC","873","606","267","8","7","1"
"CESH","873","606","267","378","251","127"
"CESO","873","606","267","2","1","1"
"CESX","873","606","267","14","10","4"
"CEUR","873","606","267","774","537","237"
"CHAC","873","606","267","487","303","184"
"CHAG","873","606","267","383","218","165"
"CHAL","873","606","267","30","27","3"
"CHAM","873","606","267","13","9","4"
"CHAR","873","606","267","7","2","5"
"CHAU","873","606","267","152","123","29"
"CHBE","873","606","267","23","21","2"
"CHBR","873","606","267","139","97","42"
"CHCI","873","606","267","257","197","60"
"CHCL","873","606","267","40","38","2"
"CHEP","873","606","267","101","88","13"
"CHFA","873","606","267","27","23","4"
"CHFL","873","606","267","5","3","2"
"CHFN","873","606","267","34","27","7"
"CHGL","873","606","267","3","1","2"
"CHIN","873","606","267","11","10","1"
"CHKL","873","606","267","21","12","9"
"CHLT","873","606","267","71","65","6"
"CHLU","873","606","267","210","178","32"
"CHMA","873","606","267","348","251","97"
"CHMC","873","606","267","94","74","20"
"CHMD","873","606","267","8","5","3"
"CHME","873","606","267","5","2","3"
"CHML","873","606","267","6","5","1"
"CHMR","873","606","267","88","63","25"
"CHOR","873","606","267","330","254","76"
"CHOX","873","606","267","120","115","5"
"CHPU","873","606","267","410","278","132"
"CHQN","873","606","267","8","5","3"
"CHQU","873","606","267","252","186","66"
"CHRE","873","606","267","351","271","80"
"CHSL","873","606","267","374","279","95"
"CHTL","873","606","267","167","135","32"
"CHTR","873","606","267","35","19","16"
"CHTY","873","606","267","145","103","42"
"CHUB","873","606","267","186","155","31"
"CHUD","873","606","267","32","28","4"
"CHUL","873","606","267","52","44","8"
"CHUN","873","606","267","34","21","13"
"CHVA","873","606","267","355","219","136"
"CHVR","873","606","267","4","2","2"
