"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSO","1_nSPC","0.25","-2.4839"," 2.7442","8.6"," 1.955","27.510","0.0816","0.0816","0.005","0.0050","4.1e-04","4.1e-04"
"ABSO","2_BLT","0.25","-2.4839"," 2.7442","8.6"," 1.955","27.510","0.0026","0.0021","0.020","0.0023","5.3e-05","4.8e-06"
"ABVA","1_nSPC","-0.82","-1.9661"," 0.3806","1","0.2042","3.0939","0.180","0.180","0.0098","0.0098","1.8e-03","0.00176"
"ABVA","2_BLT","-0.82","-1.9661"," 0.3806","1","0.2042","3.0939","0.012","0.026","0.0075","0.0072","8.8e-05","0.00019"
"ACAC","1_nSPC","-0.14","-1.9644"," 1.7472","8.5e+08","3.046e-03","4.938e+06","0.0086","0.0086","0.0024","2.4e-03","2.0e-05","2e-05"
"ACAC","2_BLT","-0.14","-1.9644"," 1.7472","8.5e+08","3.046e-03","4.938e+06","0.0058","0.0067","0.0050","5.9e-12","2.9e-05","4e-14"
"ACBL","1_nSPC","0.67","0.2349","1.0868","1.2","0.8808","1.5189","0.14","0.14","0.0030","0.0030","0.00044","0.00044"
"ACBL","2_BLT","0.67","0.2349","1.0868","1.2","0.8808","1.5189","0.16","0.09","0.0032","0.0027","0.00052","0.00024"
"ACDU","1_nSPC","-0.69","-1.5021"," 0.1711","1.6","0.8105","2.8999","0.050","0.050","0.0023","0.0023","0.00011","0.00011"
"ACDU","2_BLT","-0.69","-1.5021"," 0.1711","1.6","0.8105","2.8999","0.023","0.046","0.0048","0.0030","0.00011","0.00013"
"ACGU","1_nSPC","-0.71","-1.7047"," 0.2504","6"," 1.115","19.159","0.147","0.147","0.0084","0.0084","0.00124","0.00124"
"ACGU","2_BLT","-0.71","-1.7047"," 0.2504","6"," 1.115","19.159","0.023","0.045","0.0383","0.0064","0.00087","0.00029"
"ACLE","1_nSPC","-0.67","-1.1233","-0.2199","3.6","2.101","5.424","0.28","0.28","0.017","0.017","0.0047","0.0047"
"ACLE","2_BLT","-0.67","-1.1233","-0.2199","3.6","2.101","5.424","0.14","0.24","0.137","0.038","0.0188","0.0091"
"ACLI","1_nSPC","0.13","-0.2631"," 0.5374","1.5","0.9539","2.0861","0.33","0.33","0.014","0.0145","0.0047","0.0047"
"ACLI","2_BLT","0.13","-0.2631"," 0.5374","1.5","0.9539","2.0861","0.18","0.16","0.010","0.0069","0.0018","0.0011"
"ACNC","1_nSPC","0.15","-0.1828"," 0.4760","3.4","2.831","4.183","0.64","0.64","0.014","0.014","0.0088","0.0088"
"ACNC","2_BLT","0.15","-0.1828"," 0.4760","3.4","2.831","4.183","0.48","0.44","0.053","0.015","0.0253","0.0069"
"ACNF","1_nSPC","0.17","-0.6565"," 1.0533","3.1","2.698","3.513","0.94","0.94","0.031","0.031","0.029","0.029"
"ACNF","2_BLT","0.17","-0.6565"," 1.0533","3.1","2.698","3.513","0.96","0.96","0.103","0.033","0.099","0.032"
"ACNI","1_nSPC","-0.041","-0.49113"," 0.41969","1.6","1.116","2.097","0.098","0.098","0.0022","0.0022","0.00021","0.00021"
"ACNI","2_BLT","-0.041","-0.49113"," 0.41969","1.6","1.116","2.097","0.144","0.149","0.0086","0.0055","0.00124","0.00082"
"ACNR","1_nSPC","-0.62","-1.19514","-0.01638","2.7","1.294","5.255","0.112","0.112","0.0066","0.0066","0.00074","0.00074"
"ACNR","2_BLT","-0.62","-1.19514","-0.01638","2.7","1.294","5.255","0.042","0.076","0.0111","0.0041","0.00047","0.00031"
"ACNU","1_nSPC","0.7","-0.2753"," 1.6403","0.45","0.1706","0.9346","0.015","0.015","0.026","0.026","0.00037","0.00037"
"ACNU","2_BLT","0.7","-0.2753"," 1.6403","0.45","0.1706","0.9346","0.028","0.014","0.029","0.065","0.00083","0.00092"
"ACOL","1_nSPC","-0.23","-0.53491"," 0.07886","2.1","1.713","2.550","0.48","0.48","0.0067","0.0067","0.0032","0.0032"
"ACOL","2_BLT","-0.23","-0.53491"," 0.07886","2.1","1.713","2.550","0.54","0.60","0.0156","0.0074","0.0085","0.0044"
"ACPY","1_nSPC","-0.067","-0.44684"," 0.27381","2.4","2.009","2.840","0.39","0.39","0.0041","0.0041","0.0016","0.0016"
"ACPY","2_BLT","-0.067","-0.44684"," 0.27381","2.4","2.009","2.840","0.30","0.31","0.0105","0.0044","0.0031","0.0014"
"ACSP","1_nSPC","0.21","-1.1776"," 1.4741","297","   1.16","1804.36","0.015","0.015","0.0076","0.0076","0.00011","1.1e-04"
"ACSP","2_BLT","0.21","-1.1776"," 1.4741","297","   1.16","1804.36","0.013","0.010","0.3375","0.0011","0.00431","1.2e-05"
"ACTH","1_nSPC","-0.74","-1.1989","-0.2716","2.1","1.336","3.379","0.233","0.23","0.015","0.015","0.0034","0.0034"
"ACTH","2_BLT","-0.74","-1.1989","-0.2716","2.1","1.336","3.379","0.099","0.19","0.037","0.017","0.0036","0.0032"
"ACTR","1_nSPC","-0.67","-1.9154"," 0.5696","7391707","2.449e-03","4.483e+05","0.060","0.060","0.0343","3.4e-02","2e-03","2.0e-03"
