"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSO","1_nSPC","Global",0,1.9,0.08,0.08,0,0,0,0
"ABSO","2_BLT","Global",0,1.9,0,0,0.02,0.01,0,0
"ABSP","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"ABSX","1_nSPC","Global",0,1.9,0.01,0.01,0.01,0.01,0,0
"ABVA","1_nSPC","Global",0,1.9,0.18,0.18,0.01,0.01,0,0
"ABVA","2_BLT","Global",0,1.9,0.01,0.01,0.01,0,0,0
"ACAC","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"ACAC","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"ACBL","1_nSPC","Global",0,1.9,0.14,0.14,0,0,0,0
"ACBL","2_BLT","Global",0,1.9,0.16,0.16,0,0,0,0
"ACDU","1_nSPC","Global",0,1.9,0.05,0.05,0,0,0,0
"ACDU","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"ACGU","1_nSPC","Global",0,1.9,0.15,0.15,0.01,0.01,0,0
"ACGU","2_BLT","Global",0,1.9,0.02,0.02,0.04,0.02,0,0
"ACLE","1_nSPC","Global",0,1.9,0.28,0.28,0.02,0.02,0,0
"ACLE","2_BLT","Global",0,1.9,0.14,0.14,0.14,0.07,0.02,0.01
"ACLI","1_nSPC","Global",0,1.9,0.33,0.33,0.01,0.01,0,0
"ACLI","2_BLT","Global",0,1.9,0.18,0.18,0.01,0.01,0,0
"ACMA","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"ACMT","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"ACNC","1_nSPC","Global",0,1.9,0.64,0.64,0.01,0.01,0.01,0.01
"ACNC","2_BLT","Global",0,1.9,0.48,0.48,0.05,0.03,0.03,0.01
"ACNF","1_nSPC","Global",0,1.9,0.94,0.94,0.03,0.03,0.03,0.03
"ACNF","2_BLT","Global",0,1.9,0.96,0.96,0.1,0.05,0.1,0.05
"ACNI","1_nSPC","Global",0,1.9,0.1,0.1,0,0,0,0
"ACNI","2_BLT","Global",0,1.9,0.14,0.14,0.01,0,0,0
"ACNR","1_nSPC","Global",0,1.9,0.11,0.11,0.01,0.01,0,0
"ACNR","2_BLT","Global",0,1.9,0.04,0.04,0.01,0.01,0,0
"ACNU","1_nSPC","Global",0,1.9,0.01,0.01,0.03,0.03,0,0
"ACNU","2_BLT","Global",0,1.9,0.03,0.03,0.03,0.02,0,0
"ACOL","1_nSPC","Global",0,1.9,0.48,0.48,0.01,0.01,0,0
"ACOL","2_BLT","Global",0,1.9,0.54,0.54,0.02,0.01,0.01,0
"ACPY","1_nSPC","Global",0,1.9,0.39,0.39,0,0,0,0
"ACPY","2_BLT","Global",0,1.9,0.3,0.3,0.01,0.01,0,0
"ACSO","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"ACSP","1_nSPC","Global",0,1.9,0.01,0.01,0.01,0.01,0,0
"ACSP","2_BLT","Global",0,1.9,0.01,0.01,0.34,0.18,0,0
"ACTH","1_nSPC","Global",0,1.9,0.23,0.23,0.01,0.01,0,0
"ACTH","2_BLT","Global",0,1.9,0.1,0.1,0.04,0.02,0,0
"ACTR","1_nSPC","Global",0,1.9,0.06,0.06,0.03,0.03,0,0
"ACTR","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"ACXA","1_nSPC","Global",0,1.9,0.08,0.08,0,0,0,0
"ACXA","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"AEOC","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"AEOC","2_BLT","Global",0,1.9,0,0,0,0,0,0
"AERO","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"AERO","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"ALSC","1_nSPC","Global",0,1.9,0.04,0.04,0,0,0,0
"AMBI","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"AMCH","1_nSPC","Global",0,1.9,0.06,0.06,0,0,0,0
"AMCH","2_BLT","Global",0,1.9,0.03,0.03,0.01,0.01,0,0
"AMCL","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"AMCL","2_BLT","Global",0,1.9,0,0,0.01,0,0,0
"AMCU","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"AMFA","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"AMFA","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"AMGU","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"AMME","1_nSPC","Global",0,1.9,0.01,0.01,0.01,0.01,0,0
"AMME","2_BLT","Global",0,1.9,0.01,0.01,0.02,0.01,0,0
"AMPE","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"AMPH","1_nSPC","Global",0,1.9,0,0,0.02,0.02,0,0
"AMSC","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"AMSC","2_BLT","Global",0,1.9,0.02,0.02,0.01,0.01,0,0
"AMSP","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"AMSP","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"ANCA","1_nSPC","Global",0,1.9,0.32,0.32,0,0,0,0
"ANCA","2_BLT","Global",0,1.9,0.05,0.05,0.01,0,0,0
"ANGE","2_BLT","Global",0,1.9,0,0,0,0,0,0
"ANME","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"ANMG","1_nSPC","Global",0,1.9,0.04,0.04,0,0,0,0
"ANMG","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"ANSP","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"ANSP","2_BLT","Global",0,1.9,0,0,0,0,0,0
"ANTH","1_nSPC","Global",0,1.9,0.01,0.01,0.03,0.03,0,0
"ANTH","2_BLT","Global",0,1.9,0.01,0.01,0.4,0.21,0,0
"ANTW","1_nSPC","Global",0,1.9,0.09,0.09,0,0,0,0
"ANTW","2_BLT","Global",0,1.9,0.05,0.05,0.01,0.01,0,0
"APFU","1_nSPC","Global",0,1.9,0.49,0.49,0,0,0,0
"APFU","2_BLT","Global",0,1.9,0.31,0.31,0.01,0,0,0
"APSP","1_nSPC","Global",0,1.9,0.01,0.01,0.02,0.02,0,0
"APSP","2_BLT","Global",0,1.9,0.06,0.06,0.01,0,0,0
