"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",0,2.41,0.09,0.09,0.01,0.01,0,0
"ABAB","2_BLT","Global",0,2.41,0.07,0.07,0.02,0.01,0,0
"ABSO","1_nSPC","Global",0,2.41,0.09,0.09,0,0,0,0
"ABSO","2_BLT","Global",0,2.41,0.04,0.04,0.01,0,0,0
"ABVA","1_nSPC","Global",0,2.41,0.09,0.09,0.01,0.01,0,0
"ABVA","2_BLT","Global",0,2.41,0.05,0.05,0.01,0.01,0,0
"ACAC","1_nSPC","Global",0,2.41,0.08,0.08,0,0,0,0
"ACAC","2_BLT","Global",0,2.41,0.07,0.07,0.01,0,0,0
"ACAN","1_nSPC","Global",0,2.41,0,0,0,0,0,0
"ACAN","2_BLT","Global",0,2.41,0,0,0.01,0,0,0
"ACBL","1_nSPC","Global",0,2.41,0.32,0.32,0,0,0,0
"ACBL","2_BLT","Global",0,2.41,0.24,0.24,0.01,0,0,0
"ACDU","1_nSPC","Global",0,2.41,0.34,0.34,0,0,0,0
"ACDU","2_BLT","Global",0,2.41,0.44,0.44,0.01,0,0,0
"ACGU","1_nSPC","Global",0,2.41,0.03,0.03,0,0,0,0
"ACGU","2_BLT","Global",0,2.41,0.01,0.01,0.02,0.01,0,0
"ACLE","1_nSPC","Global",0,2.41,0.42,0.42,0.02,0.02,0.01,0.01
"ACLE","2_BLT","Global",0,2.41,0.31,0.31,0.03,0.01,0.01,0
"ACNC","1_nSPC","Global",0,2.41,0.04,0.04,0,0,0,0
"ACNC","2_BLT","Global",0,2.41,0.03,0.03,0.01,0,0,0
"ACNF","1_nSPC","Global",0,2.41,0.89,0.89,0.03,0.03,0.03,0.03
"ACNF","2_BLT","Global",0,2.41,0.87,0.87,0.08,0.03,0.07,0.03
"ACNR","1_nSPC","Global",0,2.41,0.19,0.19,0,0,0,0
"ACNR","2_BLT","Global",0,2.41,0.3,0.3,0.01,0.01,0,0
"ACOL","1_nSPC","Global",0,2.41,0.62,0.62,0.01,0.01,0,0
"ACOL","2_BLT","Global",0,2.41,0.64,0.64,0.02,0.01,0.01,0.01
"ACSP","1_nSPC","Global",0,2.41,0.03,0.03,0.01,0.01,0,0
"ACSP","2_BLT","Global",0,2.41,0.05,0.05,0.02,0.01,0,0
