"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABAB","2653","1943","710","580","435","145"
"ABSO","2073","1508","565","14","13","1"
"ABVA","2240","1650","590","191","162","29"
"ACAC","2233","1597","636","162","89","73"
"ACBL","2536","1889","647","463","381","82"
"ACDU","2321","1681","640","249","173","76"
"ACLE","2810","2048","762","754","553","201"
"ACNC","2086","1521","565","14","13","1"
"ACNF","3105","2181","924","1268","907","361"
"ACNR","4291","3011","1280","2231","1516","715"
"ACOL","3576","2628","948","1514","1127","387"
"ACSP","2073","1508","565","66","63","3"
"ACTH","2114","1545","569","44","39","5"
"ACTR","4219","3075","1144","2147","1568","579"
"ACXA","2087","1518","569","15","10","5"
"AEOC","2095","1526","569","22","18","4"
"ALSC","2082","1517","565","10","9","1"
"ANCH","2398","1775","623","374","307","67"
"ANCU","2870","2060","810","800","553","247"
"APAR","2222","1633","589","167","142","25"
"APFU","2206","1619","587","133","111","22"
"APSP","2080","1515","565","8","7","1"
"APVI","3646","2876","770","1573","1368","205"
"ARHI","2082","1513","569","9","5","4"
"ATIN","2073","1508","565","3","2","1"
"AUCH","2369","1724","645","296","216","80"
"BLEN","2106","1541","565","34","33","1"
"BOAL","4673","3395","1278","2601","1888","713"
"CAAB","2194","1621","573","121","113","8"
"CAAM","2124","1550","574","54","44","10"
"CACA","2382","1749","633","309","241","68"
"CACO","2266","1679","587","214","192","22"
"CADU","2215","1617","598","142","109","33"
"CAFE","2109","1537","572","36","29","7"
"CAGA","2487","1877","610","414","369","45"
"CAIG","3501","2587","914","1428","1079","349"
"CAJA","2414","1508","906","1176","834","342"
"CAME","3064","2310","754","991","802","189"
"CAOR","2170","1588","582","97","80","17"
"CASA","2174","1580","594","109","77","32"
"CATY","2073","1508","565","33","28","5"
"CAVE","2101","1536","565","29","28","1"
"CAZO","2415","1752","663","342","244","98"
"CEAR","2097","1528","569","24","20","4"
"CEPO","3297","2459","838","1446","1073","373"
"CHAC","2073","1508","565","97","91","6"
"CHAG","2153","1582","571","83","76","7"
"CHAU","2721","2066","655","706","601","105"
"CHCI","2073","1508","565","11","10","1"
"CHEP","2073","1508","565","7","6","1"
"CHFR","3175","2392","783","1415","1115","300"
"CHHA","2336","1508","828","1126","861","265"
"CHIN","2090","1520","570","18","12","6"
"CHKL","2246","1666","580","184","167","17"
"CHLT","2278","1652","626","243","165","78"
"CHLU","2102","1532","570","30","25","5"
"CHMI","3082","2262","820","1411","1019","392"
"CHMU","2781","2097","684","813","662","151"
"CHOR","2676","2013","663","609","505","104"
"CHOV","3053","2237","816","1347","988","359"
"CHPE","5057","3468","1589","2984","1960","1024"
"CHQU","2152","1564","588","93","65","28"
"CHSL","4288","2994","1294","2228","1499","729"
"CHTR","2253","1657","596","281","229","52"
"CHUB","3006","2226","780","933","718","215"
"CHUN","2197","1610","587","145","120","25"
