"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","0.13","-0.1803"," 0.4170","4.7","3.451","6.069","0.15","0.15","0.016","0.016","0.0024","0.0024"
"ABAB","2_BLT","0.13","-0.1803"," 0.4170","4.7","3.451","6.069","0.22","0.20","0.054","0.012","0.0120","0.0023"
"ABVA","1_nSPC","-0.96","-1.5037","-0.4716","1.8","0.7744","3.6043","0.08","0.080","0.036","0.036","0.0029","0.0029"
"ABVA","2_BLT","-0.96","-1.5037","-0.4716","1.8","0.7744","3.6043","0.04","0.098","0.038","0.021","0.0015","0.0021"
"ACAC","1_nSPC","0.67","0.1937","1.1650","3.6","2.174","5.855","0.036","0.036","0.0076","0.0076","0.00027","0.00027"
"ACAC","2_BLT","0.67","0.1937","1.1650","3.6","2.174","5.855","0.060","0.032","0.0145","0.0040","0.00087","0.00013"
"ACBL","1_nSPC","-1.1","-1.4460","-0.7864","1.5","1.108","2.047","0.25","0.25","0.0071","0.0071","0.0018","0.0018"
"ACBL","2_BLT","-1.1","-1.4460","-0.7864","1.5","1.108","2.047","0.10","0.26","0.0116","0.0077","0.0012","0.0020"
"ACDU","1_nSPC","-0.54","-1.0371","-0.1129","1.1","0.7492","1.5568","0.185","0.19","0.0041","0.0041","0.00077","0.00077"
"ACDU","2_BLT","-0.54","-1.0371","-0.1129","1.1","0.7492","1.5568","0.075","0.12","0.0061","0.0056","0.00046","0.00069"
"ACLE","1_nSPC","0.091","-0.18390"," 0.36327","2.8","2.052","3.773","0.29","0.29","0.026","0.026","0.0073","0.0073"
"ACLE","2_BLT","0.091","-0.18390"," 0.36327","2.8","2.052","3.773","0.25","0.23","0.043","0.015","0.0108","0.0036"
"ACNF","1_nSPC","-0.43","-0.7147","-0.1168","3.7","3.095","4.451","0.45","0.45","0.022","0.022","0.01","0.0100"
"ACNF","2_BLT","-0.43","-0.7147","-0.1168","3.7","3.095","4.451","0.36","0.47","0.056","0.015","0.02","0.0069"
"ACNR","1_nSPC","0.44","0.1555","0.7418","3.2","2.801","3.758","0.66","0.66","0.019","0.019","0.012","0.0123"
"ACNR","2_BLT","0.44","0.1555","0.7418","3.2","2.801","3.758","0.68","0.58","0.047","0.014","0.032","0.0084"
"ACOL","1_nSPC","-0.76","-1.0450","-0.4474","2.2","1.840","2.585","0.56","0.56","0.016","0.016","0.0087","0.0087"
"ACOL","2_BLT","-0.76","-1.0450","-0.4474","2.2","1.840","2.585","0.40","0.59","0.027","0.012","0.0107","0.0072"
"ACSP","1_nSPC","-1.8","-2.9760","-0.7117","4.2"," 0.7247","12.5694","0.0488","0.049","0.0066","0.0066","3.2e-04","3.2e-04"
"ACSP","2_BLT","-1.8","-2.9760","-0.7117","4.2"," 0.7247","12.5694","0.0021","0.012","0.0269","0.0064","5.6e-05","7.8e-05"
"ACTH","1_nSPC","-0.74","-1.7229"," 0.3554","3.9"," 1.021","10.096","0.0219","0.022","0.0072","0.0072","1.6e-04","1.6e-04"
"ACTH","2_BLT","-0.74","-1.7229"," 0.3554","3.9"," 1.021","10.096","0.0048","0.010","0.0136","0.0035","6.6e-05","3.5e-05"
