"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABAB","2051","1716","335","10","9","1"
"ABSO","2091","1756","335","60","49","11"
"ABVA","2116","1778","338","88","85","3"
"ACAC","2515","2096","419","476","389","87"
"ACAN","2062","1725","337","20","18","2"
"ACBL","2257","1877","380","216","170","46"
"ACDU","2091","1735","356","49","28","21"
"ACGU","2068","1731","337","26","24","2"
"ACLE","2045","1707","338","6","2","4"
"ACLI","2507","2124","383","470","422","48"
"ACLU","2364","2009","355","322","302","20"
"ACMA","2290","1929","361","248","222","26"
"ACMT","2312","1959","353","270","252","18"
"ACNC","4463","3763","700","2456","2082","374"
"ACNF","2500","2110","390","474","403","71"
"ACNI","2184","1819","365","142","112","30"
"ACNR","2791","2304","487","756","602","154"
"ACOL","2581","2176","405","539","469","70"
"ACPY","2121","1786","335","81","79","2"
"ACSP","2082","1731","351","42","26","16"
"ACTH","2590","2175","415","548","468","80"
"ACTR","2474","2089","385","432","382","50"
"ACXA","2316","1924","392","274","217","57"
"AEOC","2102","1759","343","60","52","8"
"AERO","2152","1801","351","110","94","16"
"ALSC","2244","1898","346","202","191","11"
"AMCH","2048","1707","341","27","17","10"
"AMSC","2125","1790","335","92","85","7"
"ANCA","2633","2258","375","591","551","40"
"ANME","2093","1758","335","64","55","9"
"ANMG","2175","1828","347","133","121","12"
"ANTH","2042","1707","335","20","10","10"
"ANTW","2297","1923","374","315","260","55"
"APFU","3538","2955","583","1496","1248","248"
"APGR","2162","1811","351","125","109","16"
"APSP","2070","1719","351","29","12","17"
"APVI","2155","1810","345","113","103","10"
"APXA","2590","2216","374","548","509","39"
"ARHI","2068","1731","337","26","24","2"
"ARME","2279","1907","372","237","200","37"
"AUCH","2179","1823","356","137","116","21"
"BAUN","3442","2991","451","1404","1288","116"
"BAVI","2169","1819","350","127","112","15"
"BLEN","2120","1707","413","456","377","79"
"BOAL","2058","1722","336","17","15","2"
"BOAX","2302","1921","381","276","222","54"
"BODI","2141","1792","349","107","93","14"
"BOLO","2467","2079","388","425","372","53"
"BOMA","2088","1751","337","46","44","2"
"BOMU","2098","1752","346","56","45","11"
"BOPR","2267","1885","382","227","178","49"
"BOXF","2053","1707","346","13","2","11"
"BUTT","2051","1707","344","16","2","14"
"CAAB","2984","2484","500","942","777","165"
"CAAM","2173","1838","335","145","135","10"
"CACA","2486","2097","389","444","390","54"
"CADU","2503","2124","379","461","417","44"
"CAFE","2095","1755","340","55","50","5"
"CAIG","2166","1807","359","124","100","24"
"CAJA","2042","1707","335","48","35","13"
"CAJN","2042","1707","335","22","19","3"
"CALU","2902","2431","471","861","724","137"
"CAMC","2042","1707","335","57","48","9"
"CAME","3387","2909","478","1345","1202","143"
"CAML","2330","1981","349","288","274","14"
"CAOR","2418","2058","360","376","351","25"
"CAPA","2157","1822","335","118","115","3"
"CARD","2064","1707","357","40","17","23"
"CASE","2074","1738","336","33","31","2"
"CASO","2050","1707","343","34","25","9"
"CATE","2393","1997","396","351","290","61"
"CEAR","4605","3825","780","2563","2118","445"
"CEBC","2042","1707","335","8","7","1"
"CEFI","2042","1707","335","1","0","1"
"CEFL","3750","3167","583","1740","1475","265"
"CELE","2143","1797","346","102","90","12"
"CELO","2236","1707","529","1103","898","205"
"CEMI","3011","2451","560","973","744","229"
"CESP","2093","1750","343","51","43","8"
"CESS","2047","1707","340","5","0","5"
"CESX","2075","1740","335","34","33","1"
"CEUR","3604","3063","541","1589","1375","214"
"CEVR","2061","1722","339","19","15","4"
"CHAC","2042","1707","335","850","663","187"
"CHAG","2111","1707","404","302","231","71"
"CHAM","2042","1707","335","3","2","1"
"CHAU","2731","2298","433","723","615","108"
"CHBE","2105","1769","336","66","64","2"
"CHCA","2042","1707","335","5","4","1"
"CHCH","2161","1825","336","120","118","2"
"CHCI","2066","1727","339","27","23","4"
"CHEP","2246","1867","379","204","160","44"
"CHFA","2056","1719","337","14","12","2"
"CHFN","2242","1879","363","200","172","28"
"CHKL","2128","1789","339","94","89","5"
"CHLE","2042","1707","335","15","8","7"
"CHLT","2374","1990","384","416","361","55"
"CHLU","2722","2297","425","697","601","96"
"CHMA","3381","2820","561","1344","1117","227"
"CHMC","2648","2197","451","606","490","116"
"CHME","2474","2077","397","480","396","84"
"CHMI","2042","1707","335","5","4","1"
"CHMU","2106","1758","348","74","54","20"
"CHOR","2805","2395","410","803","722","81"
"CHOX","2161","1823","338","133","130","3"
"CHPE","2138","1778","360","96","71","25"
"CHPU","2461","2072","389","446","386","60"
"CHQN","2062","1727","335","20","20","0"
"CHQU","2514","2137","377","559","508","51"
"CHRE","2285","1922","363","278","247","31"
"CHSE","2048","1713","335","9","8","1"
"CHSL","3709","3038","671","1687","1342","345"
"CHTL","2785","2393","392","743","686","57"
"CHTR","2398","1976","422","478","359","119"
"CHUB","2493","2094","399","451","387","64"
"CHUD","2204","1851","353","162","144","18"
"CHUL","2188","1846","342","157","149","8"
"CHUN","2272","1908","364","274","239","35"
"CHVA","2208","1707","501","1209","1041","168"
"CHVE","2069","1726","343","32","21","11"
"CHVG","2082","1747","335","41","40","1"
"CHVR","2042","1707","335","9","8","1"
"CHXA","2780","2331","449","1105","956","149"
"CIEX","2207","1872","335","219","166","53"
"CIHU","2042","1707","335","190","185","5"
"CILB","2042","1707","335","35","34","1"
"CIOX","2600","2179","421","563","476","87"
"CIPI","2186","1847","339","151","147","4"
"CIPO","2042","1707","335","59","57","2"
"CISP","2098","1707","391","278","221","57"
"CIVA","2042","1707","335","5","4","1"
"CIVR","2105","1707","398","324","260","64"
