"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",0,2.36,0,0,0,0,0,0
"ABAB","2_BLT","Global",0,2.36,0,0,0,0,0,0
"ABNO","1_nSPC","Global",0,2.36,0,0,0.02,0.02,0,0
"ABSO","1_nSPC","Global",0,2.36,0.03,0.03,0,0,0,0
"ABSO","2_BLT","Global",0,2.36,0.03,0.03,0.02,0.01,0,0
"ABSP","1_nSPC","Global",0,2.36,0.01,0.01,0.01,0.01,0,0
"ABVA","1_nSPC","Global",0,2.36,0.03,0.03,0.01,0.01,0,0
"ABVA","2_BLT","Global",0,2.36,0.01,0.01,0,0,0,0
"ACAC","1_nSPC","Global",0,2.36,0.23,0.23,0.01,0.01,0,0
"ACAC","2_BLT","Global",0,2.36,0.17,0.17,0.03,0.01,0.01,0
"ACAL","1_nSPC","Global",0,2.36,0,0,0.01,0.01,0,0
"ACAN","1_nSPC","Global",0,2.36,0.01,0.01,0,0,0,0
"ACAN","2_BLT","Global",0,2.36,0,0,0,0,0,0
"ACBL","1_nSPC","Global",0,2.36,0.11,0.11,0,0,0,0
"ACBL","2_BLT","Global",0,2.36,0.08,0.08,0.01,0,0,0
"ACDU","1_nSPC","Global",0,2.36,0.01,0.01,0,0,0,0
"ACDU","2_BLT","Global",0,2.36,0.02,0.02,0.01,0,0,0
"ACGU","1_nSPC","Global",0,2.36,0.01,0.01,0.01,0.01,0,0
"ACGU","2_BLT","Global",0,2.36,0,0,0.01,0,0,0
"ACLE","1_nSPC","Global",0,2.36,0,0,0,0,0,0
"ACLE","2_BLT","Global",0,2.36,0.01,0.01,0.01,0.01,0,0
"ACLI","1_nSPC","Global",0,2.36,0.11,0.11,0.01,0.01,0,0
"ACLI","2_BLT","Global",0,2.36,0.13,0.13,0.03,0.01,0,0
"ACLU","1_nSPC","Global",0,2.36,0.12,0.12,0,0,0,0
"ACLU","2_BLT","Global",0,2.36,0.03,0.03,0,0,0,0
"ACMA","1_nSPC","Global",0,2.36,0.08,0.08,0,0,0,0
"ACMA","2_BLT","Global",0,2.36,0.09,0.09,0.02,0.01,0,0
"ACMT","1_nSPC","Global",0,2.36,0.07,0.07,0.01,0.01,0,0
"ACMT","2_BLT","Global",0,2.36,0.02,0.02,0.01,0.01,0,0
"ACNC","1_nSPC","Global",0,2.36,0.65,0.65,0.02,0.02,0.01,0.01
"ACNC","2_BLT","Global",0,2.36,0.61,0.61,0.05,0.02,0.03,0.01
"ACNF","1_nSPC","Global",0,2.36,0.16,0.16,0.01,0.01,0,0
"ACNF","2_BLT","Global",0,2.36,0.1,0.1,0.02,0.01,0,0
"ACNI","1_nSPC","Global",0,2.36,0.04,0.04,0,0,0,0
"ACNI","2_BLT","Global",0,2.36,0.12,0.12,0.01,0,0,0
