"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABSO","2466","2106","360","11","10","1"
"ABSX","2521","2155","366","69","59","10"
"ACAC","3420","2913","507","958","809","149"
"ACAL","2654","2289","365","188","183","5"
"ACBL","2803","2404","399","337","298","39"
"ACGU","2662","2300","362","196","194","2"
"ACLI","3446","2998","448","1012","924","88"
"ACLU","2539","2162","377","79","62","17"
"ACMA","2699","2311","388","233","205","28"
"ACMT","2511","2149","362","45","43","2"
"ACNC","5253","4494","759","2814","2394","420"
"ACNF","4900","4220","680","2441","2116","325"
"ACNI","2647","2255","392","181","149","32"
"ACNR","2932","2475","457","609","509","100"
"ACOL","3126","2690","436","660","584","76"
"ACPY","3123","2688","435","657","582","75"
"ACSP","2648","2239","409","205","133","72"
"ACTH","3328","2885","443","862","779","83"
"ACTR","2623","2257","366","202","195","7"
"ACXA","2552","2186","366","86","80","6"
"ALSC","2495","2134","361","30","28","2"
"AMCH","2609","2249","360","182","172","10"
"AMSC","2701","2332","369","235","226","9"
"ANCA","2683","2319","364","221","217","4"
"ANME","2569","2209","360","113","110","3"
"ANMG","2545","2177","368","82","74","8"
"ANSP","2472","2112","360","8","6","2"
"ANTH","2466","2106","360","14","10","4"
"ANTW","3014","2626","388","659","629","30"
"APFU","4165","3614","551","1699","1508","191"
"APSP","2483","2123","360","24","17","7"
"APTR","2677","2309","368","211","203","8"
"APVI","2646","2280","366","180","174","6"
"ARME","2546","2175","371","80","69","11"
"ARNI","2525","2160","365","59","54","5"
"ASTA","2466","2106","360","14","12","2"
"AUCH","2539","2179","360","75","73","2"
"BACO","2529","2169","360","67","63","4"
"BAUN","5058","4451","607","2618","2371","247"
"BAVI","2625","2245","380","159","139","20"
"BLCH","2466","2106","360","8","6","2"
"BLEN","3226","2794","432","771","698","73"
"BOAX","2921","2503","418","490","431","59"
"BOLO","2631","2252","379","165","146","19"
"CAAB","2555","2193","362","89","87","2"
"CAAM","2565","2205","360","108","101","7"
"CACA","2898","2511","387","432","405","27"
"CACE","2617","2251","366","153","145","8"
"CADU","2829","2444","385","363","338","25"
"CAFE","2481","2121","360","16","15","1"
"CAJN","2466","2106","360","38","37","1"
"CALU","2572","2200","372","106","94","12"
"CAMC","2466","2106","360","138","118","20"
"CAME","3167","2750","417","701","644","57"
"CAOR","2544","2184","360","79","78","1"
"CAPA","2797","2437","360","336","331","5"
"CARD","2484","2124","360","20","18","2"
"CASE","2506","2141","365","41","35","6"
"CASO","2556","2196","360","107","95","12"
"CATE","2983","2600","383","517","494","23"
"CAVA","2466","2106","360","21","17","4"
"CEAR","4733","4034","699","2267","1928","339"
"CEBC","2596","2227","369","147","136","11"
"CEBI","3329","2876","453","867","774","93"
"CEFL","4571","3946","625","2145","1872","273"
"CEHE","2466","2106","360","153","148","5"
"CELE","2710","2300","410","244","194","50"
"CELO","2591","2106","485","652","526","126"
"CEOC","2658","2284","374","192","178","14"
"CESP","2570","2200","370","116","105","11"
"CEUR","5025","4268","757","2589","2162","427"
"CHAC","2466","2106","360","1370","1144","226"
