"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSX","1_nSPC","-0.35","-1.6172"," 0.8763","7.1"," 0.6982","30.4267","0.0136","0.0136","0.012","0.012","0.00017","1.7e-04"
"ABSX","2_BLT","-0.35","-1.6172"," 0.8763","7.1"," 0.6982","30.4267","0.0022","0.0031","0.102","0.014","0.00022","4.4e-05"
"ACAC","1_nSPC","-0.24","-0.6527"," 0.1858","3.1","2.440","3.881","0.34","0.34","0.0083","0.0083","0.0028","0.0028"
"ACAC","2_BLT","-0.24","-0.6527"," 0.1858","3.1","2.440","3.881","0.40","0.46","0.0316","0.0102","0.0128","0.0047"
"ACAL","1_nSPC","-2.1","-3.131","-1.078","2.3","0.9267","5.0583","0.0710","0.071","0.0039","0.0039","2.8e-04","0.00028"
"ACAL","2_BLT","-2.1","-3.131","-1.078","2.3","0.9267","5.0583","0.0071","0.056","0.0067","0.0029","4.8e-05","0.00016"
"ACBL","1_nSPC","-0.59","-1.08579","-0.05577","1.9","1.358","2.599","0.177","0.18","0.0037","0.0037","0.00065","0.00065"
"ACBL","2_BLT","-0.59","-1.08579","-0.05577","1.9","1.358","2.599","0.083","0.14","0.0074","0.0039","0.00061","0.00055"
"ACGU","1_nSPC","-2.1","-3.5016","-0.5618","2.4","0.2654","9.9406","0.078","0.078","0.0067","0.0067","5.2e-04","0.00052"
"ACGU","2_BLT","-2.1","-3.5016","-0.5618","2.4","0.2654","9.9406","0.011","0.077","0.0033","0.0014","3.5e-05","0.00010"
"ACLI","1_nSPC","-0.86","-1.2926","-0.4756","2","1.451","2.659","0.25","0.25","0.0091","0.0091","0.0023","0.0023"
"ACLI","2_BLT","-0.86","-1.2926","-0.4756","2","1.451","2.659","0.27","0.47","0.0242","0.0120","0.0066","0.0056"
"ACLU","1_nSPC","0.47","-0.2262"," 1.1980","3.9","1.556","7.944","0.021","0.021","0.0023","0.0023","4.9e-05","4.9e-05"
"ACLU","2_BLT","0.47","-0.2262"," 1.1980","3.9","1.556","7.944","0.038","0.024","0.0131","0.0033","5.0e-04","8.1e-05"
"ACMA","1_nSPC","-0.22","-0.8254"," 0.3624","2.1","1.432","3.180","0.077","0.077","0.0026","0.0026","2e-04","0.00020"
"ACMA","2_BLT","-0.22","-0.8254"," 0.3624","2.1","1.432","3.180","0.142","0.171","0.0073","0.0034","1e-03","0.00059"
"ACMT","1_nSPC","-1","-2.5160"," 0.3925","2.4","0.6781","5.7093","0.015","0.015","0.0031","0.0031","4.7e-05","4.7e-05"
"ACMT","2_BLT","-1","-2.5160"," 0.3925","2.4","0.6781","5.7093","0.014","0.037","0.0029","0.0012","4.0e-05","4.6e-05"
"ACNC","1_nSPC","-0.37","-0.7662689"," 0.0007994","3.2","2.733","3.745","0.57","0.57","0.016","0.016","0.0093","0.0093"
"ACNC","2_BLT","-0.37","-0.7662689"," 0.0007994","3.2","2.733","3.745","0.58","0.67","0.061","0.019","0.0356","0.0127"
"ACNF","1_nSPC","-0.38","-0.73967","-0.04092","2.5","2.122","3.084","0.64","0.64","0.018","0.018","0.011","0.011"
"ACNF","2_BLT","-0.38","-0.73967","-0.04092","2.5","2.122","3.084","0.58","0.67","0.040","0.016","0.023","0.010"
"ACNI","1_nSPC","0.27","-0.2019"," 0.7913","3","2.166","4.130","0.052","0.052","0.0023","0.0023","0.00012","0.00012"
"ACNI","2_BLT","0.27","-0.2019"," 0.7913","3","2.166","4.130","0.061","0.047","0.0071","0.0024","0.00043","0.00011"
"ACNR","1_nSPC","0.14","-0.2325"," 0.4945","3.5","2.523","4.696","0.3","0.30","0.006","0.0060","0.0018","0.0018"
"ACNR","2_BLT","0.14","-0.2325"," 0.4945","3.5","2.523","4.696","0.2","0.18","0.020","0.0057","0.0039","0.0010"
"ACOL","1_nSPC","-0.15","-0.4839"," 0.1976","2.9","2.130","3.915","0.26","0.26","0.0042","0.0042","0.0011","0.00108"
"ACOL","2_BLT","-0.15","-0.4839"," 0.1976","2.9","2.130","3.915","0.13","0.15","0.0125","0.0043","0.0016","0.00064"
"ACPY","1_nSPC","-0.19","-0.5880"," 0.1780","3.1","2.512","3.821","0.19","0.19","0.0026","0.0026","0.00051","0.00051"
"ACPY","2_BLT","-0.19","-0.5880"," 0.1780","3.1","2.512","3.821","0.14","0.16","0.0121","0.0038","0.00164","0.00061"
"ACSP","1_nSPC","0.74","0.2913","1.1692","11"," 6.497","17.657","0.130","0.130","0.0094","0.0094","0.0012","0.00122"
"ACSP","2_BLT","0.74","0.2913","1.1692","11"," 6.497","17.657","0.074","0.037","0.0658","0.0059","0.0048","0.00022"
"ACTH","1_nSPC","-0.88","-1.2808","-0.5027","1.9","1.328","2.669","0.27","0.27","0.017","0.017","0.0046","0.0046"
"ACTH","2_BLT","-0.88","-1.2808","-0.5027","1.9","1.328","2.669","0.16","0.31","0.025","0.013","0.0040","0.0041"
"ACTR","1_nSPC","-1.1","-2.0064","-0.2062","3.1","0.8638","8.1096","0.112","0.11","0.042","0.042","0.0047","0.0047"
"ACTR","2_BLT","-1.1","-2.0064","-0.2062","3.1","0.8638","8.1096","0.085","0.22","0.018","0.006","0.0016","0.0013"
"ACXA","1_nSPC","-0.88","-1.9186"," 0.1509","3.6","1.572","7.332","0.033","0.033","0.0037","0.0037","0.00012","0.00012"
"ACXA","2_BLT","-0.88","-1.9186"," 0.1509","3.6","1.572","7.332","0.011","0.026","0.0148","0.0042","0.00016","0.00011"
"ALSC","1_nSPC","-1.5","-3.7086"," 0.4368","1.8","0.5602","4.6858","0.011","0.0114","0.0025","0.0025","2.9e-05","2.9e-05"
"ALSC","2_BLT","-1.5","-3.7086"," 0.4368","1.8","0.5602","4.6858","0.002","0.0085","0.0067","0.0037","1.3e-05","3.1e-05"
"AMCH","1_nSPC","-0.73","-1.47706"," 0.08813","3.9","2.071","6.523","0.090","0.090","0.0034","0.0034","0.00031","0.00031"
"AMCH","2_BLT","-0.73","-1.47706"," 0.08813","3.9","2.071","6.523","0.013","0.027","0.0308","0.0079","0.00040","0.00021"
"AMSC","1_nSPC","-1.3","-2.1020","-0.5797","1.6","0.9956","2.4081","0.0442","0.044","0.0022","0.0022","9.8e-05","9.8e-05"
"AMSC","2_BLT","-1.3","-2.1020","-0.5797","1.6","0.9956","2.4081","0.0088","0.032","0.0036","0.0023","3.1e-05","7.3e-05"
"ANCA","1_nSPC","-1.9","-2.8656","-0.8365","1.6","0.8496","2.6279","0.0647","0.065","0.0021","0.0021","1.4e-04","1.4e-04"
"ANCA","2_BLT","-1.9","-2.8656","-0.8365","1.6","0.8496","2.6279","0.0039","0.025","0.0031","0.0019","1.2e-05","4.6e-05"
"ANME","1_nSPC","-2","-3.4715","-0.6506","4.1","1.622","8.463","0.0385","0.038","0.0019","0.0019","7.2e-05","7.2e-05"
"ANME","2_BLT","-2","-3.4715","-0.6506","4.1","1.622","8.463","0.0027","0.020","0.0067","0.0016","1.8e-05","3.2e-05"
"ANMG","1_nSPC","-0.21","-0.9808"," 0.6134","2.3","1.523","3.441","0.0188","0.019","0.0019","0.0019","3.6e-05","3.6e-05"
"ANMG","2_BLT","-0.21","-0.9808"," 0.6134","2.3","1.523","3.441","0.0082","0.010","0.0032","0.0014","2.6e-05","1.4e-05"
"ANTH","1_nSPC","0.89","-0.4278"," 2.2209","0.91","0.002771","6.390929","0.0041","0.0041","0.031","0.031","0.00013","0.00013"
"ANTH","2_BLT","0.89","-0.4278"," 2.2209","0.91","0.002771","6.390929","0.0072","0.0030","0.132","0.144","0.00095","0.00043"
"ANTW","1_nSPC","-1.5","-1.9277","-0.9898","2.5","1.990","3.139","0.188","0.19","0.0022","0.0022","0.00041","0.00041"
"ANTW","2_BLT","-1.5","-1.9277","-0.9898","2.5","1.990","3.139","0.075","0.26","0.0069","0.0027","0.00052","0.00072"
"APFU","1_nSPC","-0.94","-1.2465","-0.6145","1.8","1.552","2.073","0.44","0.44","0.0038","0.0038","0.0017","0.0017"
"APFU","2_BLT","-0.94","-1.2465","-0.6145","1.8","1.552","2.073","0.37","0.61","0.0065","0.0036","0.0024","0.0022"
"APSP","1_nSPC","0.45","-0.7606"," 1.5553","0.8","0.3644","1.6413","0.079","0.079","0.0099","0.0099","0.00079","0.00079"
"APSP","2_BLT","0.45","-0.7606"," 1.5553","0.8","0.3644","1.6413","0.024","0.015","0.0056","0.0069","0.00013","0.00011"
"APTR","1_nSPC","-1.4","-2.2288","-0.5786","2.7","1.461","4.716","0.0397","0.040","0.0030","0.0030","0.00012","1.2e-04"
"APTR","2_BLT","-1.4","-2.2288","-0.5786","2.7","1.461","4.716","0.0054","0.021","0.0057","0.0021","0.00003","4.5e-05"
"APVI","1_nSPC","-1.5","-2.3528","-0.7103","1.3","0.8863","1.9858","0.0774","0.077","0.0017","0.0017","1.4e-04","0.00014"
"APVI","2_BLT","-1.5","-2.3528","-0.7103","1.3","0.8863","1.9858","0.0095","0.041","0.0020","0.0015","1.9e-05","0.00006"
"ARME","1_nSPC","-0.52","-1.3640"," 0.2922","3","1.780","4.520","0.019","0.019","0.0020","0.0020","3.7e-05","3.7e-05"
"ARME","2_BLT","-0.52","-1.3640"," 0.2922","3","1.780","4.520","0.038","0.061","0.0042","0.0014","1.6e-04","8.6e-05"
"ARNI","1_nSPC","-0.52","-1.6481"," 0.5102","2.5","1.258","4.073","0.018","0.018","0.0018","0.0018","3.2e-05","3.2e-05"
"ARNI","2_BLT","-0.52","-1.6481"," 0.5102","2.5","1.258","4.073","0.010","0.017","0.0048","0.0019","4.8e-05","3.3e-05"
"AUCH","1_nSPC","-1.5","-2.86390","-0.05235","1","0.5389","1.9015","0.0116","0.0116","0.0020","0.0020","2.3e-05","2.3e-05"
"AUCH","2_BLT","-1.5","-2.86390","-0.05235","1","0.5389","1.9015","0.0014","0.0062","0.0017","0.0016","2.4e-06","9.9e-06"
"BACO","1_nSPC","-0.98","-2.1155"," 0.2572","2.2","0.9455","4.2712","0.0160","0.016","0.0027","0.0027","4.4e-05","4.4e-05"
"BACO","2_BLT","-0.98","-2.1155"," 0.2572","2.2","0.9455","4.2712","0.0043","0.011","0.0042","0.0019","1.8e-05","2.2e-05"
"BAUN","1_nSPC","-2.3","-2.700","-1.939","2","1.721","2.229","0.79","0.79","0.0048","0.0048","0.0037","0.0037"
"BAUN","2_BLT","-2.3","-2.700","-1.939","2","1.721","2.229","0.58","0.94","0.0145","0.0073","0.0085","0.0069"
"BAVI","1_nSPC","-0.25","-0.9411"," 0.4280","1.9","1.326","2.599","0.063","0.063","0.0017","0.0017","0.00011","0.00011"
"BAVI","2_BLT","-0.25","-0.9411"," 0.4280","1.9","1.326","2.599","0.062","0.077","0.0050","0.0027","0.00031","0.00021"
"BLEN","1_nSPC","-0.68","-1.0168","-0.3353","1.5","0.9978","2.1305","0.27","0.27","0.028","0.028","0.0073","0.0073"
"BLEN","2_BLT","-0.68","-1.0168","-0.3353","1.5","0.9978","2.1305","0.10","0.19","0.027","0.018","0.0028","0.0034"
"BOAX","1_nSPC","-0.12","-0.5003"," 0.2824","3.7","3.122","4.412","0.109","0.11","0.0019","0.0019","0.00020","0.00020"
"BOAX","2_BLT","-0.12","-0.5003"," 0.2824","3.7","3.122","4.412","0.095","0.11","0.0100","0.0027","0.00095","0.00028"
"BOLO","1_nSPC","-0.18","-0.7896"," 0.4710","2.4","1.774","3.147","0.055","0.055","0.0021","0.0021","0.00011","0.00011"
"BOLO","2_BLT","-0.18","-0.7896"," 0.4710","2.4","1.774","3.147","0.046","0.055","0.0051","0.0022","0.00024","0.00012"
"CAAB","1_nSPC","-1.5","-3.04781"," 0.03569","0.73","0.3287","1.4173","0.0392","0.039","0.0022","0.0022","8.6e-05","8.6e-05"
"CAAB","2_BLT","-1.5","-3.04781"," 0.03569","0.73","0.3287","1.4173","0.0027","0.012","0.0017","0.0023","4.5e-06","2.8e-05"
"CAAM","1_nSPC","-0.48","-1.3576"," 0.4567","5.8","3.008","9.855","0.052","0.052","0.0021","0.0021","0.00011","0.00011"
