"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSO","1_nSPC","0.25","-2.2003"," 2.6685","0.077","0.006881","0.295027","0.0816","0.0816","0.2391","0.239","2e-02","2e-02"
"ABSO","2_BLT","0.25","-2.2003"," 2.6685","0.077","0.006881","0.295027","0.0026","0.0021","0.0077","0.099","2e-05","2e-04"
"ABVA","1_nSPC","-0.82","-1.9879"," 0.3364","2.8","0.478","9.732","0.180","0.180","0.14","0.137","0.0245","0.0245"
"ABVA","2_BLT","-0.82","-1.9879"," 0.3364","2.8","0.478","9.732","0.012","0.026","0.23","0.083","0.0027","0.0022"
"ACAC","1_nSPC","-0.14","-1.9400"," 1.6084","4.8e+15","1.160e-03","1.097e+10","0.0086","0.0086","0.22","2.2e-01","0.0019","1.9e-03"
"ACAC","2_BLT","-0.14","-1.9400"," 1.6084","4.8e+15","1.160e-03","1.097e+10","0.0058","0.0067","0.92","1.9e-16","0.0054","1.3e-18"
"ACBL","1_nSPC","0.67","0.2234","1.1465","1","0.6381","1.5967","0.14","0.14","1.3","1.3","0.19","0.19"
"ACBL","2_BLT","0.67","0.2234","1.1465","1","0.6381","1.5967","0.16","0.09","1.5","1.4","0.24","0.13"
"ACDU","1_nSPC","-0.69","-1.4973"," 0.1282","1.5","0.5659","3.5300","0.050","0.050","1.7","1.7","0.088","0.088"
"ACDU","2_BLT","-0.69","-1.4973"," 0.1282","1.5","0.5659","3.5300","0.023","0.046","5.1","3.4","0.120","0.154"
"ACGU","1_nSPC","-0.71","-1.7899"," 0.3249","8.2"," 1.077","30.655","0.147","0.147","0.075","0.075","0.0110","0.01102"
"ACGU","2_BLT","-0.71","-1.7899"," 0.3249","8.2"," 1.077","30.655","0.023","0.045","0.095","0.012","0.0022","0.00053"
"ACLE","1_nSPC","-0.67","-1.1016","-0.2015","5.3","2.958","8.721","0.28","0.28","0.1","0.10","0.028","0.028"
"ACLE","2_BLT","-0.67","-1.1016","-0.2015","5.3","2.958","8.721","0.14","0.24","0.8","0.15","0.110","0.036"
"ACLI","1_nSPC","0.13","-0.2630"," 0.5212","2.2","1.146","4.194","0.33","0.33","2.2","2.19","0.71","0.71"
"ACLI","2_BLT","0.13","-0.2630"," 0.5212","2.2","1.146","4.194","0.18","0.16","2.0","0.91","0.36","0.14"
"ACNC","1_nSPC","0.15","-0.1710"," 0.4705","3.7","2.870","4.609","0.64","0.64","0.85","0.85","0.55","0.55"
"ACNC","2_BLT","0.15","-0.1710"," 0.4705","3.7","2.870","4.609","0.48","0.44","3.92","1.06","1.88","0.47"
"ACNF","1_nSPC","0.17","-0.7104"," 1.0954","3.7","3.107","4.315","0.94","0.94","0.52","0.52","0.49","0.49"
"ACNF","2_BLT","0.17","-0.7104"," 1.0954","3.7","3.107","4.315","0.96","0.96","1.82","0.50","1.76","0.48"
"ACNI","1_nSPC","-0.029","-0.50689"," 0.42549","1","0.6421","1.4520","0.098","0.098","0.57","0.57","0.056","0.056"
"ACNI","2_BLT","-0.029","-0.50689"," 0.42549","1","0.6421","1.4520","0.144","0.148","0.76","0.76","0.110","0.113"
"ACNR","1_nSPC","-0.62","-1.28687","-0.01801","5.6"," 2.088","12.005","0.112","0.112","0.19","0.19","0.021","0.021"
"ACNR","2_BLT","-0.62","-1.28687","-0.01801","5.6"," 2.088","12.005","0.042","0.076","0.77","0.14","0.032","0.010"
"ACNU","1_nSPC","0.7","-0.2212"," 1.6718","0.55","0.2167","1.1931","0.015","0.015","0.75","0.75","0.011","0.011"
"ACNU","2_BLT","0.7","-0.2212"," 1.6718","0.55","0.2167","1.1931","0.028","0.014","1.01","1.83","0.029","0.026"
"ACOL","1_nSPC","-0.22","-0.53660"," 0.09725","1.3","0.9555","1.8356","0.48","0.48","1.4","1.4","0.66","0.66"
"ACOL","2_BLT","-0.22","-0.53660"," 0.09725","1.3","0.9555","1.8356","0.54","0.60","3.3","2.5","1.80","1.47"
"ACPY","1_nSPC","-0.067","-0.38704"," 0.25745","2.2","1.754","2.837","0.39","0.39","0.31","0.31","0.12","0.12"
