"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACAC","873","606","267","5","4","1"
"ACBL","873","606","267","103","60","43"
"ACDU","873","606","267","36","28","8"
"ACLE","873","606","267","129","120","9"
"ACLI","873","606","267","123","92","31"
"ACNC","873","606","267","384","343","41"
"ACNF","873","606","267","611","586","25"
"ACNI","873","606","267","81","61","20"
"ACNR","873","606","267","57","56","1"
"ACOL","873","606","267","390","307","83"
"ACPY","873","606","267","264","216","48"
"ACTH","873","606","267","119","115","4"
"ACTR","873","606","267","16","13","3"
"ACXA","873","606","267","44","36","8"
"AEOC","873","606","267","4","3","1"
"AERO","873","606","267","6","4","2"
"ANCA","873","606","267","165","156","9"
"APFU","873","606","267","371","293","78"
"APTR","873","606","267","132","130","2"
"APVI","873","606","267","35","28","7"
"ARME","873","606","267","20","15","5"
"ARNI","873","606","267","15","11","4"
"AUCH","873","606","267","21","14","7"
"BACO","873","606","267","21","16","5"
"BAUN","873","606","267","472","451","21"
"BAVI","873","606","267","27","23","4"
"BIGE","873","606","267","2","0","2"
"BOAX","873","606","267","78","77","1"
"CAAB","873","606","267","29","22","7"
"CACA","873","606","267","158","142","16"
"CADU","873","606","267","98","93","5"
"CAFE","873","606","267","10","8","2"
"CAIG","873","606","267","13","10","3"
"CALU","873","606","267","64","45","19"
"CAME","873","606","267","264","207","57"
"CAML","873","606","267","19","18","1"
"CAOR","873","606","267","42","34","8"
"CASE","873","606","267","18","11","7"
"CATE","873","606","267","82","68","14"
"CEAR","873","606","267","319","229","90"
"CELE","873","606","267","7","6","1"
"CEMI","873","606","267","3","1","2"
"CESX","873","606","267","14","10","4"
"CEUR","873","606","267","620","537","83"
"CHFA","873","606","267","24","23","1"
"CHFN","873","606","267","34","27","7"
"CHMC","873","606","267","88","74","14"
"CHSL","873","606","267","357","276","81"
"CHTL","873","606","267","150","135","15"
"CHUB","873","606","267","177","155","22"
"CHUD","873","606","267","32","28","4"
"COAY","873","606","267","281","229","52"
"COGA","873","606","267","290","263","27"
"CTHA","873","606","267","178","147","31"
"CTSR","873","606","267","505","458","47"
"DIHY","873","606","267","6","5","1"
"ELBI","873","606","267","22","18","4"
"EMPE","873","606","267","1","0","1"
"EPFA","873","606","267","145","102","43"
"EPHE","873","606","267","48","31","17"
"EPHO","873","606","267","8","7","1"
"EPIN","873","606","267","112","100","12"
"EPMA","873","606","267","8","6","2"
"EPME","873","606","267","7","5","2"
"EPML","873","606","267","13","8","5"
"EPPO","873","606","267","1","0","1"
"EPSP","873","606","267","8","7","1"
"EPTA","873","606","267","7","6","1"
"FICO","873","606","267","18","11","7"
"FILE","873","606","267","1","0","1"
"FISH","873","606","267","6","5","1"
"FUSI","873","606","267","1","0","1"
"GNAU","873","606","267","105","83","22"
"GOVA","873","606","267","197","185","12"
"GRAL","873","606","267","21","11","10"
"GROU","873","606","267","5","3","2"
"GYFL","873","606","267","13","10","3"
"GYJA","873","606","267","12","6","6"
"GYME","873","606","267","18","12","6"
"GYSP","873","606","267","2","1","1"
"GYUC","873","606","267","12","10","2"
"HAHO","873","606","267","426","388","38"
"HAMT","873","606","267","177","176","1"
"HAOR","873","606","267","367","366","1"
"HEFA","873","606","267","196","175","21"
"HEME","873","606","267","39","35","4"
"HEMO","873","606","267","21","19","2"
"HETH","873","606","267","24","22","2"
"HILO","873","606","267","24","22","2"
"HODO","873","606","267","94","90","4"
"KYCI","873","606","267","33","7","26"
"KYPA","873","606","267","20","9","11"
"KYVA","873","606","267","7","0","7"
"LEHA","873","606","267","8","6","2"
"LEOB","873","606","267","18","17","1"
"LEOL","873","606","267","20","17","3"
"LERU","873","606","267","5","5","0"
"LETH","873","606","267","23","21","2"
"LEXA","873","606","267","15","10","5"
"LUBO","873","606","267","371","281","90"
"LUFU","873","606","267","61","49","12"
"LUGI","873","606","267","117","85","32"
"LUKA","873","606","267","127","87","40"
"LUMO","873","606","267","36","30","6"
"MABR","873","606","267","30","29","1"
"MACO","873","606","267","1","0","1"
"MALA","873","606","267","67","59","8"
"MAMA","873","606","267","129","103","26"
"MANI","873","606","267","179","159","20"
"MENI","873","606","267","104","92","12"
"MEVI","873","606","267","576","502","74"
"MOGR","873","606","267","296","243","53"
"MORA","873","606","267","2","0","2"
"MUFL","873","606","267","22","20","2"
"MUVA","873","606","267","53","39","14"
"MYAM","873","606","267","25","21","4"
"MYBE","873","606","267","144","111","33"
"MYMU","873","606","267","4","3","1"
"MYSP","873","606","267","22","18","4"
"NAAN","873","606","267","7","6","1"
"NABR","873","606","267","58","53","5"
"NACA","873","606","267","2","1","1"
"NAHE","873","606","267","118","97","21"
"NALI","873","606","267","687","528","159"
"NASP","873","606","267","16","14","2"
"NATO","873","606","267","67","55","12"
"NAUN","873","606","267","75","63","12"
"NAVL","873","606","267","70","57","13"
"NEFE","873","606","267","10","5","5"
"NEOP","873","606","267","10","8","2"
"NESA","873","606","267","22","16","6"
"ODNI","873","606","267","29","26","3"
"OPPU","873","606","267","11","8","3"
"OSME","873","606","267","61","60","1"
"OXUN","873","606","267","500","445","55"
"PABA","873","606","267","22","17","5"
"PACL","873","606","267","109","106","3"
"PACY","873","606","267","204","182","22"
"PAFO","873","606","267","296","289","7"
"PAHE","873","606","267","88","83","5"
"PAHP","873","606","267","29","28","1"
"PAIN","873","606","267","337","278","59"
"PAMU","873","606","267","492","469","23"
"PAPL","873","606","267","37","36","1"
"PARR","873","606","267","61","49","12"
"PEOU","873","606","267","85","75","10"
"PLPI","873","606","267","14","11","3"
"PLTE","873","606","267","4","3","1"
"POIM","873","606","267","196","155","41"
"PSMO","873","606","267","68","65","3"
"PTAN","873","606","267","15","14","1"
"PTTI","873","606","267","101","89","12"
"PYDI","873","606","267","215","186","29"
"RABB","873","606","267","5","4","1"
"RHRE","873","606","267","46","44","2"
"SACA","873","606","267","155","147","8"
"SASP","873","606","267","38","22","16"
"SATI","873","606","267","278","209","69"
"SCAL","873","606","267","33","29","4"
"SCDM","873","606","267","13","11","2"
"SCFO","873","606","267","420","298","122"
"SCFR","873","606","267","18","10","8"
"SCGH","873","606","267","18","8","10"
"SCGL","873","606","267","47","29","18"
"SCLY","873","606","267","12","10","2"
"SCNI","873","606","267","8","6","2"
"SCOV","873","606","267","105","58","47"
"SCPP","873","606","267","8","7","1"
"SCPS","873","606","267","181","159","22"
"SCRU","873","606","267","442","297","145"
"SCSC","873","606","267","135","112","23"
"SCSP","873","606","267","13","9","4"
"SIAR","873","606","267","29","24","5"
"SNDP","873","606","267","15","14","1"
"SPBA","873","606","267","21","20","1"
"SUBU","873","606","267","419","410","9"
"SUCH","873","606","267","233","226","7"
"SURG","873","606","267","10","8","2"
"TAME","873","606","267","4","3","1"
"THLU","873","606","267","450","445","5"
"THPU","873","606","267","13","12","1"
"TROB","873","606","267","61","42","19"
"TYCR","873","606","267","2","1","1"
"VALO","873","606","267","130","88","42"
"VAST","873","606","267","186","185","1"
"WRAS","873","606","267","34","33","1"
"ZEVE","873","606","267","23","21","2"
