"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSO","1_nSPC","Global",0,1.48,0.08,0.08,0.24,0.24,0.02,0.02
"ABSO","2_BLT","Global",0,1.48,0,0,0.01,0.01,0,0
"ABSP","1_nSPC","Global",0,1.48,0.01,0.01,0.22,0.22,0,0
"ABSX","1_nSPC","Global",0,1.48,0.01,0.01,0.55,0.55,0.01,0.01
"ABVA","1_nSPC","Global",0,1.48,0.18,0.18,0.14,0.14,0.02,0.02
"ABVA","2_BLT","Global",0,1.48,0.01,0.01,0.23,0.16,0,0
"ACAC","1_nSPC","Global",0,1.48,0.01,0.01,0.22,0.22,0,0
"ACAC","2_BLT","Global",0,1.48,0.01,0.01,0.92,0.62,0.01,0
"ACBL","1_nSPC","Global",0,1.48,0.14,0.14,1.29,1.29,0.19,0.19
"ACBL","2_BLT","Global",0,1.48,0.16,0.16,1.5,1.02,0.24,0.16
"ACDU","1_nSPC","Global",0,1.48,0.05,0.05,1.74,1.74,0.09,0.09
"ACDU","2_BLT","Global",0,1.48,0.02,0.02,5.12,3.46,0.12,0.08
"ACGU","1_nSPC","Global",0,1.48,0.15,0.15,0.07,0.07,0.01,0.01
"ACGU","2_BLT","Global",0,1.48,0.02,0.02,0.1,0.06,0,0
"ACLE","1_nSPC","Global",0,1.48,0.28,0.28,0.1,0.1,0.03,0.03
"ACLE","2_BLT","Global",0,1.48,0.14,0.14,0.8,0.54,0.11,0.07
"ACLI","1_nSPC","Global",0,1.48,0.33,0.33,2.19,2.19,0.71,0.71
"ACLI","2_BLT","Global",0,1.48,0.18,0.18,2.05,1.38,0.36,0.25
"ACMA","1_nSPC","Global",0,1.48,0,0,0.13,0.13,0,0
"ACMT","1_nSPC","Global",0,1.48,0.01,0.01,0.6,0.6,0.01,0.01
"ACNC","1_nSPC","Global",0,1.48,0.64,0.64,0.85,0.85,0.55,0.55
"ACNC","2_BLT","Global",0,1.48,0.48,0.48,3.92,2.65,1.88,1.27
"ACNF","1_nSPC","Global",0,1.48,0.94,0.94,0.52,0.52,0.49,0.49
"ACNF","2_BLT","Global",0,1.48,0.96,0.96,1.82,1.23,1.76,1.19
"ACNI","1_nSPC","Global",0,1.48,0.1,0.1,0.57,0.57,0.06,0.06
"ACNI","2_BLT","Global",0,1.48,0.14,0.14,0.76,0.52,0.11,0.07
"ACNR","1_nSPC","Global",0,1.48,0.11,0.11,0.19,0.19,0.02,0.02
"ACNR","2_BLT","Global",0,1.48,0.04,0.04,0.77,0.52,0.03,0.02
"ACNU","1_nSPC","Global",0,1.48,0.01,0.01,0.75,0.75,0.01,0.01
"ACNU","2_BLT","Global",0,1.48,0.03,0.03,1.01,0.68,0.03,0.02
"ACOL","1_nSPC","Global",0,1.48,0.48,0.48,1.38,1.38,0.66,0.66
"ACOL","2_BLT","Global",0,1.48,0.54,0.54,3.32,2.24,1.8,1.22
"ACPY","1_nSPC","Global",0,1.48,0.39,0.39,0.31,0.31,0.12,0.12
"ACPY","2_BLT","Global",0,1.48,0.3,0.3,1,0.67,0.3,0.2
"ACSO","1_nSPC","Global",0,1.48,0,0,31.82,31.82,0.05,0.05
"ACSP","1_nSPC","Global",0,1.48,0.01,0.01,0.04,0.04,0,0
"ACSP","2_BLT","Global",0,1.48,0.01,0.01,3.06,2.07,0.04,0.03
"ACTH","1_nSPC","Global",0,1.48,0.23,0.23,0.32,0.32,0.08,0.08
"ACTH","2_BLT","Global",0,1.48,0.1,0.1,1.8,1.22,0.18,0.12
"ACTR","1_nSPC","Global",0,1.48,0.06,0.06,0.85,0.85,0.05,0.05
"ACTR","2_BLT","Global",0,1.48,0.01,0.01,0.59,0.4,0.01,0
"ACXA","1_nSPC","Global",0,1.48,0.08,0.08,1.21,1.21,0.09,0.09
"ACXA","2_BLT","Global",0,1.48,0.02,0.02,2.52,1.71,0.05,0.03
"AEOC","1_nSPC","Global",0,1.48,0,0,23.53,23.53,0.11,0.11
"AEOC","2_BLT","Global",0,1.48,0,0,33.77,22.85,0.15,0.1
"AERO","1_nSPC","Global",0,1.48,0.01,0.01,0.52,0.52,0,0
"AERO","2_BLT","Global",0,1.48,0.01,0.01,0.8,0.54,0,0
"ALSC","1_nSPC","Global",0,1.48,0.04,0.04,0.39,0.39,0.01,0.01
"AMBI","1_nSPC","Global",0,1.48,0,0,0.04,0.04,0,0
"AMCH","1_nSPC","Global",0,1.48,0.06,0.06,0.05,0.05,0,0
"AMCH","2_BLT","Global",0,1.48,0.03,0.03,0.17,0.11,0.01,0
"AMCL","1_nSPC","Global",0,1.48,0.02,0.02,0.06,0.06,0,0
"AMCL","2_BLT","Global",0,1.48,0,0,0.26,0.18,0,0
"AMCU","1_nSPC","Global",0,1.48,0,0,0.05,0.05,0,0
"AMFA","1_nSPC","Global",0,1.48,0.02,0.02,0.01,0.01,0,0
"AMFA","2_BLT","Global",0,1.48,0.02,0.02,0.01,0.01,0,0
"AMGU","1_nSPC","Global",0,1.48,0,0,0.05,0.05,0,0
"AMME","1_nSPC","Global",0,1.48,0.01,0.01,0.11,0.11,0,0
"AMME","2_BLT","Global",0,1.48,0.01,0.01,0.75,0.51,0.01,0
"AMPE","1_nSPC","Global",0,1.48,0,0,0.04,0.04,0,0
"AMPH","1_nSPC","Global",0,1.48,0,0,0.39,0.39,0,0
"AMSC","1_nSPC","Global",0,1.48,0.02,0.02,0.06,0.06,0,0
"AMSC","2_BLT","Global",0,1.48,0.02,0.02,0.62,0.42,0.01,0.01
"AMSP","1_nSPC","Global",0,1.48,0,0,0.02,0.02,0,0
"AMSP","2_BLT","Global",0,1.48,0.01,0.01,0.03,0.02,0,0
"ANCA","1_nSPC","Global",0,1.48,0.32,0.32,0.1,0.1,0.03,0.03
"ANCA","2_BLT","Global",0,1.48,0.05,0.05,0.46,0.31,0.02,0.02
"ANGE","2_BLT","Global",0,1.48,0,0,0.47,0.32,0,0
"ANME","1_nSPC","Global",0,1.48,0,0,0.01,0.01,0,0
"ANMG","1_nSPC","Global",0,1.48,0.04,0.04,0.04,0.04,0,0
"ANMG","2_BLT","Global",0,1.48,0.02,0.02,0.06,0.04,0,0
