"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","-0.2","-0.6907"," 0.2892","1.9","0.9048","3.3496","0.094","0.094","0.52","0.52","0.048","0.048"
"ABAB","2_BLT","-0.2","-0.6907"," 0.2892","1.9","0.9048","3.3496","0.068","0.082","0.87","0.47","0.059","0.038"
"ABSO","1_nSPC","-0.81","-1.4236","-0.1722","2.9","1.685","4.699","0.090","0.090","0.24","0.24","0.021","0.021"
"ABSO","2_BLT","-0.81","-1.4236","-0.1722","2.9","1.685","4.699","0.041","0.088","0.71","0.25","0.029","0.022"
"ABVA","1_nSPC","-0.92","-1.5777","-0.2610","2.7","1.092","5.495","0.089","0.089","0.34","0.34","0.030","0.03"
"ABVA","2_BLT","-0.92","-1.5777","-0.2610","2.7","1.092","5.495","0.046","0.108","0.50","0.19","0.023","0.02"
"ACAC","1_nSPC","0.35","-0.04865"," 0.77031","2.4","1.376","3.803","0.080","0.080","0.5","0.50","0.040","0.040"
"ACAC","2_BLT","0.35","-0.04865"," 0.77031","2.4","1.376","3.803","0.066","0.047","1.2","0.49","0.077","0.023"
"ACBL","1_nSPC","-0.38","-0.70561","-0.06102","2.1","1.485","3.044","0.32","0.32","1.6","1.6","0.51","0.51"
"ACBL","2_BLT","-0.38","-0.70561","-0.06102","2.1","1.485","3.044","0.24","0.31","4.1","1.9","0.98","0.60"
"ACDU","1_nSPC","0.48","0.2152","0.7430","2.8","2.290","3.438","0.34","0.34","2.2","2.2","0.75","0.75"
"ACDU","2_BLT","0.48","0.2152","0.7430","2.8","2.290","3.438","0.44","0.33","7.3","2.6","3.25","0.85"
"ACGU","1_nSPC","-1.3","-2.7845"," 0.1635","5.1"," 1.262","14.024","0.0283","0.028","0.063","0.063","0.0018","0.0018"
"ACGU","2_BLT","-1.3","-2.7845"," 0.1635","5.1"," 1.262","14.024","0.0051","0.019","0.291","0.057","0.0015","0.0011"
"ACLE","1_nSPC","-0.49","-0.7695","-0.2262","2.4","1.750","3.281","0.42","0.42","0.15","0.15","0.064","0.064"
"ACLE","2_BLT","-0.49","-0.7695","-0.2262","2.4","1.750","3.281","0.31","0.43","0.31","0.13","0.098","0.055"
"ACNC","1_nSPC","0.46","-0.1031"," 1.0342","1.9","0.8766","3.6003","0.036","0.036","0.21","0.21","0.0074","0.0074"
"ACNC","2_BLT","0.46","-0.1031"," 1.0342","1.9","0.8766","3.6003","0.033","0.021","0.66","0.35","0.0218","0.0075"
"ACNF","1_nSPC","-0.15","-0.5472"," 0.2760","3.3","2.704","3.895","0.89","0.89","0.83","0.83","0.74","0.74"
"ACNF","2_BLT","-0.15","-0.5472"," 0.2760","3.3","2.704","3.895","0.87","0.88","2.43","0.74","2.11","0.66"
"ACNR","1_nSPC","0.47","0.1657","0.7778","1.8","1.303","2.468","0.19","0.19","0.25","0.25","0.047","0.047"
"ACNR","2_BLT","0.47","0.1657","0.7778","1.8","1.303","2.468","0.30","0.21","1.00","0.54","0.302","0.115"
"ACOL","1_nSPC","-0.018","-0.32266"," 0.25322","2.6","1.995","3.216","0.62","0.62","2.2","2.2","1.4","1.4"
"ACOL","2_BLT","-0.018","-0.32266"," 0.25322","2.6","1.995","3.216","0.64","0.64","9.1","3.6","5.8","2.3"
"ACSP","1_nSPC","-0.082","-0.83004"," 0.64515","2.3","0.4015","7.5733","0.033","0.033","0.068","0.0680","0.0022","0.00224"
"ACSP","2_BLT","-0.082","-0.83004"," 0.64515","2.3","0.4015","7.5733","0.045","0.049","0.023","0.0098","0.0010","0.00048"
"ACTH","1_nSPC","-0.28","-0.7412"," 0.2226","3.8","1.708","7.927","0.150","0.15","0.75","0.75","0.11","0.112"
"ACTH","2_BLT","-0.28","-0.7412"," 0.2226","3.8","1.708","7.927","0.084","0.11","1.37","0.36","0.11","0.039"
"ACTR","1_nSPC","-1.5","-1.952","-1.099","1.8","0.9415","3.0091","0.31","0.31","0.61","0.61","0.19","0.19"
"ACTR","2_BLT","-1.5","-1.952","-1.099","1.8","0.9415","3.0091","0.13","0.42","0.83","0.46","0.11","0.19"
"ACXA","1_nSPC","-1.6","-2.6802","-0.4239","4.3"," 0.8383","13.0367","0.069","0.069","2.8","2.8","0.19","0.19"
"ACXA","2_BLT","-1.6","-2.6802","-0.4239","4.3"," 0.8383","13.0367","0.029","0.125","8.4","2.0","0.24","0.24"
"AEOC","1_nSPC","-1.2","-3.1442"," 0.9606","2.3","0.8323","5.3895","0.01186","0.0119","12","12","0.146","0.146"
"AEOC","2_BLT","-1.2","-3.1442"," 0.9606","2.3","0.8323","5.3895","0.00064","0.0021","27","12","0.017","0.024"
"ANCH","1_nSPC","-0.74","-1.3276","-0.1835","7.2"," 2.261","16.405","0.106","0.106","0.044","0.0442","0.0047","0.00467"
"ANCH","2_BLT","-0.74","-1.3276","-0.1835","7.2"," 2.261","16.405","0.042","0.084","0.065","0.0091","0.0027","0.00077"
"ANCU","1_nSPC","-0.098","-0.5233"," 0.3271","1.8","0.9284","3.3034","0.093","0.093","0.17","0.17","0.016","0.016"
"ANCU","2_BLT","-0.098","-0.5233"," 0.3271","1.8","0.9284","3.3034","0.135","0.147","0.42","0.23","0.057","0.034"
"APAR","1_nSPC","-0.38","-0.9675"," 0.2340","4.7","3.250","6.769","0.063","0.063","0.22","0.22","0.014","0.014"
"APAR","2_BLT","-0.38","-0.9675"," 0.2340","4.7","3.250","6.769","0.095","0.133","1.14","0.24","0.109","0.032"
"APFU","1_nSPC","-0.38","-0.7340","-0.0331","2.1","1.570","2.639","0.23","0.23","0.83","0.83","0.19","0.19"
"APFU","2_BLT","-0.38","-0.7340","-0.0331","2.1","1.570","2.639","0.18","0.24","1.11","0.54","0.20","0.13"
"APSP","1_nSPC","-1.3","-3.2797"," 0.7027","108551","9.163e-12","2.922e+00","0.0100","0.0100","0.1343","1.3e-01","1.3e-03","1.3e-03"
"APSP","2_BLT","-1.3","-3.2797"," 0.7027","108551","9.163e-12","2.922e+00","0.0014","0.0053","0.0048","4.4e-08","6.8e-06","2.3e-10"
"APVI","1_nSPC","-1.3","-1.8301","-0.7656","2","1.166","3.206","0.244","0.24"," 5.4","5.4","1.3","1.3"
"APVI","2_BLT","-1.3","-1.8301","-0.7656","2","1.166","3.206","0.072","0.22","17.4","8.6","1.2","1.9"
"ARME","1_nSPC","1.7","0.8136","2.6284","5.1"," 1.926","11.232","0.0098","0.0098","2.7","2.7","0.026","0.0262"
"ARME","2_BLT","1.7","0.8136","2.6284","5.1"," 1.926","11.232","0.0358","0.0065","6.9","1.4","0.248","0.0088"
"AUCH","1_nSPC","-0.47","-0.86983","-0.06689","1.3","0.7442","2.0193","0.123","0.12","0.18","0.18","0.023","0.023"
"AUCH","2_BLT","-0.47","-0.86983","-0.06689","1.3","0.7442","2.0193","0.088","0.13","0.32","0.25","0.028","0.034"
"BAPO","1_nSPC","-1.5","-3.457"," 0.587","0.78","0.05512","4.48723","0.0085","0.0085","1.23","1.23","0.0104","0.0104"
"BAPO","2_BLT","-1.5","-3.457"," 0.587","0.78","0.05512","4.48723","0.0021","0.0097","0.67","0.86","0.0014","0.0083"
"BLEN","1_nSPC","-0.28","-1.3963"," 0.8185","0.43","0.02743","1.77113","0.0233","0.0233","0.102","0.102","2.4e-03","0.00237"
"BLEN","2_BLT","-0.28","-1.3963"," 0.8185","0.43","0.02743","1.77113","0.0069","0.0091","0.013","0.031","9.2e-05","0.00028"
"BOAL","1_nSPC","-0.28","-0.565697"," 0.005997","1.4","1.092","1.840","0.61","0.61","1.1","1.1","0.65","0.65"
"BOAL","2_BLT","-0.28","-0.565697"," 0.005997","1.4","1.092","1.840","0.42","0.49","2.0","1.4","0.86","0.71"
"CAAB","1_nSPC","-18","-7476.41"," 7364.78","1.9","0.0001696","8.8951108","0.0206","0.021","30.6","30.6","0.631","0.63"
"CAAB","2_BLT","-18","-7476.41"," 7364.78","1.9","0.0001696","8.8951108","0.0048","1.000"," 5.2"," 2.8","0.025","2.78"
"CAAM","1_nSPC","-0.026","-0.41347"," 0.30065","3.9","2.903","4.982","0.16","0.16","0.022","0.022","0.0035","0.0035"
"CAAM","2_BLT","-0.026","-0.41347"," 0.30065","3.9","2.903","4.982","0.12","0.13","0.071","0.018","0.0087","0.0023"
"CACA","1_nSPC","-0.62","-1.0297","-0.2309","1.6","0.814","2.687","0.16","0.16","0.47","0.47","0.073","0.073"
"CACA","2_BLT","-0.62","-1.0297","-0.2309","1.6","0.814","2.687","0.13","0.22","1.09","0.70","0.141","0.152"
"CACO","1_nSPC","0.11","-0.3285"," 0.5498","1.9","1.165","2.937","0.14","0.14","0.047","0.047","0.0065","0.0065"
"CACO","2_BLT","0.11","-0.3285"," 0.5498","1.9","1.165","2.937","0.16","0.15","0.124","0.065","0.0202","0.0097"
"CADU","1_nSPC","-0.8","-1.3231","-0.2913","2.6","1.625","4.077","0.096","0.096","0.46","0.46","0.044","0.044"
"CADU","2_BLT","-0.8","-1.3231","-0.2913","2.6","1.625","4.077","0.088","0.176","0.90","0.35","0.079","0.061"
"CAFE","1_nSPC","-1.1","-3.133"," 0.964","1.7e+20","1.973e-13","9.262e+04","0.0186","0.0186"," 3.1","3.1e+00","0.058","5.8e-02"
"CAFE","2_BLT","-1.1","-3.133"," 0.964","1.7e+20","1.973e-13","9.262e+04","0.0014","0.0044","11.0","6.6e-20","0.016","2.9e-22"
"CAIG","1_nSPC","-1.3","-3.272"," 0.836","16"," 0.9578","76.3733","0.03642","0.0364","18","18.1","0.660","0.6598"
"CAIG","2_BLT","-1.3","-3.272"," 0.836","16"," 0.9578","76.3733","0.00064","0.0023","25"," 1.6","0.016","0.0035"
"CAJA","1_nSPC","0.58","0.2621","0.9118","5.2","4.601","5.889","0.73","0.73","0.03","0.030","0.022","0.022"
"CAJA","2_BLT","0.58","0.2621","0.9118","5.2","4.601","5.889","0.75","0.63","0.17","0.033","0.127","0.021"
"CAME","1_nSPC","-1.3","-1.756","-0.875","1.7","1.107","2.643","0.31","0.31","3.2","3.2","1.00","1.0"
"CAME","2_BLT","-1.3","-1.756","-0.875","1.7","1.107","2.643","0.14","0.38","5.0","2.9","0.71","1.1"
"CAOR","1_nSPC","-1.4","-2.778415","-0.000068","1.3","0.1478","4.6432","0.0285","0.029","2.14","2.14","0.061","0.061"
"CAOR","2_BLT","-1.4","-2.778415","-0.000068","1.3","0.1478","4.6432","0.0028","0.011","0.69","0.53","0.002","0.006"
"CASA","1_nSPC","-0.91","-1.3413","-0.4649","1.5","0.8703","2.2353","0.14","0.14","0.072","0.072","0.010","0.010"
"CASA","2_BLT","-0.91","-1.3413","-0.4649","1.5","0.8703","2.2353","0.12","0.25","0.095","0.065","0.011","0.016"
"CATY","1_nSPC","0.91","0.3145","1.5280","2.6","1.005","4.928","0.015","0.0152","0.0025","0.0025","3.7e-05","3.7e-05"
"CATY","2_BLT","0.91","0.3145","1.5280","2.6","1.005","4.928","0.021","0.0084","0.0124","0.0049","2.6e-04","4.1e-05"
"CAZO","1_nSPC","-1.3","-3.2309"," 0.6458","1.1","0.1731","3.3976","0.0093","0.0093","0.63","0.63","0.0058","0.0058"
"CAZO","2_BLT","-1.3","-3.2309"," 0.6458","1.1","0.1731","3.3976","0.0021","0.0075","0.70","0.64","0.0015","0.0048"
"CEAR","1_nSPC","-0.37","-0.64876","-0.09788","1.7","1.365","2.005","0.50","0.50","2.0","2.0","1.0","1.00"
"CEAR","2_BLT","-0.37","-0.64876","-0.09788","1.7","1.365","2.005","0.32","0.41","3.5","2.1","1.1","0.85"
"CEFI","1_nSPC","-0.27","-0.8597"," 0.3649","3","1.512","5.120","0.087","0.087","0.030","0.030","0.0026","0.0026"
