"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABAB","1741","1440","301","126","124","2"
"ACAC","1741","1440","301","110","108","2"
"ACBL","1741","1440","301","439","376","63"
"ACDU","1741","1440","301","572","443","129"
"ACLE","1741","1440","301","600","574","26"
"ACNF","1741","1440","301","1277","1273","4"
"ACNR","1741","1440","301","294","275","19"
"ACOL","1741","1440","301","1059","897","162"
"ACTH","1741","1440","301","159","153","6"
"ACTR","1741","1440","301","447","446","1"
"ACXA","1741","1440","301","68","65","3"
"AEOC","1741","1440","301","18","17","1"
"ALSC","1741","1440","301","10","9","1"
"ANCU","1741","1440","301","170","156","14"
"APAR","1741","1440","301","103","102","1"
"APFU","1741","1440","301","329","274","55"
"APVI","1741","1440","301","288","268","20"
"ARHI","1741","1440","301","8","5","3"
"ARME","1741","1440","301","18","9","9"
"AUCH","1741","1440","301","227","195","32"
"BAPO","1741","1440","301","19","18","1"
"BOAL","1741","1440","301","946","819","127"
"CAAB","1741","1440","301","10","10","0"
"CACA","1741","1440","301","240","227","13"
"CADU","1741","1440","301","151","138","13"
"CAFE","1741","1440","301","22","21","1"
"CAGA","1741","1440","301","3","2","1"
"CAIG","1741","1440","301","16","15","1"
"CAME","1741","1440","301","365","340","25"
"CAOR","1741","1440","301","40","38","2"
"CAZO","1741","1440","301","17","16","1"
"CEAR","1741","1440","301","769","646","123"
"CHAU","1741","1440","301","205","204","1"
"CHCH","1741","1440","301","17","16","1"
"CHIN","1741","1440","301","39","36","3"
"CHPE","1741","1440","301","112","90","22"
"CHSL","1741","1440","301","530","480","50"
"CHUB","1741","1440","301","286","234","52"
"CIPI","1741","1440","301","158","155","3"
"COFL","1741","1440","301","42","37","5"
"COGA","1741","1440","301","606","579","27"
"CONG","1741","1440","301","3","2","1"
"CTHA","1741","1440","301","178","156","22"
"CTST","1741","1440","301","795","792","3"
"DEMA","1741","1440","301","151","144","7"
"DIHO","1741","1440","301","5","4","1"
"DIHY","1741","1440","301","25","20","5"
"ENCA","1741","1440","301","5","3","2"
"FICO","1741","1440","301","110","106","4"
"GOVA","1741","1440","301","580","573","7"
"GYEU","1741","1440","301","21","16","5"
"GYFL","1741","1440","301","101","87","14"
"GYJA","1741","1440","301","10","9","1"
"GYME","1741","1440","301","176","140","36"
"GYMT","1741","1440","301","15","13","2"
"GYSP","1741","1440","301","17","14","3"
"GYUN","1741","1440","301","19","15","4"
"GYZE","1741","1440","301","9","6","3"
"KUSA","1741","1440","301","7","6","1"
"KYCI","1741","1440","301","23","14","9"
"KYSA","1741","1440","301","15","3","12"
"KYVA","1741","1440","301","2","2","0"
"LUFU","1741","1440","301","352","307","45"
"LUKA","1741","1440","301","482","383","99"
"MABR","1741","1440","301","89","83","6"
"MENI","1741","1440","301","451","383","68"
"MEVI","1741","1440","301","745","655","90"
"MOGR","1741","1440","301","390","362","28"
"MUFL","1741","1440","301","143","127","16"
"MUVA","1741","1440","301","116","104","12"
"MYAM","1741","1440","301","25","21","4"
"MYBE","1741","1440","301","260","206","54"
"MYKU","1741","1440","301","97","96","1"
"NABR","1741","1440","301","315","289","26"
"NAHE","1741","1440","301","327","294","33"
"NALI","1741","1440","301","1042","881","161"
"NAUN","1741","1440","301","444","386","58"
"NESA","1741","1440","301","41","37","4"
"NOTA","1741","1440","301","92","86","6"
"OPPU","1741","1440","301","5","3","2"
"OXUN","1741","1440","301","362","337","25"
"PACY","1741","1440","301","355","327","28"
"PAFO","1741","1440","301","439","437","2"
"PAIN","1741","1440","301","410","357","53"
"PAMU","1741","1440","301","1312","1214","98"
"PAPL","1741","1440","301","372","359","13"
"PAPO","1741","1440","301","99","88","11"
"PRME","1741","1440","301","13","7","6"
"RHAC","1741","1440","301","26","24","2"
"RHRE","1741","1440","301","463","442","21"
"SASP","1741","1440","301","39","30","9"
"SATI","1741","1440","301","75","60","15"
"SCCA","1741","1440","301","9","7","2"
"SCDI","1741","1440","301","11","9","2"
"SCDU","1741","1440","301","139","128","11"
"SCLY","1741","1440","301","43","40","3"
"SCPS","1741","1440","301","509","469","40"
"SCRU","1741","1440","301","656","522","134"
"SCSP","1741","1440","301","11","9","2"
"SEDU","1741","1440","301","31","29","2"
"SPBA","1741","1440","301","15","11","4"
"SUBU","1741","1440","301","1087","1038","49"
"SUFR","1741","1440","301","716","616","100"
"THBA","1741","1440","301","105","92","13"
"THDU","1741","1440","301","1369","1357","12"
"THPU","1741","1440","301","72","69","3"
"THTR","1741","1440","301","151","140","11"
"TROB","1741","1440","301","16","15","1"
"ZEVE","1741","1440","301","95","83","12"
