"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",1.93,3.44,0.09,0.09,0.52,0.52,0.05,0.05
"ABAB","2_BLT","Global",1.93,3.44,0,0,0.37,0.11,0,0
"ABSO","1_nSPC","Global",1.93,3.44,0.09,0.09,0.24,0.24,0.02,0.02
"ABVA","1_nSPC","Global",1.93,3.44,0.09,0.09,0.34,0.34,0.03,0.03
"ACAC","1_nSPC","Global",1.93,3.44,0.08,0.08,0.5,0.5,0.04,0.04
"ACAC","2_BLT","Global",1.93,3.44,0,0.03,0.46,0.13,0,0
"ACAN","1_nSPC","Global",1.93,3.44,0,0,0.1,0.1,0,0
"ACBL","1_nSPC","Global",1.93,3.44,0.32,0.32,1.58,1.58,0.51,0.51
"ACBL","2_BLT","Global",1.93,3.44,0.1,0.42,1.8,0.52,0.17,0.22
"ACDU","1_nSPC","Global",1.93,3.44,0.34,0.34,2.2,2.2,0.75,0.75
"ACDU","2_BLT","Global",1.93,3.44,0.2,0.63,3.39,0.99,0.67,0.62
"ACGU","1_nSPC","Global",1.93,3.44,0.03,0.03,0.06,0.06,0,0
"ACLE","1_nSPC","Global",1.93,3.44,0.42,0.42,0.15,0.15,0.06,0.06
"ACLE","2_BLT","Global",1.93,3.44,0.01,0.09,0.16,0.05,0,0
"ACNC","1_nSPC","Global",1.93,3.44,0.04,0.04,0.21,0.21,0.01,0.01
"ACNF","1_nSPC","Global",1.93,3.44,0.89,0.89,0.83,0.83,0.74,0.74
"ACNF","2_BLT","Global",1.93,3.44,0,0.02,0.4,0.12,0,0
"ACNR","1_nSPC","Global",1.93,3.44,0.19,0.19,0.25,0.25,0.05,0.05
"ACNR","2_BLT","Global",1.93,3.44,0.03,0.2,0.51,0.15,0.02,0.03
"ACOL","1_nSPC","Global",1.93,3.44,0.62,0.62,2.23,2.23,1.39,1.39
"ACOL","2_BLT","Global",1.93,3.44,0.23,0.67,4.36,1.27,1,0.85
"ACSP","1_nSPC","Global",1.93,3.44,0.03,0.03,0.07,0.07,0,0
"ACTH","1_nSPC","Global",1.93,3.44,0.15,0.15,0.75,0.75,0.11,0.11
"ACTH","2_BLT","Global",1.93,3.44,0.01,0.08,0.41,0.12,0,0.01
"ACTR","1_nSPC","Global",1.93,3.44,0.31,0.31,0.61,0.61,0.19,0.19
"ACTR","2_BLT","Global",1.93,3.44,0,0,1.15,0.34,0,0
"ACXA","1_nSPC","Global",1.93,3.44,0.07,0.07,2.76,2.76,0.19,0.19
"ACXA","2_BLT","Global",1.93,3.44,0.01,0.06,3.15,0.91,0.03,0.06
"AEOC","1_nSPC","Global",1.93,3.44,0.01,0.01,12.34,12.34,0.15,0.15
"AEOC","2_BLT","Global",1.93,3.44,0,0,9.03,2.63,0,0
"ALCI","1_nSPC","Global",1.93,3.44,0,0,19.6,19.6,0.04,0.04
"ALSC","1_nSPC","Global",1.93,3.44,0,0,0.38,0.38,0,0
"ALSC","2_BLT","Global",1.93,3.44,0,0,0.06,0.02,0,0
"AMBI","1_nSPC","Global",1.93,3.44,0,0,0,0,0,0
"ANCH","1_nSPC","Global",1.93,3.44,0.11,0.11,0.04,0.04,0,0
"ANCU","1_nSPC","Global",1.93,3.44,0.09,0.09,0.17,0.17,0.02,0.02
"ANCU","2_BLT","Global",1.93,3.44,0.03,0.17,0.28,0.08,0.01,0.01
"ANSP","1_nSPC","Global",1.93,3.44,0,0,0,0,0,0
"APAR","1_nSPC","Global",1.93,3.44,0.06,0.06,0.22,0.22,0.01,0.01
"APAR","2_BLT","Global",1.93,3.44,0,0,0.31,0.09,0,0
"APFU","1_nSPC","Global",1.93,3.44,0.23,0.23,0.83,0.83,0.19,0.19
"APFU","2_BLT","Global",1.93,3.44,0.07,0.34,0.47,0.14,0.03,0.05
"APKA","1_nSPC","Global",1.93,3.44,0,0,0.01,0.01,0,0
"APSP","1_nSPC","Global",1.93,3.44,0.01,0.01,0.13,0.13,0,0
"APVI","1_nSPC","Global",1.93,3.44,0.24,0.24,5.45,5.45,1.33,1.33
"APVI","2_BLT","Global",1.93,3.44,0.03,0.18,8.44,2.46,0.26,0.45
"ARHI","1_nSPC","Global",1.93,3.44,0,0,0.9,0.9,0,0
"ARHI","2_BLT","Global",1.93,3.44,0,0.01,0.82,0.24,0,0
"ARME","1_nSPC","Global",1.93,3.44,0.01,0.01,2.68,2.68,0.03,0.03
"ARME","2_BLT","Global",1.93,3.44,0.01,0.07,2.94,0.85,0.03,0.06
"AUCH","1_nSPC","Global",1.93,3.44,0.12,0.12,0.18,0.18,0.02,0.02
"AUCH","2_BLT","Global",1.93,3.44,0.03,0.17,0.14,0.04,0,0.01
"BALA","1_nSPC","Global",1.93,3.44,0,0,20.33,20.33,0.01,0.01
"BAPO","1_nSPC","Global",1.93,3.44,0.01,0.01,1.23,1.23,0.01,0.01
"BAPO","2_BLT","Global",1.93,3.44,0,0.01,0.34,0.1,0,0
"BLEN","1_nSPC","Global",1.93,3.44,0.02,0.02,0.1,0.1,0,0
"BOAL","1_nSPC","Global",1.93,3.44,0.61,0.61,1.07,1.07,0.65,0.65
"BOAL","2_BLT","Global",1.93,3.44,0.15,0.54,1.08,0.31,0.16,0.17
"BOMA","1_nSPC","Global",1.93,3.44,0.01,0.01,0.63,0.63,0,0
"CAAB","1_nSPC","Global",1.93,3.44,0.02,0.02,30.62,30.62,0.63,0.63
"CAAB","2_BLT","Global",1.93,3.44,0,0.01,1.74,0.51,0,0.01
"CAAM","1_nSPC","Global",1.93,3.44,0.16,0.16,0.02,0.02,0,0
"CACA","1_nSPC","Global",1.93,3.44,0.16,0.16,0.47,0.47,0.07,0.07
