"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABAB","1449","883","566","349","222","127"
"ABSO","1449","883","566","8","7","1"
"ABVA","1449","883","566","102","80","22"
"ACAC","1449","883","566","101","48","53"
"ACBL","1449","883","566","261","195","66"
"ACDU","1449","883","566","145","89","56"
"ACLE","1449","883","566","421","266","155"
"ACNC","1449","883","566","8","7","1"
"ACNF","1449","883","566","642","413","229"
"ACNR","1449","883","566","1085","649","436"
"ACOL","1449","883","566","716","479","237"
"ACSP","1449","883","566","38","34","4"
"ACTH","1449","883","566","25","20","5"
"ACTR","1449","883","566","1055","656","399"
"ACXA","1449","883","566","9","6","3"
"AEOC","1449","883","566","13","9","4"
"ALSC","1449","883","566","6","5","1"
"ANCH","1449","883","566","229","162","67"
"ANCO","1449","883","566","1","0","1"
"ANCU","1449","883","566","482","289","193"
"APAR","1449","883","566","103","78","25"
"APFU","1449","883","566","69","50","19"
"APSP","1449","883","566","5","4","1"
"APVI","1449","883","566","765","595","170"
"ARHI","1449","883","566","7","3","4"
"ATIN","1449","883","566","2","1","1"
"AUCH","1449","883","566","189","119","70"
"BLEN","1449","883","566","20","19","1"
"BOAL","1449","883","566","1204","769","435"
"CAAB","1449","883","566","66","57","9"
"CAAM","1449","883","566","32","23","9"
"CACA","1449","883","566","178","125","53"
"CACO","1449","883","566","132","107","25"
"CADU","1449","883","566","98","63","35"
"CAFE","1449","883","566","22","15","7"
"CAGA","1449","883","566","207","169","38"
"CAIG","1449","883","566","532","333","199"
"CAJA","1449","883","566","834","493","341"
"CAME","1449","883","566","465","325","140"
"CAOR","1449","883","566","56","40","16"
"CASA","1449","883","566","78","44","34"
"CATY","1449","883","566","23","17","6"
"CAVE","1449","883","566","18","17","1"
"CAZO","1449","883","566","217","128","89"
"CEAR","1449","883","566","15","11","4"
"CEPO","1449","883","566","841","551","290"
"CHAC","1449","883","566","56","48","8"
"CHAG","1449","883","566","46","41","5"
"CHAU","1449","883","566","424","326","98"
"CHCI","1449","883","566","6","5","1"
"CHEP","1449","883","566","6","5","1"
"CHFR","1449","883","566","830","582","248"
"CHHA","1449","883","566","758","489","269"
"CHIN","1449","883","566","12","7","5"
"CHKL","1449","883","566","112","95","17"
"CHLT","1449","883","566","158","92","66"
"CHLU","1449","883","566","22","15","7"
"CHMI","1449","883","566","750","469","281"
"CHMU","1449","883","566","478","347","131"
"CHOR","1449","883","566","380","280","100"
"CHOV","1449","883","566","682","423","259"
"CHPE","1449","883","566","1087","633","454"
"CHQU","1449","883","566","64","38","26"
"CHSL","1449","883","566","889","532","357"
"CHTR","1449","883","566","117","85","32"
"CHUB","1449","883","566","428","279","149"
"CHUN","1449","883","566","89","67","22"
"CHVA","1449","883","566","579","365","214"
"CHVE","1449","883","566","175","132","43"
"CHVI","1449","883","566","139","100","39"
"CIFA","1449","883","566","520","325","195"
"CIJO","1449","883","566","13","12","1"
"CIPI","1449","883","566","331","197","134"
"CIVA","1449","883","566","438","270","168"
"COBA","1449","883","566","89","80","9"
"COFL","1449","883","566","455","293","162"
"COGA","1449","883","566","121","86","35"
"COVE","1449","883","566","762","482","280"
"CTHA","1449","883","566","16","14","2"
"CTST","1449","883","566","1034","604","430"
"CYLE","1449","883","566","8","7","1"
"DAAL","1449","883","566","499","320","179"
"DEBA","1449","883","566","10","6","4"
"DEMA","1449","883","566","59","45","14"
"DIHO","1449","883","566","14","9","5"
"DIHY","1449","883","566","19","12","7"
"ELBI","1449","883","566","19","17","2"
"EPIN","1449","883","566","247","141","106"
"EUAF","1449","883","566","8","7","1"
"EXBR","1449","883","566","140","73","67"
"FICO","1449","883","566","32","19","13"
"FILE","1449","883","566","1","0","1"
"FISH","1449","883","566","12","7","5"
"FOFL","1449","883","566","390","286","104"
"FOLO","1449","883","566","56","41","15"
"GEPE","1449","883","566","96","77","19"
"GOBI","1449","883","566","18","7","11"
"GOVA","1449","883","566","670","379","291"
"GUCU","1449","883","566","34","30","4"
"GYEU","1449","883","566","24","10","14"
"GYFL","1449","883","566","12","10","2"
"GYJA","1449","883","566","5","2","3"
"GYME","1449","883","566","10","6","4"
"GYUN","1449","883","566","6","5","1"
"HAOR","1449","883","566","414","254","160"
"HECA","1449","883","566","12","8","4"
"HEDI","1449","883","566","21","19","2"
"HYQU","1449","883","566","6","2","4"
"INPA","1449","883","566","3","2","1"
"KAPE","1449","883","566","2","1","1"
"KYCI","1449","883","566","38","17","21"
"KYSA","1449","883","566","107","15","92"
"KYVA","1449","883","566","46","3","43"
"LAFO","1449","883","566","4","2","2"
"LAPH","1449","883","566","731","435","296"
"LIZA","1449","883","566","112","49","63"
"LUKA","1449","883","566","118","73","45"
"MABR","1449","883","566","51","40","11"
"MAGE","1449","883","566","853","507","346"
"MENI","1449","883","566","392","238","154"
"MEVI","1449","883","566","261","187","74"
"MOGR","1449","883","566","375","287","88"
"MORA","1449","883","566","3","2","1"
"MUFL","1449","883","566","276","153","123"
"MUVA","1449","883","566","158","79","79"
"MYAM","1449","883","566","56","31","25"
"MYBE","1449","883","566","181","94","87"
"MYCH","1449","883","566","3","1","2"
"MYKU","1449","883","566","152","96","56"
"MYMA","1449","883","566","10","9","1"
"NABR","1449","883","566","249","173","76"
"NACA","1449","883","566","3","1","2"
"NAHE","1449","883","566","85","73","12"
"NALI","1449","883","566","321","179","142"
"NASP","1449","883","566","8","7","1"
"NAUN","1449","883","566","914","573","341"
"NESA","1449","883","566","255","131","124"
"NOTA","1449","883","566","50","39","11"
"OPFA","1449","883","566","20","13","7"
"OPPU","1449","883","566","144","108","36"
"OSMA","1449","883","566","13","6","7"
"OSME","1449","883","566","79","34","45"
"OXBI","1449","883","566","357","247","110"
"OXUN","1449","883","566","668","435","233"
"PAAR","1449","883","566","647","385","262"
"PACY","1449","883","566","385","263","122"
"PAFO","1449","883","566","450","290","160"
"PAIN","1449","883","566","104","46","58"
"PAMU","1449","883","566","1232","796","436"
"PAPL","1449","883","566","491","335","156"
"PAPO","1449","883","566","56","28","28"
"PARR","1449","883","566","295","250","45"
"PASC","1449","883","566","29","26","3"
