"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","0.13","-0.1687"," 0.4239","5.1","3.693","6.989","0.15","0.15","0.9","0.90","0.14","0.14"
"ABAB","2_BLT","0.13","-0.1687"," 0.4239","5.1","3.693","6.989","0.22","0.20","3.1","0.61","0.69","0.12"
"ABVA","1_nSPC","-0.96","-1.4969","-0.4386","3.5","1.146","8.811","0.08","0.080","1.2","1.18","0.095","0.095"
"ABVA","2_BLT","-0.96","-1.4969","-0.4386","3.5","1.146","8.811","0.04","0.098","1.7","0.48","0.066","0.047"
"ACAC","1_nSPC","0.67","0.1679","1.1338","4","2.009","7.069","0.036","0.036","0.78","0.78","0.028","0.028"
"ACAC","2_BLT","0.67","0.1679","1.1338","4","2.009","7.069","0.060","0.032","1.61","0.40","0.097","0.013"
"ACBL","1_nSPC","-1.1","-1.4743","-0.7872","3","1.802","4.844","0.25","0.25","1.8","1.8","0.46","0.46"
"ACBL","2_BLT","-1.1","-1.4743","-0.7872","3","1.802","4.844","0.10","0.26","3.1","1.0","0.32","0.27"
"ACDU","1_nSPC","-0.54","-0.9381","-0.1056","1.5","0.8732","2.2984","0.185","0.19","2.3","2.3","0.43","0.43"
"ACDU","2_BLT","-0.54","-0.9381","-0.1056","1.5","0.8732","2.2984","0.075","0.12","4.5","3.1","0.34","0.38"
"ACLE","1_nSPC","0.091","-0.20249"," 0.37923","2.9","1.852","4.201","0.29","0.29","0.32","0.32","0.091","0.091"
"ACLE","2_BLT","0.091","-0.20249"," 0.37923","2.9","1.852","4.201","0.25","0.23","0.56","0.19","0.139","0.045"
"ACNF","1_nSPC","-0.43","-0.7445","-0.1449","5.4","4.034","6.890","0.45","0.45","0.66","0.66","0.30","0.30"
"ACNF","2_BLT","-0.43","-0.7445","-0.1449","5.4","4.034","6.890","0.36","0.47","1.83","0.34","0.66","0.16"
"ACNR","1_nSPC","0.44","0.1360","0.7381","3.6","2.980","4.389","0.66","0.66","0.82","0.82","0.54","0.54"
"ACNR","2_BLT","0.44","0.1360","0.7381","3.6","2.980","4.389","0.68","0.58","2.43","0.67","1.66","0.39"
"ACOL","1_nSPC","-0.76","-1.0506","-0.4597","2.2","1.736","2.811","0.56","0.56","4.2","4.2","2.4","2.4"
"ACOL","2_BLT","-0.76","-1.0506","-0.4597","2.2","1.736","2.811","0.40","0.59","8.9","4.0","3.5","2.4"
"ACSP","1_nSPC","-1.8","-2.8782","-0.7605","14"," 1.834","57.135","0.0488","0.049","0.013","0.0131","0.00064","6.4e-04"
"ACSP","2_BLT","-1.8","-2.8782","-0.7605","14"," 1.834","57.135","0.0021","0.012","0.103","0.0071","0.00021","8.7e-05"
"ACTH","1_nSPC","-0.74","-1.8388"," 0.3188","14"," 2.69","44.72","0.0219","0.022","0.48","0.480","0.0105","0.01054"
"ACTH","2_BLT","-0.74","-1.8388"," 0.3188","14"," 2.69","44.72","0.0048","0.010","1.34","0.093","0.0064","0.00094"
"ACTR","1_nSPC","-0.73","-1.0435","-0.4450","3.5","2.781","4.271","0.74","0.74","1.4","1.4","1.1","1.1"
"ACTR","2_BLT","-0.73","-1.0435","-0.4450","3.5","2.781","4.271","0.61","0.76","4.6","1.3","2.8","1.0"
"ACXA","1_nSPC","-0.37","-1.7944"," 1.1472","2.1"," 0.02596","12.57832","0.0219","0.0219","4.4","4.4","0.097","0.097"
"ACXA","2_BLT","-0.37","-1.7944"," 1.1472","2.1"," 0.02596","12.57832","0.0059","0.0085","4.6","2.2","0.027","0.019"
"AEOC","1_nSPC","-0.46","-1.7511"," 0.7446","1.3","0.4328","3.0533","0.0102","0.0102","27","27","0.28","0.28"
"AEOC","2_BLT","-0.46","-1.7511"," 0.7446","1.3","0.4328","3.0533","0.0046","0.0072","66","51","0.30","0.37"
"ANCH","1_nSPC","-0.33","-0.67793"," 0.04435","1.4","0.7162","2.4491","0.15","0.15","0.053","0.053","0.0078","0.0078"
"ANCH","2_BLT","-0.33","-0.67793"," 0.04435","1.4","0.7162","2.4491","0.12","0.16","0.109","0.080","0.0131","0.0128"
"ANCU","1_nSPC","0.02","-0.26153"," 0.30139","2.5","1.859","3.163","0.27","0.27","0.22","0.22","0.061","0.061"
"ANCU","2_BLT","0.02","-0.26153"," 0.30139","2.5","1.859","3.163","0.27","0.27","0.50","0.20","0.136","0.054"
"APAR","1_nSPC","-0.26","-0.7930"," 0.2422","4.2","2.619","6.100","0.088","0.088","0.26","0.26","0.023","0.023"
"APAR","2_BLT","-0.26","-0.7930"," 0.2422","4.2","2.619","6.100","0.090","0.114","1.28","0.30","0.116","0.035"
"APFU","1_nSPC","-0.48","-1.076"," 0.146","3.6","1.507","8.328","0.068","0.068","1.3","1.35","0.092","0.092"
"APFU","2_BLT","-0.48","-1.076"," 0.146","3.6","1.507","8.328","0.050","0.078","2.7","0.75","0.135","0.059"
"APVI","1_nSPC","-1.6","-1.911","-1.342","0.96","0.7912","1.1569","0.55","0.55","18","18","10.1","10.1"
"APVI","2_BLT","-1.6","-1.911","-1.342","0.96","0.7912","1.1569","0.32","0.70","13","14"," 4.2"," 9.6"
"AUCH","1_nSPC","0.019","-0.36195"," 0.37291","2.2","1.083","3.759","0.121","0.121","0.29","0.29","0.035","0.035"
"AUCH","2_BLT","0.019","-0.36195"," 0.37291","2.2","1.083","3.759","0.097","0.095","0.34","0.16","0.033","0.015"
"BLEN","1_nSPC","-2.3","-3.9853","-0.2386","20"," 0.01353","96.39840","0.02254","0.0225","0.038","0.03826","8.6e-04","8.6e-04"
"BLEN","2_BLT","-2.3","-3.9853","-0.2386","20"," 0.01353","96.39840","0.00096","0.0091","0.019","0.00093","1.8e-05","8.5e-06"
"BOAL","1_nSPC","-0.58","-0.9160","-0.2367","1.6","1.349","1.858","0.79","0.79","2.6","2.6","2.0","2.0"
"BOAL","2_BLT","-0.58","-0.9160","-0.2367","1.6","1.349","1.858","0.74","0.83","3.5","2.2","2.6","1.8"
"CAAB","1_nSPC","-1.5","-2.2374","-0.7411","0.49","0.1163","1.4095","0.049","0.049","96"," 96","4.8"," 4.8"
"CAAB","2_BLT","-1.5","-2.2374","-0.7411","0.49","0.1163","1.4095","0.017","0.070","76","155","1.3","10.8"
"CAAM","1_nSPC","-0.22","-0.9873"," 0.5716","4.7"," 1.318","11.620","0.035","0.035","0.021","0.021","0.00072","0.00072"
"CAAM","2_BLT","-0.22","-0.9873"," 0.5716","4.7"," 1.318","11.620","0.034","0.042","0.103","0.022","0.00355","0.00094"
"CACA","1_nSPC","-0.71","-1.0746","-0.3569","3.9","2.093","6.416","0.116","0.12","0.76","0.76","0.088","0.088"
"CACA","2_BLT","-0.71","-1.0746","-0.3569","3.9","2.093","6.416","0.089","0.17","2.41","0.61","0.214","0.101"
"CACO","1_nSPC","-0.8","-1.2561","-0.3112","3.4","1.906","5.615","0.15","0.15","0.069","0.069","0.010","0.0100"
"CACO","2_BLT","-0.8","-1.2561","-0.3112","3.4","1.906","5.615","0.05","0.11","0.294","0.086","0.015","0.0091"
"CADU","1_nSPC","-0.21","-0.6888"," 0.2907","2.9","1.720","4.620","0.074","0.074","0.66","0.66","0.049","0.049"
"CADU","2_BLT","-0.21","-0.6888"," 0.2907","2.9","1.720","4.620","0.042","0.051","1.68","0.57","0.071","0.029"
"CAFE","1_nSPC","-0.62","-1.6275"," 0.3337","1.1","0.04217","6.94804","0.0112","0.011","4.2","4.2","0.047","0.047"
"CAFE","2_BLT","-0.62","-1.6275"," 0.3337","1.1","0.04217","6.94804","0.0066","0.012","2.9","2.5","0.019","0.031"
"CAGA","1_nSPC","-0.94","-1.3725","-0.5140","1.5","1.000","2.136","0.14","0.139"," 92","92","12.8","12.8"
"CAGA","2_BLT","-0.94","-1.3725","-0.5140","1.5","1.000","2.136","0.04","0.097","106","71"," 4.3"," 6.9"
"CAIG","1_nSPC","0.22","-0.03821"," 0.51011","1","0.7909","1.2426","0.22","0.22","159","159","34","34"
"CAIG","2_BLT","0.22","-0.03821"," 0.51011","1","0.7909","1.2426","0.22","0.18"," 88"," 88","19","16"
"CAJA","1_nSPC","-0.14","-0.4005"," 0.1075","3.4","2.957","3.937","0.55","0.55","0.043","0.043","0.024","0.024"
"CAJA","2_BLT","-0.14","-0.4005"," 0.1075","3.4","2.957","3.937","0.57","0.60","0.132","0.039","0.074","0.023"
"CAME","1_nSPC","-0.64","-0.8977","-0.3598","1.2","0.8875","1.6186","0.35","0.35"," 23"," 23"," 8.1"," 8.1"
"CAME","2_BLT","-0.64","-0.8977","-0.3598","1.2","0.8875","1.6186","0.23","0.37","123","102","28.9","37.5"
"CAOR","1_nSPC","-0.55","-1.2124"," 0.1453","1.1","0.4829","2.3954","0.058","0.058","4.8","4.8","0.278","0.28"
"CAOR","2_BLT","-0.55","-1.2124"," 0.1453","1.1","0.4829","2.3954","0.033","0.056","2.5","2.2","0.083","0.12"
"CASA","1_nSPC","-0.08","-0.65470"," 0.45741","2.2","1.163","3.779","0.079","0.079","0.12","0.121","0.0095","0.0095"
"CASA","2_BLT","-0.08","-0.65470"," 0.45741","2.2","1.163","3.779","0.055","0.059","0.17","0.076","0.0093","0.0045"
"CATY","1_nSPC","-0.73","-1.7031"," 0.2832","2.7"," 0.490","10.384","0.0266","0.027","0.0031","0.0031","8.2e-05","8.2e-05"
"CATY","2_BLT","-0.73","-1.7031"," 0.2832","2.7"," 0.490","10.384","0.0084","0.017","0.0055","0.0020","4.6e-05","3.5e-05"
"CAVE","1_nSPC","-2.8","-4.8991","-0.8499","56","1.212e-04","1.118e+02","0.0409","0.041","0.034","0.0339","0.00138","0.00138"
"CAVE","2_BLT","-2.8","-4.8991","-0.8499","56","1.212e-04","1.118e+02","0.0083","0.124","0.064","0.0011","0.00053","0.00014"
"CAZO","1_nSPC","0.11","-0.24705"," 0.43375","2.4","1.571","3.606","0.14","0.14","0.56","0.56","0.078","0.078"
"CAZO","2_BLT","0.11","-0.24705"," 0.43375","2.4","1.571","3.606","0.12","0.11","0.91","0.38","0.107","0.041"
"CEAR","1_nSPC","-0.66","-1.9638"," 0.6509","0.64","0.02893","3.67560","0.0388","0.039","3.21","3.2","0.1248","0.125"
"CEAR","2_BLT","-0.66","-1.9638"," 0.6509","0.64","0.02893","3.67560","0.0054","0.010","0.71","1.1","0.0039","0.012"
"CEPO","1_nSPC","-0.04","-0.33440"," 0.23426","2.7","2.292","3.190","0.43","0.43","0.20","0.20","0.086","0.086"
"CEPO","2_BLT","-0.04","-0.33440"," 0.23426","2.7","2.292","3.190","0.49","0.50","0.56","0.21","0.275","0.103"
"CHAC","1_nSPC","-1.3","-2.0450","-0.5461","0.34","0.06967","0.96792","0.0332","0.033","0.0546","0.055","1.8e-03","0.00181"
"CHAC","2_BLT","-1.3","-2.0450","-0.5461","0.34","0.06967","0.96792","0.0064","0.022","0.0086","0.025","5.5e-05","0.00056"
