"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",2.33,3.06,0.15,0.15,0.9,0.9,0.14,0.14
"ABAB","2_BLT","Global",2.33,3.06,0,0.01,0.15,0.05,0,0
"ABSO","1_nSPC","Global",2.33,3.06,0.01,0.01,0.22,0.22,0,0
"ABVA","1_nSPC","Global",2.33,3.06,0.08,0.08,1.18,1.18,0.09,0.09
"ACAC","1_nSPC","Global",2.33,3.06,0.04,0.04,0.78,0.78,0.03,0.03
"ACAC","2_BLT","Global",2.33,3.06,0.01,0.05,0.69,0.23,0,0.01
"ACAN","1_nSPC","Global",2.33,3.06,0,0,0.02,0.02,0,0
"ACBL","1_nSPC","Global",2.33,3.06,0.25,0.25,1.84,1.84,0.46,0.46
"ACBL","2_BLT","Global",2.33,3.06,0.02,0.18,2.7,0.88,0.06,0.16
"ACDU","1_nSPC","Global",2.33,3.06,0.19,0.19,2.3,2.3,0.43,0.43
"ACDU","2_BLT","Global",2.33,3.06,0.03,0.24,1.79,0.58,0.05,0.14
"ACLE","1_nSPC","Global",2.33,3.06,0.29,0.29,0.32,0.32,0.09,0.09
"ACLE","2_BLT","Global",2.33,3.06,0.02,0.16,0.08,0.03,0,0
"ACLI","1_nSPC","Global",2.33,3.06,0,0,0.19,0.19,0,0
"ACNC","1_nSPC","Global",2.33,3.06,0,0,0.39,0.39,0,0
"ACNF","1_nSPC","Global",2.33,3.06,0.45,0.45,0.66,0.66,0.3,0.3
"ACNF","2_BLT","Global",2.33,3.06,0,0.01,0.34,0.11,0,0
"ACNR","1_nSPC","Global",2.33,3.06,0.66,0.66,0.82,0.82,0.54,0.54
"ACNR","2_BLT","Global",2.33,3.06,0.05,0.37,0.62,0.2,0.03,0.07
"ACOL","1_nSPC","Global",2.33,3.06,0.56,0.56,4.24,4.24,2.37,2.37
"ACOL","2_BLT","Global",2.33,3.06,0.1,0.52,6.08,1.99,0.59,1.04
"ACSO","1_nSPC","Global",2.33,3.06,0,0,0.05,0.05,0,0
"ACSP","1_nSPC","Global",2.33,3.06,0.05,0.05,0.01,0.01,0,0
"ACTH","1_nSPC","Global",2.33,3.06,0.02,0.02,0.48,0.48,0.01,0.01
"ACTH","2_BLT","Global",2.33,3.06,0,0.01,0.51,0.17,0,0
"ACTR","1_nSPC","Global",2.33,3.06,0.74,0.74,1.45,1.45,1.07,1.07
"ACTR","2_BLT","Global",2.33,3.06,0,0.01,0.94,0.31,0,0
