"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACAC","1_nSPC","-3","-3.849","-2.158","1.3","0.6584","2.3973","0.23","0.23","0.62","0.62","0.142","0.14"
"ACAC","2_BLT","-3","-3.849","-2.158","1.3","0.6584","2.3973","0.03","0.37","1.43","1.11","0.043","0.41"
"ACBL","1_nSPC","-1.1","-1.788","-0.420","1.1","0.6458","1.6757","0.11","0.106","1.4","1.4","0.147","0.15"
"ACBL","2_BLT","-1.1","-1.788","-0.420","1.1","0.6458","1.6757","0.02","0.055","3.2","3.0","0.062","0.16"
"ACDU","1_nSPC","-0.23","-1.5259"," 1.0127","5.8"," 0.9035","19.6218","0.0069","0.0069","0.76","0.76","0.0053","0.0053"
"ACDU","2_BLT","-0.23","-1.5259"," 1.0127","5.8"," 0.9035","19.6218","0.0076","0.0096","1.53","0.26","0.0116","0.0025"
"ACGU","1_nSPC","-1.8","-5.444"," 1.647","2.4"," 0.08066","13.47320","0.01444","0.0144","0.087","0.0869","1.3e-03","1.3e-03"
"ACGU","2_BLT","-1.8","-5.444"," 1.647","2.4"," 0.08066","13.47320","0.00034","0.0022","0.018","0.0078","6.3e-06","1.7e-05"
"ACLI","1_nSPC","-1.2","-1.8770","-0.6034","2.3","0.7969","5.0008","0.112","0.11","1.6","1.6","0.18","0.18"
"ACLI","2_BLT","-1.2","-1.8770","-0.6034","2.3","0.7969","5.0008","0.049","0.15","3.8","1.6","0.18","0.25"
"ACLU","1_nSPC","-2","-2.821","-1.268","1.4","0.8921","2.3242","0.123","0.12","0.54","0.54","0.066","0.066"
"ACLU","2_BLT","-2","-2.821","-1.268","1.4","0.8921","2.3242","0.017","0.12","1.15","0.80","0.019","0.092"
"ACMA","1_nSPC","-2","-2.876","-1.013","0.88","0.4266","1.6107","0.078","0.078","0.44","0.44","0.034","0.034"
"ACMA","2_BLT","-2","-2.876","-1.013","0.88","0.4266","1.6107","0.023","0.148","0.70","0.79","0.016","0.117"
"ACMT","1_nSPC","-1.8","-2.6637","-0.9443","0.8","0.3620","1.6000","0.0686","0.069","2.4"," 2.4","0.163","0.16"
"ACMT","2_BLT","-1.8","-2.6637","-0.9443","0.8","0.3620","1.6000","0.0083","0.050","8.2","10.2","0.068","0.51"
"ACNC","1_nSPC","-7.6","-8.814","-6.287","0.43","0.2839","0.6416","0.646","0.65","1.5","1.5","0.95","0.95"
"ACNC","2_BLT","-7.6","-8.814","-6.287","0.43","0.2839","0.6416","0.047","0.99","3.7","8.8","0.17","8.71"
"ACNI","1_nSPC","-2.2","-3.4433","-0.7853","2.1","0.6979","5.0063","0.0355","0.036","0.59","0.59","0.0209","0.0209"
"ACNI","2_BLT","-2.2","-3.4433","-0.7853","2.1","0.6979","5.0063","0.0026","0.023","0.73","0.34","0.0019","0.0079"
"ACNR","1_nSPC","-7.3","-10.077"," -4.698","0.21","0.03564","0.69903","0.3732","0.37","0.88","0.88","0.3301","0.33"
"ACNR","2_BLT","-7.3","-10.077"," -4.698","0.21","0.03564","0.69903","0.0047","0.88","0.26","1.25","0.0012","1.10"
"ACOL","1_nSPC","-2.6","-3.301","-1.895","1.1","0.6577","1.8005","0.335","0.34","1.19","1.2","0.401","0.4"
"ACOL","2_BLT","-2.6","-3.301","-1.895","1.1","0.6577","1.8005","0.028","0.28","0.79","0.7","0.022","0.2"
"ACSP","1_nSPC","-0.99","-2.5020"," 0.6096","13"," 0.6671","63.4679","0.017","0.017","0.31","0.315","0.0054","0.0054"
"ACSP","2_BLT","-0.99","-2.5020"," 0.6096","13"," 0.6671","63.4679","0.013","0.035","1.22","0.094","0.0163","0.0033"
"ACTH","1_nSPC","-3.4","-4.430","-2.300","5.8"," 1.462","15.518","0.218","0.22","0.41","0.41","0.090","0.09"
"ACTH","2_BLT","-3.4","-4.430","-2.300","5.8"," 1.462","15.518","0.021","0.38","2.33","0.40","0.048","0.15"
"ACTR","1_nSPC","-5.9","-8.609","-3.218","1.9"," 0.04132","13.04509","0.2355","0.24","3.006","3.01","0.70775","0.708"
"ACTR","2_BLT","-5.9","-8.609","-3.218","1.9"," 0.04132","13.04509","0.0026","0.49","0.096","0.05","0.00025","0.025"
"ACXA","1_nSPC","-1","-1.6285","-0.3638","1.1","0.6203","1.8175","0.071","0.071","3.1","3.1","0.221","0.221"
