"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSX","1_nSPC","-0.35","-1.5992"," 0.8823","5.8"," 0.6374","22.5496","0.0136","0.0136","0.25","0.25","0.0033","0.0033"
"ABSX","2_BLT","-0.35","-1.5992"," 0.8823","5.8"," 0.6374","22.5496","0.0022","0.0031","2.73","0.47","0.0059","0.0014"
"ACAC","1_nSPC","-0.24","-0.6702"," 0.1629","2.6","1.960","3.373","0.34","0.34","0.73","0.73","0.25","0.25"
"ACAC","2_BLT","-0.24","-0.6702"," 0.1629","2.6","1.960","3.373","0.40","0.46","2.28","0.88","0.92","0.41"
"ACAL","1_nSPC","-2.1","-3.196","-1.101","2","0.6655","4.5693","0.0710","0.071","0.66","0.66","0.0470","0.047"
"ACAL","2_BLT","-2.1","-3.196","-1.101","2","0.6655","4.5693","0.0071","0.056","0.81","0.41","0.0058","0.023"
"ACBL","1_nSPC","-0.59","-1.07023","-0.06963","2.5","1.539","3.574","0.177","0.18","1.2","1.2","0.22","0.22"
"ACBL","2_BLT","-0.59","-1.07023","-0.06963","2.5","1.539","3.574","0.083","0.14","4.0","1.6","0.34","0.23"
"ACGU","1_nSPC","-2.1","-3.6107","-0.6057","4"," 0.3156","14.9769","0.078","0.078","0.065","0.065","0.0051","0.0051"
"ACGU","2_BLT","-2.1","-3.6107","-0.6057","4"," 0.3156","14.9769","0.011","0.077","0.047","0.012","0.0005","0.0009"
"ACLI","1_nSPC","-0.86","-1.2803","-0.4806","2.4","1.431","3.624","0.25","0.25","1.3","1.3","0.32","0.32"
"ACLI","2_BLT","-0.86","-1.2803","-0.4806","2.4","1.431","3.624","0.27","0.47","4.1","1.7","1.13","0.82"
"ACLU","1_nSPC","0.47","-0.2204"," 1.1781","3.2","1.342","6.395","0.021","0.021","0.51","0.51","0.011","0.011"
"ACLU","2_BLT","0.47","-0.2204"," 1.1781","3.2","1.342","6.395","0.038","0.024","1.95","0.61","0.075","0.015"
"ACMA","1_nSPC","-0.22","-0.7574"," 0.3522","2.8","1.642","4.667","0.077","0.077","0.49","0.49","0.038","0.038"
"ACMA","2_BLT","-0.22","-0.7574"," 0.3522","2.8","1.642","4.667","0.142","0.171","1.27","0.45","0.181","0.077"
"ACMT","1_nSPC","-1","-2.4403"," 0.4879","1.7","0.2441","5.1627","0.015","0.015","0.75","0.75","0.0115","0.012"
"ACMT","2_BLT","-1","-2.4403"," 0.4879","1.7","0.2441","5.1627","0.014","0.037","0.54","0.31","0.0073","0.011"
"ACNC","1_nSPC","-0.37","-0.71193","-0.03556","2.6","2.180","3.187","0.57","0.57","1.2","1.2","0.69","0.69"
"ACNC","2_BLT","-0.37","-0.71193","-0.03556","2.6","2.180","3.187","0.58","0.67","4.0","1.5","2.33","1.01"
"ACNF","1_nSPC","-0.38","-0.69651","-0.04998","2.8","2.293","3.540","0.64","0.64","0.22","0.22","0.14","0.14"
"ACNF","2_BLT","-0.38","-0.69651","-0.04998","2.8","2.293","3.540","0.58","0.67","0.80","0.28","0.46","0.19"
"ACNI","1_nSPC","0.27","-0.3181"," 0.7700","2.6","1.518","4.020","0.052","0.052","0.5","0.5","0.026","0.026"
"ACNI","2_BLT","0.27","-0.3181"," 0.7700","2.6","1.518","4.020","0.061","0.047","1.6","0.6","0.094","0.028"
"ACNR","1_nSPC","0.14","-0.2152"," 0.4796","2.1","1.406","3.049","0.3","0.30","0.17","0.17","0.051","0.051"
"ACNR","2_BLT","0.14","-0.2152"," 0.4796","2.1","1.406","3.049","0.2","0.18","0.60","0.28","0.118","0.050"
"ACOL","1_nSPC","-0.15","-0.4901"," 0.1975","0.43","0.2647","0.6459","0.26","0.26","0.77","0.77","0.20","0.20"
"ACOL","2_BLT","-0.15","-0.4901"," 0.1975","0.43","0.2647","0.6459","0.13","0.15","1.43","3.34","0.18","0.49"
"ACPY","1_nSPC","-0.19","-0.5805"," 0.1910","2.1","1.403","3.271","0.19","0.19","0.18","0.18","0.034","0.034"
"ACPY","2_BLT","-0.19","-0.5805"," 0.1910","2.1","1.403","3.271","0.14","0.16","0.91","0.43","0.124","0.068"
"ACSP","1_nSPC","0.74","0.2990","1.1558","32","13.97","63.76","0.130","0.130","0.05","0.050","0.0065","0.0065"
"ACSP","2_BLT","0.74","0.2990","1.1558","32","13.97","63.76","0.074","0.037","1.13","0.036","0.0835","0.0013"
"ACTH","1_nSPC","-0.88","-1.2750","-0.5011","2.2","1.472","3.217","0.27","0.27","0.18","0.18","0.049","0.049"
"ACTH","2_BLT","-0.88","-1.2750","-0.5011","2.2","1.472","3.217","0.16","0.31","0.58","0.26","0.092","0.082"
"ACTR","1_nSPC","-1.1","-1.9991","-0.1728","10"," 2.001","34.126","0.112","0.11","1.34","1.342","0.151","0.151"
"ACTR","2_BLT","-1.1","-1.9991","-0.1728","10"," 2.001","34.126","0.085","0.22","0.67","0.066","0.057","0.014"
"ACXA","1_nSPC","-0.88","-1.8455"," 0.1152","3.6","1.367","7.369","0.033","0.033","2.6","2.6","0.086","0.086"
"ACXA","2_BLT","-0.88","-1.8455"," 0.1152","3.6","1.367","7.369","0.011","0.026","3.8","1.1","0.042","0.028"
"ALSC","1_nSPC","-1.5","-3.4069"," 0.7564","3.7"," 0.09879","17.69216","0.011","0.0114","0.5","0.50","0.0057","0.0057"
"ALSC","2_BLT","-1.5","-3.4069"," 0.7564","3.7"," 0.09879","17.69216","0.002","0.0085","1.2","0.32","0.0023","0.0027"
"AMCH","1_nSPC","-0.73","-1.4988"," 0.0356","2.2","0.607","6.155","0.090","0.090","0.037","0.037","0.0033","0.0033"
"AMCH","2_BLT","-0.73","-1.4988"," 0.0356","2.2","0.607","6.155","0.013","0.027","0.129","0.058","0.0017","0.0015"
"AMSC","1_nSPC","-1.3","-2.0717","-0.6292","0.96","0.4687","1.7602","0.0442","0.044","0.12","0.12","0.0052","0.0052"
