"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABSO","1432","1161","271","6","5","1"
"ABSX","1432","1161","271","29","26","3"
"ACAC","1432","1161","271","450","364","86"
"ACAL","1432","1161","271","94","90","4"
"ACBL","1432","1161","271","174","148","26"
"ACGU","1432","1161","271","102","100","2"
"ACLI","1432","1161","271","397","354","43"
"ACLU","1432","1161","271","45","31","14"
"ACMA","1432","1161","271","123","104","19"
"ACMT","1432","1161","271","24","22","2"
"ACNC","1432","1161","271","1109","914","195"
"ACNF","1432","1161","271","1016","836","180"
"ACNI","1432","1161","271","102","78","24"
"ACNR","1432","1161","271","279","218","61"
"ACOL","1432","1161","271","331","273","58"
"ACPY","1432","1161","271","352","297","55"
"ACSP","1432","1161","271","122","81","41"
"ACTH","1432","1161","271","410","356","54"
"ACTR","1432","1161","271","97","91","6"
"ACXA","1432","1161","271","46","41","5"
"ALSC","1432","1161","271","15","14","1"
"AMCH","1432","1161","271","96","88","8"
"AMSC","1432","1161","271","131","122","9"
"ANCA","1432","1161","271","113","109","4"
"ANME","1432","1161","271","60","58","2"
"ANMG","1432","1161","271","48","40","8"
"ANSP","1432","1161","271","5","3","2"
"ANTH","1432","1161","271","11","7","4"
"ANTW","1432","1161","271","340","315","25"
"APFU","1432","1161","271","798","672","126"
"APSP","1432","1161","271","16","9","7"
"APTR","1432","1161","271","111","105","6"
"APVI","1432","1161","271","97","91","6"
"ARME","1432","1161","271","44","37","7"
"ARNI","1432","1161","271","32","28","4"
"ASTA","1432","1161","271","9","7","2"
"AUCH","1432","1161","271","40","38","2"
"BACO","1432","1161","271","36","33","3"
"BAUN","1432","1161","271","1186","1027","159"
"BAVI","1432","1161","271","84","70","14"
"BLCH","1432","1161","271","5","3","2"
"BLEN","1432","1161","271","446","387","59"
"BOAX","1432","1161","271","270","226","44"
"BOLO","1432","1161","271","96","81","15"
"CAAB","1432","1161","271","45","43","2"
"CAAM","1432","1161","271","61","55","6"
"CACA","1432","1161","271","224","205","19"
"CACE","1432","1161","271","65","60","5"
"CADU","1432","1161","271","200","178","22"
"CAFE","1432","1161","271","9","8","1"
"CAJN","1432","1161","271","20","19","1"
"CALU","1432","1161","271","49","42","7"
"CAMC","1432","1161","271","80","61","19"
"CAME","1432","1161","271","357","312","45"
"CAOR","1432","1161","271","43","42","1"
"CAPA","1432","1161","271","180","176","4"
"CARD","1432","1161","271","12","10","2"
"CASE","1432","1161","271","13","9","4"
"CASO","1432","1161","271","62","51","11"
"CATE","1432","1161","271","219","205","14"
"CAVA","1432","1161","271","13","10","3"
"CEAR","1432","1161","271","991","811","180"
"CEBC","1432","1161","271","77","68","9"
"CEBI","1432","1161","271","502","430","72"
"CEFL","1432","1161","271","1222","1016","206"
"CEHE","1432","1161","271","88","85","3"
"CELE","1432","1161","271","137","99","38"
"CELO","1432","1161","271","392","293","99"
"CEOC","1432","1161","271","102","92","10"
