"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",2.33,3.39,0,0,0.11,0.11,0,0
"ABSO","1_nSPC","Global",2.33,3.39,0,0,0.16,0.16,0,0
"ABSP","1_nSPC","Global",2.33,3.39,0.01,0.01,0.1,0.1,0,0
"ABSX","1_nSPC","Global",2.33,3.39,0.01,0.01,0.25,0.25,0,0
"ABVA","1_nSPC","Global",2.33,3.39,0.04,0.04,0.1,0.1,0,0
"ACAC","1_nSPC","Global",2.33,3.39,0.34,0.34,0.73,0.73,0.25,0.25
"ACAC","2_BLT","Global",2.33,3.39,0.01,0.1,0.57,0.17,0.01,0.02
"ACAL","1_nSPC","Global",2.33,3.39,0.07,0.07,0.66,0.66,0.05,0.05
"ACAL","2_BLT","Global",2.33,3.39,0,0.01,0.36,0.11,0,0
"ACAN","1_nSPC","Global",2.33,3.39,0,0,0.04,0.04,0,0
"ACBL","1_nSPC","Global",2.33,3.39,0.18,0.18,1.24,1.24,0.22,0.22
"ACBL","2_BLT","Global",2.33,3.39,0.02,0.16,2.12,0.63,0.04,0.1
"ACDU","1_nSPC","Global",2.33,3.39,0,0,0.45,0.45,0,0
"ACGU","1_nSPC","Global",2.33,3.39,0.08,0.08,0.07,0.07,0.01,0.01
"ACGU","2_BLT","Global",2.33,3.39,0,0,0.02,0.01,0,0
"ACLI","1_nSPC","Global",2.33,3.39,0.25,0.25,1.29,1.29,0.32,0.32
"ACLI","2_BLT","Global",2.33,3.39,0.06,0.41,1.44,0.43,0.09,0.18
"ACLU","1_nSPC","Global",2.33,3.39,0.02,0.02,0.51,0.51,0.01,0.01
"ACLU","2_BLT","Global",2.33,3.39,0.01,0.12,0.76,0.23,0.01,0.03
"ACMA","1_nSPC","Global",2.33,3.39,0.08,0.08,0.49,0.49,0.04,0.04
"ACMA","2_BLT","Global",2.33,3.39,0.06,0.4,0.66,0.19,0.04,0.08
"ACMT","1_nSPC","Global",2.33,3.39,0.02,0.02,0.75,0.75,0.01,0.01
"ACMT","2_BLT","Global",2.33,3.39,0.01,0.06,0.37,0.11,0,0.01
"ACNC","1_nSPC","Global",2.33,3.39,0.57,0.57,1.21,1.21,0.69,0.69
"ACNC","2_BLT","Global",2.33,3.39,0.01,0.12,0.66,0.19,0.01,0.02
"ACNF","1_nSPC","Global",2.33,3.39,0.64,0.64,0.22,0.22,0.14,0.14
"ACNF","2_BLT","Global",2.33,3.39,0,0.04,0.32,0.09,0,0
"ACNI","1_nSPC","Global",2.33,3.39,0.05,0.05,0.5,0.5,0.03,0.03
"ACNI","2_BLT","Global",2.33,3.39,0.02,0.16,0.61,0.18,0.01,0.03
"ACNR","1_nSPC","Global",2.33,3.39,0.3,0.3,0.17,0.17,0.05,0.05
"ACNR","2_BLT","Global",2.33,3.39,0,0.03,0.49,0.14,0,0
"ACOL","1_nSPC","Global",2.33,3.39,0.26,0.26,0.77,0.77,0.2,0.2
"ACOL","2_BLT","Global",2.33,3.39,0.02,0.21,0.7,0.21,0.02,0.04
"ACPY","1_nSPC","Global",2.33,3.39,0.19,0.19,0.18,0.18,0.03,0.03
"ACPY","2_BLT","Global",2.33,3.39,0.01,0.05,1.01,0.3,0.01,0.02
"ACSP","1_nSPC","Global",2.33,3.39,0.13,0.13,0.05,0.05,0.01,0.01
"ACTH","1_nSPC","Global",2.33,3.39,0.27,0.27,0.18,0.18,0.05,0.05
"ACTH","2_BLT","Global",2.33,3.39,0,0.02,0.21,0.06,0,0
"ACTR","1_nSPC","Global",2.33,3.39,0.11,0.11,1.34,1.34,0.15,0.15
"ACXA","1_nSPC","Global",2.33,3.39,0.03,0.03,2.64,2.64,0.09,0.09
"ACXA","2_BLT","Global",2.33,3.39,0,0.05,1.34,0.4,0.01,0.02
"AEOC","1_nSPC","Global",2.33,3.39,0,0,9.58,9.58,0.03,0.03
