"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACDU","6132","1440","4692","448","443","5"
"ACSP","6132","1440","4692","58","53","5"
"ACXA","6132","1440","4692","76","65","11"
"AEOC","6132","1440","4692","69","17","52"
"ALCI","6132","1440","4692","3","2","1"
"ALSC","6132","1440","4692","14","9","5"
"APVI","6132","1440","4692","412","270","142"
"AUCH","6132","1440","4692","304","195","109"
"BALA","6132","1440","4692","3","1","2"
"BAPO","6132","1440","4692","21","18","3"
"BOAL","6132","1440","4692","833","819","14"
"CAAB","6132","1440","4692","23","10","13"
"CAFE","6132","1440","4692","24","22","2"
"CAGA","6132","1440","4692","9","2","7"
"CAIG","6132","1440","4692","29","15","14"
"CAME","6132","1440","4692","390","340","50"
"CAOR","6132","1440","4692","42","38","4"
"CEAR","6132","1440","4692","695","646","49"
"CHCH","6132","1440","4692","34","16","18"
"CHIN","6132","1440","4692","37","36","1"
"CHPE","6132","1440","4692","310","90","220"
"CHUB","6132","1440","4692","237","234","3"
"COFL","6132","1440","4692","38","37","1"
"DASY","6132","1440","4692","5","1","4"
"DIHY","6132","1440","4692","32","21","11"
"ELBI","6132","1440","4692","8","6","2"
"FICO","6132","1440","4692","172","106","66"
"MOGR","6132","1440","4692","383","366","17"
"MOSP","6132","1440","4692","21","8","13"
"NAAN","6132","1440","4692","10","9","1"
"NABR","6132","1440","4692","291","289","2"
"NAHE","6132","1440","4692","335","294","41"
"NALI","6132","1440","4692","883","881","2"
"NAUN","6132","1440","4692","430","386","44"
"OPPU","6132","1440","4692","13","3","10"
"PACY","6132","1440","4692","332","327","5"
"SCLY","6132","1440","4692","43","41","2"
"SCRU","6132","1440","4692","1461","522","939"
"SEDU","6132","1440","4692","54","29","25"
"SPBA","6132","1440","4692","17","11","6"
"SPLE","6132","1440","4692","6","1","5"
"SURG","6132","1440","4692","22","21","1"
"TROB","6132","1440","4692","35","15","20"
