"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACDU","9069","1362","7707","48","47","1"
"ACSO","9069","1362","7707","3","1","2"
"ACXA","9069","1362","7707","68","67","1"
"AEOC","9069","1362","7707","51","9","42"
"ALSC","9069","1362","7707","75","36","39"
"APFU","9069","1362","7707","605","601","4"
"APVI","9069","1362","7707","165","84","81"
"ARHI","9069","1362","7707","7","4","3"
"ARST","9069","1362","7707","37","1","36"
"AUCH","9069","1362","7707","63","40","23"
"BAVI","9069","1362","7707","119","56","63"
"CAAB","9069","1362","7707","315","71","244"
"CAFE","9069","1362","7707","22","19","3"
"CAIG","9069","1362","7707","48","19","29"
"CALU","9069","1362","7707","127","93","34"
"CAME","9069","1362","7707","726","447","279"
"CAML","9069","1362","7707","79","31","48"
"CAOR","9069","1362","7707","73","57","16"
"CAPP","9069","1362","7707","10","5","5"
"CASE","9069","1362","7707","95","22","73"
"CASP","9069","1362","7707","3","2","1"
"CEAR","9069","1362","7707","568","559","9"
"CEOC","9069","1362","7707","34","27","7"
"CESO","9069","1362","7707","29","28","1"
"CHCH","9069","1362","7707","7","4","3"
"CHFN","9069","1362","7707","104","75","29"
"CHMC","9069","1362","7707","454","162","292"
"CHUB","9069","1362","7707","277","273","4"
"CHUD","9069","1362","7707","150","76","74"
"COAY","9069","1362","7707","455","448","7"
"DASY","9069","1362","7707","7","2","5"
"DIHY","9069","1362","7707","100","5","95"
"ELBI","9069","1362","7707","128","57","71"
"EPLA","9069","1362","7707","2","1","1"
"FICO","9069","1362","7707","98","28","70"
"GRBI","9069","1362","7707","6","5","1"
"GROU","9069","1362","7707","8","6","2"
"HEME","9069","1362","7707","82","81","1"
"HILO","9069","1362","7707","104","55","49"
"KYPA","9069","1362","7707","20","19","1"
"LEOL","9069","1362","7707","50","32","18"
"LETH","9069","1362","7707","62","59","3"
"LUBO","9069","1362","7707","1753","619","1134"
"LUGI","9069","1362","7707","211","203","8"
"LUMO","9069","1362","7707","110","94","16"
"MACO","9069","1362","7707","20","1","19"
"MAMA","9069","1362","7707","510","254","256"
"MANI","9069","1362","7707","552","334","218"
"MOGR","9069","1362","7707","569","566","3"
"NAAN","9069","1362","7707","23","14","9"
"NABH","9069","1362","7707","15","4","11"
"NABR","9069","1362","7707","98","97","1"
"NAHE","9069","1362","7707","584","286","298"
"NALO","9069","1362","7707","1","1","0"
"NASP","9069","1362","7707","32","28","4"
"NATO","9069","1362","7707","236","100","136"
"NAUN","9069","1362","7707","165","140","25"
"NAVL","9069","1362","7707","183","181","2"
"NEFE","9069","1362","7707","133","22","111"
"OPPU","9069","1362","7707","16","14","2"
"PABA","9069","1362","7707","43","42","1"
"PARR","9069","1362","7707","105","104","1"
"PLAB","9069","1362","7707","4","2","2"
"PLGI","9069","1362","7707","9","1","8"
"PLLV","9069","1362","7707","38","21","17"
"PLOR","9069","1362","7707","4","3","1"
"PLPI","9069","1362","7707","102","42","60"
"PLTE","9069","1362","7707","9","4","5"
"PSFL","9069","1362","7707","22","9","13"
"PSFU","9069","1362","7707","6","2","4"
"PUFF","9069","1362","7707","4","3","1"
"SCAL","9069","1362","7707","162","58","104"
"SCFO","9069","1362","7707","642","639","3"
"SCGH","9069","1362","7707","21","20","1"
"SCLY","9069","1362","7707","43","31","12"
"SCRU","9069","1362","7707","1237","589","648"
"SCSP","9069","1362","7707","44","38","6"
"SPBA","9069","1362","7707","68","49","19"
"SPHE","9069","1362","7707","8","3","5"
"SPQE","9069","1362","7707","33","8","25"
"TAME","9069","1362","7707","85","15","70"
"TRBL","9069","1362","7707","3","2","1"
"TROB","9069","1362","7707","458","111","347"
"TYCR","9069","1362","7707","10","9","1"
"URAS","9069","1362","7707","7","1","6"
"VALO","9069","1362","7707","323","245","78"
"WRAS","9069","1362","7707","83","82","1"
