"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACDU","2313","610","1703","175","175","0"
"ACSP","2145","442","1703","7","7","0"
"ACXA","2185","482","1703","47","47","0"
"AEOC","2160","439","1721","22","4","18"
"ALCI","2138","435","1703","0","0","0"
"ALSC","2139","435","1704","1","0","1"
"APVI","2313","578","1735","175","143","32"
"AUCH","2250","522","1728","112","87","25"
"BALA","2138","435","1703","0","0","0"
"BAPO","2142","439","1703","4","4","0"
"BOAL","2544","841","1703","406","406","0"
"CAAB","2148","440","1708","10","5","5"
"CAFE","2141","438","1703","3","3","0"
"CAGA","2138","435","1703","0","0","0"
"CAIG","2148","441","1707","10","6","4"
"CAME","2238","525","1713","100","90","10"
"CAOR","2145","441","1704","7","6","1"
"CEAR","2452","749","1703","318","314","4"
"CHCH","2148","436","1712","10","1","9"
"CHPE","2152","449","1703","23","14","9"
"CHUB","2199","496","1703","61","61","0"
"DASY","2140","435","1705","2","0","2"
"DIHY","2142","438","1704","4","3","1"
"ELBI","2142","439","1703","4","4","0"
"FICO","2184","458","1726","46","23","23"
"MOGR","2325","622","1703","187","187","0"
"MOSP","2143","436","1707","5","1","4"
"NAAN","2140","437","1703","2","2","0"
"NABR","2274","571","1703","136","136","0"
"NAHE","2284","578","1706","146","143","3"
"NAUN","2236","533","1703","98","98","0"
"OPPU","2139","435","1704","1","0","1"
"SCLY","2144","441","1703","6","6","0"
"SCRU","2518","630","1888","389","195","194"
"SEDU","2158","448","1710","20","13","7"
"SPBA","2141","437","1704","3","2","1"
"SPLE","2139","435","1704","1","0","1"
"SURG","2140","437","1703","2","2","0"
"TROB","2144","437","1707","6","2","4"
