"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACDU","1_nSPC","-20","-829.54"," 815.25","2e+17","3.225e-14","2.146e+04","0.24881","0.25","0.00183","1.8e-03","4.6e-04","4.6e-04"
"ACDU","2_TOW","-20","-829.54"," 815.25","2e+17","3.225e-14","2.146e+04","0.00025","1.00","0.00038","1.9e-21","9.7e-08","1.9e-21"
"ACSP","1_nSPC","-18","-1967.55"," 1881.74","2332833","8.371e-09","5.793e+02","0.02607","0.026","0.00300","3.0e-03","7.8e-05","7.8e-05"
"ACSP","2_TOW","-18","-1967.55"," 1881.74","2332833","8.371e-09","5.793e+02","0.00094","1.000","0.00077","3.3e-10","7.2e-07","3.3e-10"
"ACXA","1_nSPC","-19","-1371.300"," 1274.465","1.2e+21","5.815e-01","2.972e+13","0.06073","0.061","0.00169","1.7e-03","1.0e-04","1.0e-04"
"ACXA","2_TOW","-19","-1371.300"," 1274.465","1.2e+21","5.815e-01","2.972e+13","0.00022","1.000","0.00052","4.2e-25","1.1e-07","4.2e-25"
"AEOC","1_nSPC","0.53","-0.7726"," 1.8915","0.91","0.4276","1.7939","0.012","0.0115","0.00080","0.00080","9.2e-06","9.2e-06"
"AEOC","2_TOW","0.53","-0.7726"," 1.8915","0.91","0.4276","1.7939","0.011","0.0064","0.00052","0.00057","5.6e-06","3.6e-06"
"ALSC","1_nSPC","16","-5763.5"," 6076.7","0.17","0.08243","0.32760","0.00317","3.2e-03","0.00088","0.00088","2.8e-06","2.8e-06"
"ALSC","2_TOW","16","-5763.5"," 6076.7","0.17","0.08243","0.32760","0.00086","1.6e-10","0.00044","0.00259","3.8e-07","4.1e-13"
"APVI","1_nSPC","-2.6","-3.061","-2.032","0.22","0.1789","0.2773","0.168","0.17","0.00147","0.0015","2.5e-04","0.00025"
