"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",3.62,0.19,0.09,0.09,0.01,0.01,0,0
"ABSO","1_nSPC","Global",3.62,0.19,0.09,0.09,0,0,0,0
"ABVA","1_nSPC","Global",3.62,0.19,0.09,0.09,0.01,0.01,0,0
"ACAC","1_nSPC","Global",3.62,0.19,0.08,0.08,0,0,0,0
"ACAN","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"ACBL","1_nSPC","Global",3.62,0.19,0.32,0.32,0,0,0,0
"ACDU","1_nSPC","Global",3.62,0.19,0.34,0.34,0,0,0,0
"ACDU","2_TOW","Global",3.62,0.19,0,0.01,0,0,0,0
"ACGU","1_nSPC","Global",3.62,0.19,0.03,0.03,0,0,0,0
"ACLE","1_nSPC","Global",3.62,0.19,0.42,0.42,0.02,0.02,0.01,0.01
"ACNC","1_nSPC","Global",3.62,0.19,0.04,0.04,0,0,0,0
"ACNF","1_nSPC","Global",3.62,0.19,0.89,0.89,0.03,0.03,0.03,0.03
"ACNR","1_nSPC","Global",3.62,0.19,0.19,0.19,0,0,0,0
"ACOL","1_nSPC","Global",3.62,0.19,0.62,0.62,0.01,0.01,0,0
"ACSP","1_nSPC","Global",3.62,0.19,0.03,0.03,0.01,0.01,0,0
"ACSP","2_TOW","Global",3.62,0.19,0,0.02,0,0,0,0
"ACTH","1_nSPC","Global",3.62,0.19,0.15,0.15,0.01,0.01,0,0
"ACTR","1_nSPC","Global",3.62,0.19,0.31,0.31,0.01,0.01,0,0
"ACXA","1_nSPC","Global",3.62,0.19,0.07,0.07,0,0,0,0
"ACXA","2_TOW","Global",3.62,0.19,0,0.03,0,0,0,0
"AEOC","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"AEOC","2_TOW","Global",3.62,0.19,0.01,0.33,0,0,0,0
"ALCI","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"ALCI","2_TOW","Global",3.62,0.19,0,0,0,0.01,0,0
"ALSC","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"ALSC","2_TOW","Global",3.62,0.19,0,0.02,0,0,0,0
"AMBI","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"ANCH","1_nSPC","Global",3.62,0.19,0.11,0.11,0,0,0,0
"ANCU","1_nSPC","Global",3.62,0.19,0.09,0.09,0,0,0,0
"ANSP","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"APAR","1_nSPC","Global",3.62,0.19,0.06,0.06,0,0,0,0
"APFU","1_nSPC","Global",3.62,0.19,0.23,0.23,0,0,0,0
"APKA","1_nSPC","Global",3.62,0.19,0,0,0.01,0.01,0,0
"APSP","1_nSPC","Global",3.62,0.19,0.01,0.01,0.02,0.02,0,0
"APVI","1_nSPC","Global",3.62,0.19,0.24,0.24,0,0,0,0
"APVI","2_TOW","Global",3.62,0.19,0.03,0.54,0,0,0,0
"ARHI","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"ARME","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"AUCH","1_nSPC","Global",3.62,0.19,0.12,0.12,0,0,0,0
"AUCH","2_TOW","Global",3.62,0.19,0.02,0.48,0,0,0,0
"BALA","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"BALA","2_TOW","Global",3.62,0.19,0,0.01,0,0,0,0
"BAPO","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"BAPO","2_TOW","Global",3.62,0.19,0,0.01,0,0,0,0
"BLEN","1_nSPC","Global",3.62,0.19,0.02,0.02,0.02,0.02,0,0
"BOAL","1_nSPC","Global",3.62,0.19,0.61,0.61,0,0,0,0
"BOAL","2_TOW","Global",3.62,0.19,0,0.03,0,0,0,0
"BOMA","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"CAAB","1_nSPC","Global",3.62,0.19,0.02,0.02,0,0,0,0
"CAAB","2_TOW","Global",3.62,0.19,0,0.1,0,0.01,0,0
