"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACDU","4922","736","4186","73","69","4"
"ACSP","4922","736","4186","32","29","3"
"ACXA","4922","736","4186","8","7","1"
"AEOC","4922","736","4186","44","10","34"
"ALSC","4922","736","4186","11","5","6"
"APFU","4922","736","4186","52","43","9"
"APVI","4922","736","4186","1281","534","747"
"AUCH","4922","736","4186","133","105","28"
"BOAL","4922","736","4186","671","657","14"
"CAAB","4922","736","4186","123","55","68"
"CACA","4922","736","4186","98","96","2"
"CAFE","4922","736","4186","27","11","16"
"CAGA","4922","736","4186","320","179","141"
"CAIG","4922","736","4186","780","291","489"
"CALU","4922","736","4186","9","3","6"
"CAME","4922","736","4186","494","291","203"
"CAOR","4922","736","4186","62","34","28"
"CASE","4922","736","4186","5","4","1"
"CHPE","4922","736","4186","1112","525","587"
"CHUB","4922","736","4186","271","260","11"
"COFL","4922","736","4186","254","245","9"
"DIHY","4922","736","4186","10","5","5"
"ELBI","4922","736","4186","31","18","13"
"FICO","4922","736","4186","44","10","34"
"HYQU","4922","736","4186","53","3","50"
"MOGR","4922","736","4186","303","252","51"
"MOSP","4922","736","4186","9","3","6"
"NAAN","4922","736","4186","2","1","1"
"NABR","4922","736","4186","184","179","5"
"NACA","4922","736","4186","5","2","3"
"NAHE","4922","736","4186","124","76","48"
"NASP","4922","736","4186","29","6","23"
"NAUN","4922","736","4186","674","497","177"
"OPFA","4922","736","4186","18","12","6"
"OPPU","4922","736","4186","267","103","164"
"PACY","4922","736","4186","246","242","4"
"PAPO","4922","736","4186","31","26","5"
"PSDE","4922","736","4186","24","3","21"
"SCRU","4922","736","4186","114","54","60"
"SCSP","4922","736","4186","36","20","16"
"SEDU","4922","736","4186","89","32","57"
"SPBA","4922","736","4186","14","10","4"
"TROB","4922","736","4186","321","145","176"
"WRAS","4922","736","4186","17","6","11"
