"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",3.29,0.16,0.15,0.15,0.02,0.02,0,0
"ABSO","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"ABVA","1_nSPC","Global",3.29,0.16,0.08,0.08,0.04,0.04,0,0
"ACAC","1_nSPC","Global",3.29,0.16,0.04,0.04,0.01,0.01,0,0
"ACAN","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"ACBL","1_nSPC","Global",3.29,0.16,0.25,0.25,0.01,0.01,0,0
"ACDU","1_nSPC","Global",3.29,0.16,0.19,0.19,0,0,0,0
"ACDU","2_TOW","Global",3.29,0.16,0,0.01,0,0,0,0
"ACLE","1_nSPC","Global",3.29,0.16,0.29,0.29,0.03,0.03,0.01,0.01
"ACLI","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"ACNC","1_nSPC","Global",3.29,0.16,0,0,0.01,0.01,0,0
"ACNF","1_nSPC","Global",3.29,0.16,0.45,0.45,0.02,0.02,0.01,0.01
"ACNR","1_nSPC","Global",3.29,0.16,0.66,0.66,0.02,0.02,0.01,0.01
"ACOL","1_nSPC","Global",3.29,0.16,0.56,0.56,0.02,0.02,0.01,0.01
"ACSO","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"ACSP","1_nSPC","Global",3.29,0.16,0.05,0.05,0.01,0.01,0,0
"ACSP","2_TOW","Global",3.29,0.16,0,0.03,0,0.01,0,0
"ACTH","1_nSPC","Global",3.29,0.16,0.02,0.02,0.01,0.01,0,0
"ACTR","1_nSPC","Global",3.29,0.16,0.74,0.74,0.04,0.04,0.03,0.03
"ACXA","1_nSPC","Global",3.29,0.16,0.02,0.02,0,0,0,0
"ACXA","2_TOW","Global",3.29,0.16,0,0.01,0,0.01,0,0
"AEOC","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"AEOC","2_TOW","Global",3.29,0.16,0.01,0.17,0,0,0,0
"ALCI","2_TOW","Global",3.29,0.16,0,0.06,0,0,0,0
"ALSC","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"ALSC","2_TOW","Global",3.29,0.16,0,0.09,0,0,0,0
"AMBI","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"ANCH","1_nSPC","Global",3.29,0.16,0.15,0.15,0,0,0,0
"ANCO","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"ANCU","1_nSPC","Global",3.29,0.16,0.27,0.27,0,0,0,0
"ANSP","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"APAR","1_nSPC","Global",3.29,0.16,0.09,0.09,0,0,0,0
"APFU","1_nSPC","Global",3.29,0.16,0.07,0.07,0,0,0,0
"APFU","2_TOW","Global",3.29,0.16,0,0.04,0,0,0,0
"APSP","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"APVI","1_nSPC","Global",3.29,0.16,0.55,0.55,0.01,0.01,0,0
"APVI","2_TOW","Global",3.29,0.16,0.1,0.75,0,0,0,0
"ARHI","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"ARME","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"ATIN","1_nSPC","Global",3.29,0.16,0,0,2.26,2.26,0,0
"AUCH","1_nSPC","Global",3.29,0.16,0.12,0.12,0,0,0,0
"AUCH","2_TOW","Global",3.29,0.16,0.01,0.14,0,0,0,0
"BAPO","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"BARR","2_TOW","Global",3.29,0.16,0,0,0,0,0,0
"BLEN","1_nSPC","Global",3.29,0.16,0.02,0.02,0,0,0,0
"BOAL","1_nSPC","Global",3.29,0.16,0.79,0.79,0.01,0.01,0.01,0.01
"BOAL","2_TOW","Global",3.29,0.16,0,0.04,0,0,0,0
"BOSA","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"BRMU","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"CAAB","1_nSPC","Global",3.29,0.16,0.05,0.05,0,0,0,0
"CAAB","2_TOW","Global",3.29,0.16,0.01,0.28,0,0,0,0
"CAAM","1_nSPC","Global",3.29,0.16,0.03,0.03,0,0,0,0
"CACA","1_nSPC","Global",3.29,0.16,0.12,0.12,0,0,0,0
"CACA","2_TOW","Global",3.29,0.16,0,0.01,0,0,0,0
"CACO","1_nSPC","Global",3.29,0.16,0.15,0.15,0,0,0,0
"CADU","1_nSPC","Global",3.29,0.16,0.07,0.07,0,0,0,0
"CAFE","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"CAFE","2_TOW","Global",3.29,0.16,0,0.07,0,0,0,0
"CAGA","1_nSPC","Global",3.29,0.16,0.14,0.14,0,0,0,0
"CAGA","2_TOW","Global",3.29,0.16,0.03,0.49,0,0.01,0,0
"CAIG","1_nSPC","Global",3.29,0.16,0.22,0.22,0.01,0.01,0,0
"CAIG","2_TOW","Global",3.29,0.16,0.09,0.72,0,0.01,0,0.01
