"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACXA","1_nSPC","-7.2","-10.450"," -4.059","0.03","0.008837","0.082824","0.07149","0.071","4.7e-03","0.0047","3.4e-04","0.00034"
"ACXA","2_TOW","-7.2","-10.450"," -4.059","0.03","0.008837","0.082824","0.00005","0.063","8.5e-05","0.0028","4.3e-09","0.00018"
"AEOC","1_nSPC","-3","-3.703","-2.282","0.053","0.04060","0.06624","0.0229","0.023","0.00187","0.0019","4.3e-05","4.3e-05"
"AEOC","2_TOW","-3","-3.703","-2.282","0.053","0.04060","0.06624","0.0024","0.047","0.00019","0.0037","4.7e-07","1.7e-04"
"ALSC","1_nSPC","-4.5","-5.581","-3.540","0.025","0.01753","0.03334","0.087","0.087","3.0e-03","0.0030","2.7e-04","0.00027"
"ALSC","2_TOW","-4.5","-5.581","-3.540","0.025","0.01753","0.03334","0.001","0.090","7.9e-05","0.0032","8.3e-08","0.00029"
"APFU","1_nSPC","-38","-1722.294"," 1722.549","0.0092","0.001303","0.038146","5.4e-01","0.54","4.8e-03","0.0048","2.6e-03","0.0026"
"APFU","2_TOW","-38","-1722.294"," 1722.549","0.0092","0.001303","0.038146","1.1e-05","1.00","5.4e-05","0.0058","5.7e-10","0.0058"
"APVI","1_nSPC","-4.4","-5.227","-3.546","0.033","0.02712","0.03871","0.1011","0.10","2.0e-03","0.0020","2.0e-04","0.00020"
"APVI","2_TOW","-4.4","-5.227","-3.546","0.033","0.02712","0.03871","0.0038","0.23","5.8e-05","0.0018","2.2e-07","0.00042"
"AUCH","1_nSPC","-4.9","-5.942","-3.859","0.028","0.02236","0.03572","0.1076","0.11","2.0e-03","0.0020","2.2e-04","0.00022"
"AUCH","2_TOW","-4.9","-5.942","-3.859","0.028","0.02236","0.03572","0.0019","0.20","6.8e-05","0.0024","1.3e-07","0.00049"
"BAVI","1_nSPC","-3.4","-4.109","-2.649","0.032","0.02711","0.03823","0.0355","0.036","1.8e-03","0.0018","6.3e-05","6.3e-05"
"BAVI","2_TOW","-3.4","-4.109","-2.649","0.032","0.02711","0.03823","0.0021","0.057","6.4e-05","0.0020","1.3e-07","1.1e-04"
"BOMU","1_nSPC","-2.3","-3.165","-1.537","0.016","0.008964","0.024080","0.0083","0.0083","0.01788","0.0179","1.5e-04","0.00015"
"BOMU","2_TOW","-2.3","-3.165","-1.537","0.016","0.008964","0.024080","0.0032","0.0326","0.00015","0.0095","4.8e-07","0.00031"
"CAAB","1_nSPC","-2.8","-3.057","-2.577","0.035","0.03113","0.03889","0.317","0.32","0.00397","0.0040","1.3e-03","0.0013"
"CAAB","2_TOW","-2.8","-3.057","-2.577","0.035","0.03113","0.03889","0.042","0.42","0.00018","0.0053","7.8e-06","0.0022"
"CAFE","1_nSPC","-3.8","-5.692","-1.906","0.074","0.01515","0.24604","0.01502","0.0150","0.01046","0.0105","1.6e-04","1.6e-04"
"CAFE","2_TOW","-3.8","-5.692","-1.906","0.074","0.01515","0.24604","0.00015","0.0064","0.00025","0.0034","3.6e-08","2.2e-05"
