"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACSO","5551","824","4727","7","1","6"
"ACXA","5551","824","4727","97","94","3"
"AEOC","5551","824","4727","147","32","115"
"ALSC","5551","824","4727","138","99","39"
"APFU","5551","824","4727","529","528","1"
"APVI","5551","824","4727","130","46","84"
"AUCH","5551","824","4727","121","49","72"
"BAVI","5551","824","4727","141","59","82"
"BOMU","5551","824","4727","115","17","98"
"CAAB","5551","824","4727","1689","306","1383"
"CAFE","5551","824","4727","21","14","7"
"CAGA","5551","824","4727","8","2","6"
"CAIG","5551","824","4727","130","46","84"
"CALU","5551","824","4727","446","290","156"
"CAME","5551","824","4727","754","510","244"
"CAML","5551","824","4727","415","140","275"
"CAOR","5551","824","4727","152","140","12"
"CASE","5551","824","4727","39","10","29"
"CEAR","5551","824","4727","774","755","19"
"CHCH","5551","824","4727","191","51","140"
"CHMC","5551","824","4727","461","145","316"
"CHPE","5551","824","4727","12","7","5"
"CHUB","5551","824","4727","208","203","5"
"CHUD","5551","824","4727","295","74","221"
"COAY","5551","824","4727","402","378","24"
"DIHY","5551","824","4727","35","14","21"
"ELBI","5551","824","4727","197","135","62"
"EPLA","5551","824","4727","4","3","1"
"EPPO","5551","824","4727","72","59","13"
"EPSP","5551","824","4727","80","69","11"
"EPTA","5551","824","4727","72","69","3"
"FICO","5551","824","4727","205","37","168"
"GROU","5551","824","4727","10","4","6"
"HAMM","5551","824","4727","4","1","3"
"HILO","5551","824","4727","32","17","15"
"LEOL","5551","824","4727","67","47","20"
"LETH","5551","824","4727","22","20","2"
"LEXA","5551","824","4727","82","81","1"
"LUBO","5551","824","4727","2175","601","1574"
"MAMA","5551","824","4727","3","2","1"
"MANI","5551","824","4727","32","7","25"
"MOGR","5551","824","4727","266","250","16"
"MOSP","5551","824","4727","184","47","137"
"NAAN","5551","824","4727","18","11","7"
"NABR","5551","824","4727","133","113","20"
"NACA","5551","824","4727","4","0","4"
"NAHE","5551","824","4727","443","233","210"
"NASP","5551","824","4727","29","1","28"
"NAUN","5551","824","4727","46","40","6"
"NAVL","5551","824","4727","233","157","76"
"OPPU","5551","824","4727","7","5","2"
"PLLV","5551","824","4727","5","1","4"
"PLTE","5551","824","4727","4","0","4"
"PSFL","5551","824","4727","116","75","41"
"SCAL","5551","824","4727","44","35","9"
"SCFO","5551","824","4727","247","239","8"
"SCGH","5551","824","4727","52","46","6"
"SCLY","5551","824","4727","73","62","11"
"SCRU","5551","824","4727","718","462","256"
"SCSP","5551","824","4727","39","5","34"
"SEDU","5551","824","4727","30","17","13"
"SPBA","5551","824","4727","74","47","27"
"SPHE","5551","824","4727","10","6","4"
"SPLE","5551","824","4727","55","16","39"
"SPQE","5551","824","4727","101","32","69"
"SURG","5551","824","4727","44","15","29"
"TAME","5551","824","4727","25","9","16"
"TRIG","5551","824","4727","4","2","2"
"TROB","5551","824","4727","475","96","379"
"TYCR","5551","824","4727","12","9","3"
"VALO","5551","824","4727","447","242","205"
