"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ABNO","1_nSPC","Global",2.67,0.19,0,0,0.02,0.02,0,0
"ABSO","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"ABSP","1_nSPC","Global",2.67,0.19,0.01,0.01,0.01,0.01,0,0
"ABVA","1_nSPC","Global",2.67,0.19,0.03,0.03,0.01,0.01,0,0
"ACAC","1_nSPC","Global",2.67,0.19,0.23,0.23,0.01,0.01,0,0
"ACAL","1_nSPC","Global",2.67,0.19,0,0,0.01,0.01,0,0
"ACAN","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"ACBL","1_nSPC","Global",2.67,0.19,0.11,0.11,0,0,0,0
"ACDU","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"ACGU","1_nSPC","Global",2.67,0.19,0.01,0.01,0.01,0.01,0,0
"ACLE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ACLI","1_nSPC","Global",2.67,0.19,0.11,0.11,0.01,0.01,0,0
"ACLU","1_nSPC","Global",2.67,0.19,0.12,0.12,0,0,0,0
"ACMA","1_nSPC","Global",2.67,0.19,0.08,0.08,0,0,0,0
"ACMT","1_nSPC","Global",2.67,0.19,0.07,0.07,0.01,0.01,0,0
"ACMT","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"ACNC","1_nSPC","Global",2.67,0.19,0.65,0.65,0.02,0.02,0.01,0.01
"ACNF","1_nSPC","Global",2.67,0.19,0.16,0.16,0.01,0.01,0,0
"ACNI","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"ACNR","1_nSPC","Global",2.67,0.19,0.37,0.37,0.03,0.03,0.01,0.01
"ACNU","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ACOL","1_nSPC","Global",2.67,0.19,0.34,0.34,0.01,0.01,0,0
"ACPY","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"ACSO","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ACSO","2_TOW","Global",2.67,0.19,0,0.02,0,0.01,0,0
"ACSP","1_nSPC","Global",2.67,0.19,0.02,0.02,0.01,0.01,0,0
"ACTH","1_nSPC","Global",2.67,0.19,0.22,0.22,0.01,0.01,0,0
"ACTR","1_nSPC","Global",2.67,0.19,0.24,0.24,0.08,0.08,0.02,0.02
"ACXA","1_nSPC","Global",2.67,0.19,0.07,0.07,0,0,0,0
"ACXA","2_TOW","Global",2.67,0.19,0,0.02,0,0,0,0
"AEOC","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"AEOC","2_TOW","Global",2.67,0.19,0.02,0.23,0,0.01,0,0
"AERO","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"ALCI","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"ALSC","1_nSPC","Global",2.67,0.19,0.09,0.09,0,0,0,0
"ALSC","2_TOW","Global",2.67,0.19,0.01,0.15,0,0,0,0
"AMCH","1_nSPC","Global",2.67,0.19,0.01,0.01,0.01,0.01,0,0
"AMPE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"AMSC","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"ANCA","1_nSPC","Global",2.67,0.19,0.13,0.13,0,0,0,0
"ANCU","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ANME","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"ANMG","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"ANSP","1_nSPC","Global",2.67,0.19,0,0,0.01,0.01,0,0
"ANTH","1_nSPC","Global",2.67,0.19,0,0,0.33,0.33,0,0
"ANTW","1_nSPC","Global",2.67,0.19,0.19,0.19,0,0,0,0
"APFU","1_nSPC","Global",2.67,0.19,0.54,0.54,0,0,0,0
"APFU","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"APGR","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"APSP","1_nSPC","Global",2.67,0.19,0,0,0.26,0.26,0,0
"APVI","1_nSPC","Global",2.67,0.19,0.1,0.1,0,0,0,0
"APVI","2_TOW","Global",2.67,0.19,0.02,0.26,0,0,0,0
"APXA","1_nSPC","Global",2.67,0.19,0.17,0.17,0,0,0,0
"ARHI","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"ARMA","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"ARME","1_nSPC","Global",2.67,0.19,0.09,0.09,0,0,0,0
"ARNI","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"ARST","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"AUCH","1_nSPC","Global",2.67,0.19,0.11,0.11,0,0,0,0
"AUCH","2_TOW","Global",2.67,0.19,0.02,0.24,0,0,0,0
"BACO","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"BARR","2_TOW","Global",2.67,0.19,0,0.02,0.02,0.08,0,0
"BAUN","1_nSPC","Global",2.67,0.19,0.47,0.47,0,0,0,0
"BAVI","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"BAVI","2_TOW","Global",2.67,0.19,0.02,0.24,0,0,0,0
"BIGE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"BLEN","1_nSPC","Global",2.67,0.19,0.12,0.12,0.01,0.01,0,0
"BOAL","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"BOAL","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"BOAN","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"BOAX","1_nSPC","Global",2.67,0.19,0.12,0.12,0,0,0,0
"BODI","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"BOLO","1_nSPC","Global",2.67,0.19,0.28,0.28,0,0,0,0
"BOMA","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"BOME","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"BOMU","1_nSPC","Global",2.67,0.19,0.01,0.01,0.02,0.02,0,0
"BOMU","2_TOW","Global",2.67,0.19,0.03,0.31,0,0.01,0,0
"BOPR","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"BOXF","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"BUTT","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"CAAB","1_nSPC","Global",2.67,0.19,0.32,0.32,0,0,0,0
"CAAB","2_TOW","Global",2.67,0.19,0.32,0.87,0,0.01,0,0.01
"CAAM","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"CACA","1_nSPC","Global",2.67,0.19,0.2,0.2,0,0,0,0
"CACE","1_nSPC","Global",2.67,0.19,0,0,0.08,0.08,0,0
"CACO","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
