"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACXA","1_nSPC","-3","-3.813","-2.208","0.22","0.1093","0.3771","0.0327","0.033","0.00372","0.0037","1.2e-04","1.2e-04"
"ACXA","2_TOW","-3","-3.813","-2.208","0.22","0.1093","0.3771","0.0022","0.043","0.00048","0.0022","1.1e-06","9.6e-05"
"AEOC","1_nSPC","0.23","-0.7455"," 1.1681","0.32","0.2158","0.4616","0.0029","0.0029","0.0016","0.0016","4.6e-06","4.6e-06"
"AEOC","2_TOW","0.23","-0.7455"," 1.1681","0.32","0.2158","0.4616","0.0043","0.0034","0.0005","0.0016","2.1e-06","5.3e-06"
"ALSC","1_nSPC","-1.7","-2.5761","-0.8748","0.29","0.1891","0.4303","0.0114","0.011","0.00252","0.0025","2.9e-05","2.9e-05"
"ALSC","2_TOW","-1.7","-2.5761","-0.8748","0.29","0.1891","0.4303","0.0027","0.015","0.00051","0.0017","1.4e-06","2.6e-05"
"APVI","1_nSPC","-2.3","-2.701","-1.932","0.29","0.2492","0.3431","0.077","0.077","0.0017","0.0017","1.4e-04","0.00014"
"APVI","2_TOW","-2.3","-2.701","-1.932","0.29","0.2492","0.3431","0.013","0.118","0.0005","0.0017","6.5e-06","0.00020"
"AUCH","1_nSPC","-2.4","-3.031","-1.806","0.27","0.2154","0.3408","0.0116","0.012","0.00199","0.0020","2.3e-05","2.3e-05"
"AUCH","2_TOW","-2.4","-3.031","-1.806","0.27","0.2154","0.3408","0.0011","0.012","0.00046","0.0017","5.0e-07","2.0e-05"
"BAVI","1_nSPC","-1.7","-2.133","-1.324","0.26","0.2222","0.2955","0.063","0.063","0.00167","0.0017","1.1e-04","0.00011"
"BAVI","2_TOW","-1.7","-2.133","-1.324","0.26","0.2222","0.2955","0.012","0.062","0.00048","0.0019","5.6e-06","0.00012"
"CAAB","1_nSPC","-1.3","-1.7460","-0.7782","0.36","0.2329","0.5422","0.039","0.039","0.0022","0.0022","8.6e-05","8.6e-05"
"CAAB","2_TOW","-1.3","-1.7460","-0.7782","0.36","0.2329","0.5422","0.014","0.047","0.0010","0.0029","1.4e-05","1.4e-04"
"CACA","1_nSPC","-7.1","-9.088","-5.089","0.2","0.05469","0.53990","0.15459","0.15","0.00298","0.0030","4.6e-04","0.00046"
"CACA","2_TOW","-7.1","-9.088","-5.089","0.2","0.05469","0.53990","0.00018","0.18","0.00039","0.0019","7.2e-08","0.00034"
"CAIG","1_nSPC","-2.6","-3.532","-1.726","0.22","0.1425","0.3224","0.0119","0.012","0.00456","0.0046","5.4e-05","5.4e-05"
"CAIG","2_TOW","-2.6","-3.532","-1.726","0.22","0.1425","0.3224","0.0015","0.021","0.00053","0.0024","8.1e-07","5.0e-05"
"CALU","1_nSPC","-3.9","-4.996","-2.947","0.37","0.1404","0.7713","0.0412","0.041","0.00264","0.0026","1.1e-04","0.00011"
"CALU","2_TOW","-3.9","-4.996","-2.947","0.37","0.1404","0.7713","0.0023","0.104","0.00084","0.0023","1.9e-06","0.00024"
"CAME","1_nSPC","-2.5","-2.789","-2.283","0.21","0.1804","0.2486","0.329","0.33","0.00348","0.0035","1.1e-03","0.00115"
"CAME","2_TOW","-2.5","-2.789","-2.283","0.21","0.1804","0.2486","0.026","0.25","0.00049","0.0023","1.3e-05","0.00058"
"CAML","1_nSPC","-1.2","-1.8974","-0.4885","0.29","0.2123","0.4003","0.0523","0.052","0.00249","0.0025","1.3e-04","1.3e-04"
"CAML","2_TOW","-1.2","-1.8974","-0.4885","0.29","0.2123","0.4003","0.0061","0.019","0.00058","0.0020","3.5e-06","3.8e-05"
"CAOR","1_nSPC","-2.9","-3.820","-2.042","0.19","0.08613","0.36006","0.06882","0.069","0.00359","0.0036","2.5e-04","2.5e-04"
"CAOR","2_TOW","-2.9","-3.820","-2.042","0.19","0.08613","0.36006","0.00086","0.015","0.00055","0.0029","4.7e-07","4.5e-05"
"CASE","1_nSPC","-0.23","-1.020"," 0.580","0.17","0.03523","0.56488","0.0099","0.0099","0.071","0.071","0.00070","0.00070"
"CASE","2_TOW","-0.23","-1.020"," 0.580","0.17","0.03523","0.56488","0.0093","0.0117","0.014","0.083","0.00013","0.00096"
"CEAR","1_nSPC","-11","-12.221"," -9.019","0.15","0.0610","0.3291","0.75354","0.75","0.00412","0.0041","3.1e-03","0.0031"
"CEAR","2_TOW","-11","-12.221"," -9.019","0.15","0.0610","0.3291","0.00016","0.87","0.00043","0.0028","7.0e-08","0.0025"
"CEOC","1_nSPC","-1.5","-1.813","-1.207","0.29","0.2447","0.3267","0.042","0.042","0.0023","0.0023","9.4e-05","9.4e-05"
"CEOC","2_TOW","-1.5","-1.813","-1.207","0.29","0.2447","0.3267","0.021","0.088","0.0006","0.0021","1.3e-05","1.8e-04"
"CHFN","1_nSPC","-3.6","-4.110","-3.168","0.17","0.1078","0.2636","0.1837","0.184","0.00672","0.0067","1.2e-03","0.00123"
"CHFN","2_TOW","-3.6","-4.110","-3.168","0.17","0.1078","0.2636","0.0026","0.091","0.00055","0.0032","1.4e-06","0.00029"
"CHMC","1_nSPC","-1.1","-1.2532","-0.8687","0.24","0.2179","0.2685","0.20","0.20","0.00385","0.0039","7.9e-04","0.00079"
"CHMC","2_TOW","-1.1","-1.2532","-0.8687","0.24","0.2179","0.2685","0.12","0.28","0.00075","0.0031","8.8e-05","0.00086"
"CHUB","1_nSPC","-3.9","-4.639","-3.141","0.45","0.2349","0.7446","0.0507","0.051","0.00484","0.0048","2.5e-04","0.00025"
"CHUB","2_TOW","-3.9","-4.639","-3.141","0.45","0.2349","0.7446","0.0013","0.060","0.00087","0.0020","1.2e-06","0.00012"
"CHUD","1_nSPC","-1.4","-1.631","-1.087","0.25","0.2181","0.2808","0.081","0.081","0.00230","0.0023","1.9e-04","0.00019"
"CHUD","2_TOW","-1.4","-1.631","-1.087","0.25","0.2181","0.2808","0.039","0.137","0.00048","0.0019","1.9e-05","0.00027"
"COAY","1_nSPC","-5","-5.630","-4.311","0.23","0.1636","0.3244","0.17548","0.18","0.00217","0.0022","3.8e-04","0.00038"
"COAY","2_TOW","-5","-5.630","-4.311","0.23","0.1636","0.3244","0.00088","0.11","0.00043","0.0019","3.8e-07","0.00021"
"DIHY","1_nSPC","-0.58","-1.4763"," 0.3442","0.26","0.1861","0.3499","0.0086","0.0086","0.0017","0.0017","1.4e-05","1.4e-05"
"DIHY","2_TOW","-0.58","-1.4763"," 0.3442","0.26","0.1861","0.3499","0.0030","0.0053","0.0005","0.0019","1.5e-06","1.0e-05"
"ECNA","1_nSPC","-2.1","-3.6890","-0.5608","NaN","NA","NA","0.02138","0.0214","0.00165","0.0017","3.5e-05","3.5e-05"
"ECNA","2_TOW","-2.1","-3.6890","-0.5608","NaN","NA","NA","0.00037","0.0031","0.00061","   NaN","2.2e-07","    NaN"
"ELBI","1_nSPC","-2.8","-3.358","-2.288","0.35","0.1288","0.7546","0.051","0.051","0.022","0.022","1.1e-03","0.0011"
"ELBI","2_TOW","-2.8","-3.358","-2.288","0.35","0.1288","0.7546","0.007","0.103","0.011","0.031","7.4e-05","0.0032"
"EPSP","1_nSPC","-3","-3.905","-2.021","0.27","0.1721","0.4127","0.07550","0.076","0.00216","0.0022","1.6e-04","0.00016"
"EPSP","2_TOW","-3","-3.905","-2.021","0.27","0.1721","0.4127","0.00062","0.012","0.00045","0.0017","2.8e-07","0.00002"
"FICO","1_nSPC","0.42","-0.3187"," 1.0885","0.41","0.2023","0.7698","0.0075","0.0075","0.0033","0.0033","2.5e-05","2.5e-05"
"FICO","2_TOW","0.42","-0.3187"," 1.0885","0.41","0.2023","0.7698","0.0158","0.0105","0.0010","0.0024","1.6e-05","2.5e-05"
"GRAL","1_nSPC","-6.6","-8.140","-5.130","0.25","0.1116","0.5226","0.1464","0.15","0.00258","0.0026","3.8e-04","0.00038"
"GRAL","2_TOW","-6.6","-8.140","-5.130","0.25","0.1116","0.5226","0.0003","0.19","0.00046","0.0018","1.4e-07","0.00034"
"KYCI","1_nSPC","-4.1","-5.495","-2.595","0.88","0.3666","1.8538","1.5e-02","0.0150","0.0026","0.0026","4.0e-05","4.0e-05"
"KYCI","2_TOW","-4.1","-5.495","-2.595","0.88","0.3666","1.8538","8.5e-05","0.0051","0.0017","0.0019","1.4e-07","9.7e-06"
"LEOL","1_nSPC","-2.3","-3.213","-1.380","0.26","0.1454","0.4295","0.0321","0.032","0.00203","0.0020","6.5e-05","6.5e-05"
"LEOL","2_TOW","-2.3","-3.213","-1.380","0.26","0.1454","0.4295","0.0017","0.017","0.00044","0.0017","7.3e-07","2.8e-05"
"LETH","1_nSPC","-2.6","-3.342","-1.821","0.2","0.1132","0.3536","0.0288","0.029","0.00210","0.0021","6e-05","0.00006"
"LETH","2_TOW","-2.6","-3.342","-1.821","0.2","0.1132","0.3536","0.0041","0.051","0.00049","0.0024","2e-06","0.00012"
"LUBO","1_nSPC","-2.2","-2.396","-2.012","0.21","0.1936","0.2227","0.39","0.39","0.00291","0.0029","0.00112","0.0011"
"LUBO","2_TOW","-2.2","-2.396","-2.012","0.21","0.1936","0.2227","0.17","0.65","0.00064","0.0031","0.00011","0.0020"
"LUGI","1_nSPC","-5.3","-6.695","-3.930","0.39","0.05721","1.41156","0.0782","0.078","0.00564","0.0056","4.4e-04","0.00044"
"LUGI","2_TOW","-5.3","-6.695","-3.930","0.39","0.05721","1.41156","0.0016","0.236","0.00049","0.0012","7.7e-07","0.00029"
"LUMO","1_nSPC","-4.6","-5.312","-3.877","0.24","0.1455","0.3734","0.1231","0.12","0.00291","0.0029","3.6e-04","0.00036"
"LUMO","2_TOW","-4.6","-5.312","-3.877","0.24","0.1455","0.3734","0.0012","0.11","0.00056","0.0023","6.5e-07","0.00025"
"MAMA","1_nSPC","-1.9","-2.218","-1.675","0.25","0.2145","0.2847","0.135","0.14","0.00290","0.0029","3.9e-04","0.00039"
"MAMA","2_TOW","-1.9","-2.218","-1.675","0.25","0.2145","0.2847","0.053","0.28","0.00075","0.0030","3.9e-05","0.00084"
"MANI","1_nSPC","-2.8","-3.076","-2.592","0.36","0.2952","0.4270","0.148","0.15","0.0033","0.0033","4.9e-04","0.00049"
"MANI","2_TOW","-2.8","-3.076","-2.592","0.36","0.2952","0.4270","0.033","0.37","0.0011","0.0032","3.8e-05","0.00118"
