"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACXA","5673","1056","4617","41","33","8"
"AEOC","5673","1056","4617","38","5","33"
"ALSC","5673","1056","4617","26","14","12"
"APVI","5673","1056","4617","133","89","44"
"ARHI","5673","1056","4617","5","3","2"
"ARMA","5673","1056","4617","7","1","6"
"AUCH","5673","1056","4617","54","38","16"
"BAVI","5673","1056","4617","113","57","56"
"CAAB","5673","1056","4617","82","37","45"
"CACA","5673","1056","4617","193","192","1"
"CAFE","5673","1056","4617","5","4","1"
"CAIG","5673","1056","4617","24","17","7"
"CALU","5673","1056","4617","45","41","4"
"CAME","5673","1056","4617","386","263","123"
"CAML","5673","1056","4617","40","15","25"
"CAOR","5673","1056","4617","38","31","7"
"CASE","5673","1056","4617","43","8","35"
"CEAR","5673","1056","4617","730","728","2"
"CEOC","5673","1056","4617","202","92","110"
"CHCH","5673","1056","4617","6","2","4"
"CHFN","5673","1056","4617","180","157","23"
"CHMC","5673","1056","4617","793","262","531"
"CHUB","5673","1056","4617","82","74","8"
"CHUD","5673","1056","4617","261","115","146"
"COAY","5673","1056","4617","202","192","10"
"DIHY","5673","1056","4617","30","7","23"
"ECNA","5673","1056","4617","9","6","3"
"ELBI","5673","1056","4617","82","61","21"
"EMPE","5673","1056","4617","9","4","5"
"EPLA","5673","1056","4617","2","1","1"
"EPPO","5673","1056","4617","6","4","2"
"EPSP","5673","1056","4617","33","27","6"
"FICO","5673","1056","4617","76","9","67"
"GRAL","5673","1056","4617","160","158","2"
"GROU","5673","1056","4617","3","2","1"
"HILO","5673","1056","4617","7","1","6"
"KYCI","5673","1056","4617","24","22","2"
"LEOL","5673","1056","4617","26","18","8"
"LETH","5673","1056","4617","49","39","10"
"LUBO","5673","1056","4617","1093","501","592"
"LUGI","5673","1056","4617","87","85","2"
"LUMO","5673","1056","4617","160","152","8"
"MAMA","5673","1056","4617","313","170","143"
"MANI","5673","1056","4617","419","299","120"
"MOGR","5673","1056","4617","469","457","12"
"NAAN","5673","1056","4617","13","6","7"
"NABH","5673","1056","4617","49","15","34"
"NABR","5673","1056","4617","136","129","7"
"NAHE","5673","1056","4617","319","151","168"
"NASP","5673","1056","4617","25","4","21"
"NATO","5673","1056","4617","102","42","60"
"NAUN","5673","1056","4617","84","48","36"
"NAVL","5673","1056","4617","200","190","10"
"NEFE","5673","1056","4617","11","2","9"
"PABA","5673","1056","4617","15","8","7"
"PACY","5673","1056","4617","524","518","6"
"PLAL","5673","1056","4617","8","7","1"
"PLGI","5673","1056","4617","23","4","19"
"PLLV","5673","1056","4617","104","59","45"
"PLOR","5673","1056","4617","14","10","4"
"PLPI","5673","1056","4617","67","11","56"
"PLTE","5673","1056","4617","11","5","6"
"PLVI","5673","1056","4617","81","70","11"
"PSFL","5673","1056","4617","71","49","22"
"SASP","5673","1056","4617","104","103","1"
"SCAL","5673","1056","4617","91","38","53"
"SCFE","5673","1056","4617","28","23","5"
"SCFO","5673","1056","4617","526","497","29"
"SCGH","5673","1056","4617","7","1","6"
"SCLY","5673","1056","4617","17","16","1"
"SCRU","5673","1056","4617","843","336","507"
"SCSP","5673","1056","4617","78","25","53"
"SCXA","5673","1056","4617","51","19","32"
"SPBA","5673","1056","4617","56","31","25"
"SPHE","5673","1056","4617","21","5","16"
"SPQE","5673","1056","4617","95","21","74"
"SURG","5673","1056","4617","61","59","2"
"TAME","5673","1056","4617","6","1","5"
"TROB","5673","1056","4617","148","46","102"
"VALO","5673","1056","4617","179","151","28"
