"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"AEOC","1_nSPC","-2.2","-3.4820","-0.8579","0.21","0.03732","0.63719","0.00463","0.0046","23.5","23.5","0.10889","0.109"
"AEOC","2_TOW","-2.2","-3.4820","-0.8579","0.21","0.03732","0.63719","0.00049","0.0044"," 1.3"," 6.3","0.00066","0.028"
"ALSC","1_nSPC","-4.8","-6.173","-3.391","0.12","0.07223","0.18457","0.03586","0.036","0.390","0.39","1.4e-02","0.014"
"ALSC","2_TOW","-4.8","-6.173","-3.391","0.12","0.07223","0.18457","0.00068","0.074","0.046","0.40","3.2e-05","0.030"
"APFU","1_nSPC","-11","-17.567"," -5.013","0.2","0.01352","0.96607","4.9e-01","0.49","0.618","0.62","3.0e-01","0.3"
"APFU","2_TOW","-11","-17.567"," -5.013","0.2","0.01352","0.96607","4.4e-06","0.28","0.071","0.35","3.1e-07","0.1"
"APVI","1_nSPC","-4","-4.780","-3.192","0.07","0.05233","0.09129","0.0632","0.063","6.09","6.1","0.38513","0.39"
"APVI","2_TOW","-4","-4.780","-3.192","0.07","0.05233","0.09129","0.0015","0.073","0.28","4.0","0.00042","0.30"
"ARST","1_nSPC","-1","-3.212"," 1.284","0.015","0.003732","0.038280","0.00040","0.0004","94.63","95","0.03755","0.038"
"ARST","2_TOW","-1","-3.212"," 1.284","0.015","0.003732","0.038280","0.00049","0.0014"," 0.52","36","0.00026","0.048"
"AUCH","1_nSPC","-4.7","-6.363","-3.043","0.63","0.1221","1.8282","0.0241","0.024","0.198","0.198","4.8e-03","0.00477"
"AUCH","2_TOW","-4.7","-6.363","-3.043","0.63","0.1221","1.8282","0.0002","0.022","0.028","0.044","5.5e-06","0.00099"
"BAVI","1_nSPC","-4.1","-5.161","-3.157","0.19","0.1080","0.3006","0.0405","0.04","3.7","3.7","0.14982","0.15"
"BAVI","2_TOW","-4.1","-5.161","-3.157","0.19","0.1080","0.3006","0.0016","0.09","0.4","2.1","0.00064","0.19"
"CAAB","1_nSPC","-2.7","-3.179","-2.147","0.044","0.03013","0.06138","0.0758","0.076","32.7","33","2.481","2.5"
"CAAB","2_TOW","-2.7","-3.179","-2.147","0.044","0.03013","0.06138","0.0087","0.111"," 2.2","51","0.019","5.7"
"CAIG","1_nSPC","-3.6","-4.820","-2.248","0.045","0.02067","0.08964","0.01228","0.012","20.9","21","0.25667","0.26"
"CAIG","2_TOW","-3.6","-4.820","-2.248","0.045","0.02067","0.08964","0.00069","0.025"," 1.3","28","0.00089","0.71"
"CALU","1_nSPC","-5.5","-6.648","-4.277","0.25","0.1283","0.4497","0.10039","0.10","3.14","3.1","0.31511","0.32"
"CALU","2_TOW","-5.5","-6.648","-4.277","0.25","0.1283","0.4497","0.00065","0.13","0.35","1.4","0.00022","0.18"
"CAME","1_nSPC","-5.5","-5.962","-5.035","0.12","0.1022","0.1406","0.4272","0.43","3.94","3.9","1.6829","1.7"
"CAME","2_TOW","-5.5","-5.962","-5.035","0.12","0.1022","0.1406","0.0053","0.56","0.39","3.3","0.0021","1.8"
"CAML","1_nSPC","-3.7","-4.615","-2.784","0.025","0.01700","0.03515","0.02050","0.020","23.8","24","0.48723","0.49"
"CAML","2_TOW","-3.7","-4.615","-2.784","0.025","0.01700","0.03515","0.00038","0.015"," 0.7","28","0.00027","0.43"
"CAOR","1_nSPC","-6.6","-8.850","-4.114","0.54","0.1852","1.3275","0.07929","0.079","0.85","0.85","6.7e-02","0.067"
"CAOR","2_TOW","-6.6","-8.850","-4.114","0.54","0.1852","1.3275","0.00022","0.133","0.24","0.45","5.3e-05","0.061"
"CASE","1_nSPC","-3.4","-4.335","-2.393","0.069","0.01920","0.17979","0.02637","0.026","191.5","191","5.0492","5.0"
"CASE","2_TOW","-3.4","-4.335","-2.393","0.069","0.01920","0.17979","0.00077","0.022","  4.5"," 66","0.0035","1.4"
"CEAR","1_nSPC","-12","-18.938"," -5.351","1.5","0.1149","6.4228","5.8e-01","0.58","1.31","1.31","7.6e-01","0.76"
"CEAR","2_TOW","-12","-18.938"," -5.351","1.5","0.1149","6.4228","2.7e-06","0.38","0.19","0.13","5.3e-07","0.05"
"CEOC","1_nSPC","-5.2","-8.018","-2.435","0.29","0.001993","2.565251","0.01156","0.0116","1.9","1.86","2.2e-02","0.0215"
"CEOC","2_TOW","-5.2","-8.018","-2.435","0.29","0.001993","2.565251","0.00003","0.0054","0.2","0.69","6.0e-06","0.0037"
"CHMC","1_nSPC","-3.9","-4.409","-3.443","0.14","0.1056","0.1830","0.1179","0.12","3.69","3.7","0.43492","0.43"
"CHMC","2_TOW","-3.9","-4.409","-3.443","0.14","0.1056","0.1830","0.0028","0.12","0.26","1.9","0.00074","0.23"
"CHUD","1_nSPC","-3.9","-4.678","-3.173","0.072","0.04390","0.10893","0.0364","0.036","20.9","21","0.7617","0.76"
"CHUD","2_TOW","-3.9","-4.678","-3.173","0.072","0.04390","0.10893","0.0014","0.066"," 1.9","26","0.0026","1.73"
"COAY","1_nSPC","-9.8","-12.514"," -7.133","1.2","0.1958","4.2231","0.40266","0.40","0.56","0.56","2.3e-01","0.23"
"COAY","2_TOW","-9.8","-12.514"," -7.133","1.2","0.1958","4.2231","0.00024","0.81","0.28","0.24","6.7e-05","0.19"
"DIHY","1_nSPC","-1.5","-2.7163","-0.4093","0.15","0.08735","0.24659","0.0034","0.0034","1.60","1.6","0.00551","0.0055"
"DIHY","2_TOW","-1.5","-2.7163","-0.4093","0.15","0.08735","0.24659","0.0011","0.0053","0.36","2.4","0.00041","0.0126"
"ELBI","1_nSPC","-3.4","-4.119","-2.594","0.047","0.02400","0.08097","0.048","0.048","15.48","15","0.736","0.74"
"ELBI","2_TOW","-3.4","-4.119","-2.594","0.047","0.02400","0.08097","0.029","0.465"," 0.57","12","0.017","5.65"
"FICO","1_nSPC","-3.1","-4.097","-2.188","0.43","0.1693","0.9002","0.0235","0.024","0.64","0.64","1.5e-02","0.0150"
"FICO","2_TOW","-3.1","-4.097","-2.188","0.43","0.1693","0.9002","0.0011","0.025","0.06","0.14","6.7e-05","0.0035"
"GROU","1_nSPC","-4.8","-9.0959","-0.5125","7.8"," 0.03422","70.37929","9.1e-03","0.0091","0.22","0.217","2.0e-03","2.0e-03"
"GROU","2_TOW","-4.8","-9.0959","-0.5125","7.8"," 0.03422","70.37929","4.8e-06","0.0006","0.22","0.029","1.1e-06","1.7e-05"
"HILO","1_nSPC","-4.4","-5.535","-3.217","0.21","0.1019","0.3834","0.01319","0.013","3.53","3.5","0.04657","0.047"
"HILO","2_TOW","-4.4","-5.535","-3.217","0.21","0.1019","0.3834","0.00041","0.034","0.31","1.5","0.00013","0.050"
"KYPA","1_nSPC","-7.1","-13.032"," -1.149","0.77","0.01186","4.34977","3.0e-02","0.030","5.48","5.48","1.7e-01","0.165"
"KYPA","2_TOW","-7.1","-13.032"," -1.149","0.77","0.01186","4.34977","3.8e-05","0.044","0.42","0.55","1.6e-05","0.024"
"LEOL","1_nSPC","-5","-6.550","-3.389","0.087","0.02977","0.21061","0.0164","0.016","3.83","3.8","6.3e-02","0.063"
"LEOL","2_TOW","-5","-6.550","-3.389","0.087","0.02977","0.21061","0.0002","0.029","0.22","2.5","4.5e-05","0.073"
"LETH","1_nSPC","-7.3","-11.453"," -2.830","3.3"," 0.1339","16.2253","0.02862","0.029","4.07","4.07","1.2e-01","0.117"
"LETH","2_TOW","-7.3","-11.453"," -2.830","3.3"," 0.1339","16.2253","0.00014","0.170","0.51","0.15","7.2e-05","0.026"
"LUBO","1_nSPC","-5.2","-5.514","-4.858","0.11","0.09302","0.11879","0.586","0.59","6.17","6.2","3.6161","3.6"
"LUBO","2_TOW","-5.2","-5.514","-4.858","0.11","0.09302","0.11879","0.022","0.80","0.44","4.1","0.0098","3.3"
"LUMO","1_nSPC","-6.7","-9.172","-4.521","0.15","0.06943","0.30050","5.8e-02","0.058","1.15","1.2","6.7e-02","0.067"
"LUMO","2_TOW","-6.7","-9.172","-4.521","0.15","0.06943","0.30050","3.2e-05","0.024","0.17","1.1","5.4e-06","0.027"
"MACO","1_nSPC","-0.85","-4.2258"," 2.1840","2.3e+07","8.750e+00","3.372e+07","0.00019","0.00019","4.15","4.2e+00","0.00080","8e-04"
"MACO","2_TOW","-0.85","-4.2258"," 2.1840","2.3e+07","8.750e+00","3.372e+07","0.00034","0.00081","0.56","2.5e-08","0.00019","2e-11"
"MAMA","1_nSPC","-4.5","-4.952","-3.984","0.2","0.1501","0.2629","0.1918","0.19","2.50","2.5","0.4797","0.48"
"MAMA","2_TOW","-4.5","-4.952","-3.984","0.2","0.1501","0.2629","0.0041","0.26","0.34","1.7","0.0014","0.44"
"MANI","1_nSPC","-5.1","-5.672","-4.660","0.59","0.4222","0.8047","0.2457","0.25","2.8","2.8","0.684","0.68"
"MANI","2_TOW","-5.1","-5.672","-4.660","0.59","0.4222","0.8047","0.0029","0.33","0.7","1.2","0.002","0.39"
