"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACDU","5910","1227","4683","392","390","2"
"ACSP","5910","1227","4683","55","50","5"
"ACXA","5910","1227","4683","65","62","3"
"AEOC","5910","1227","4683","68","16","52"
"ALCI","5910","1227","4683","3","2","1"
"ALSC","5910","1227","4683","13","9","4"
"APVI","5910","1227","4683","380","257","123"
"AUCH","5910","1227","4683","244","174","70"
"BALA","5910","1227","4683","3","1","2"
"BAPO","5910","1227","4683","19","18","1"
"BOAL","5910","1227","4683","746","740","6"
"CAAB","5910","1227","4683","22","10","12"
"CAFE","5910","1227","4683","14","12","2"
"CAGA","5910","1227","4683","9","2","7"
"CAIG","5910","1227","4683","28","14","14"
"CAME","5910","1227","4683","307","275","32"
"CAOR","5910","1227","4683","38","35","3"
"CEAR","5910","1227","4683","587","564","23"
"CHCH","5910","1227","4683","32","14","18"
"CHPE","5910","1227","4683","151","66","85"
"CHUB","5910","1227","4683","176","173","3"
"DASY","5910","1227","4683","5","1","4"
"DIHY","5910","1227","4683","24","18","6"
"ELBI","5910","1227","4683","8","6","2"
"FICO","5910","1227","4683","144","85","59"
"MOGR","5910","1227","4683","347","339","8"
"MOSP","5910","1227","4683","19","6","13"
"NAAN","5910","1227","4683","8","7","1"
"NABR","5910","1227","4683","255","253","2"
"NAHE","5910","1227","4683","304","283","21"
"NAUN","5910","1227","4683","328","307","21"
"OPPU","5910","1227","4683","8","3","5"
"SCLY","5910","1227","4683","25","24","1"
"SCRU","5910","1227","4683","979","449","530"
"SEDU","5910","1227","4683","54","29","25"
"SPBA","5910","1227","4683","17","11","6"
"SPLE","5910","1227","4683","6","1","5"
"SURG","5910","1227","4683","22","21","1"
"TROB","5910","1227","4683","31","11","20"
