"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACDU","1_nSPC","-6.3","-7.204","-5.404","1.1","0.4011","2.1903","0.34130","0.34","2.2","2.2","0.7515","0.75"
"ACDU","2_TOW","-6.3","-7.204","-5.404","1.1","0.4011","2.1903","0.00038","0.17","1.3","1.2","0.0005","0.21"
"ACSP","1_nSPC","-3.6","-4.656","-2.675","432","  47.97","1711.63","0.03289","0.033","0.068","0.0680","0.0022","2.2e-03"
"ACSP","2_TOW","-3.6","-4.656","-2.675","432","  47.97","1711.63","0.00046","0.017","2.440","0.0056","0.0011","9.8e-05"
"ACXA","1_nSPC","-3.2","-3.840","-2.523","0.81","0.3376","1.6295","0.06880","0.069","2.8","2.8","0.1897","0.190"
"ACXA","2_TOW","-3.2","-3.840","-2.523","0.81","0.3376","1.6295","0.00088","0.021","1.4","1.7","0.0012","0.037"
"AEOC","1_nSPC","0.032","-0.62744"," 0.67571","0.7","0.3278","1.3104","0.012","0.012","12.3","12","0.15","0.15"
"AEOC","2_TOW","0.032","-0.62744"," 0.67571","0.7","0.3278","1.3104","0.013","0.013"," 8.1","11","0.11","0.15"
"ALSC","1_nSPC","-2.4","-3.484","-1.213","5.3"," 0.3173","25.8270","0.00413","0.0041","0.38","0.380","0.00157","0.00157"
"ALSC","2_TOW","-2.4","-3.484","-1.213","5.3"," 0.3173","25.8270","0.00048","0.0052","0.25","0.047","0.00012","0.00024"
"APVI","1_nSPC","-2.3","-2.588","-2.062","0.51","0.4040","0.6252","0.24","0.24","5.4","5.4","1.33","1.33"
"APVI","2_TOW","-2.3","-2.588","-2.062","0.51","0.4040","0.6252","0.03","0.24","2.0","3.9","0.06","0.95"
"AUCH","1_nSPC","-2.1","-2.391","-1.848","1.5","1.112","1.998","0.123","0.12","0.18","0.18","0.0227","0.023"
"AUCH","2_TOW","-2.1","-2.391","-1.848","1.5","1.112","1.998","0.024","0.17","0.29","0.19","0.0071","0.033"
"BAPO","1_nSPC","-3.3","-4.483","-2.017","0.62","0.1612","1.6376","0.00848","0.0085","1.2","1.2","0.01043","0.0104"
"BAPO","2_TOW","-3.3","-4.483","-2.017","0.62","0.1612","1.6376","0.00015","0.0039","1.3","2.1","0.00019","0.0081"
"BOAL","1_nSPC","-6.7","-7.285","-6.111","1.3","0.5636","2.6953","0.60788","0.61","1.07","1.07","0.64942","0.65"
"BOAL","2_TOW","-6.7","-7.285","-6.111","1.3","0.5636","2.6953","0.00091","0.42","0.78","0.59","0.00071","0.25"
"CAAB","1_nSPC","-1.3","-2.1539","-0.3511","0.22","0.0468","0.6564","0.0206","0.021","31","31","0.631","0.63"
"CAAB","2_TOW","-1.3","-2.1539","-0.3511","0.22","0.0468","0.6564","0.0029","0.010","16","74","0.047","0.75"
