"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",3.47,14.19,0.15,0.15,0.9,0.9,0.14,0.14
"ABSO","1_nSPC","Global",3.47,14.19,0.01,0.01,0.22,0.22,0,0
"ABVA","1_nSPC","Global",3.47,14.19,0.08,0.08,1.18,1.18,0.09,0.09
"ACAC","1_nSPC","Global",3.47,14.19,0.04,0.04,0.78,0.78,0.03,0.03
"ACAN","1_nSPC","Global",3.47,14.19,0,0,0.02,0.02,0,0
"ACBL","1_nSPC","Global",3.47,14.19,0.25,0.25,1.84,1.84,0.46,0.46
"ACDU","1_nSPC","Global",3.47,14.19,0.19,0.19,2.3,2.3,0.43,0.43
"ACDU","2_TOW","Global",3.47,14.19,0,0.01,2.37,0.17,0,0
"ACLE","1_nSPC","Global",3.47,14.19,0.29,0.29,0.32,0.32,0.09,0.09
"ACLI","1_nSPC","Global",3.47,14.19,0,0,0.19,0.19,0,0
"ACNC","1_nSPC","Global",3.47,14.19,0,0,0.39,0.39,0,0
"ACNF","1_nSPC","Global",3.47,14.19,0.45,0.45,0.66,0.66,0.3,0.3
"ACNR","1_nSPC","Global",3.47,14.19,0.66,0.66,0.82,0.82,0.54,0.54
"ACOL","1_nSPC","Global",3.47,14.19,0.56,0.56,4.24,4.24,2.37,2.37
"ACSO","1_nSPC","Global",3.47,14.19,0,0,0.05,0.05,0,0
"ACSP","1_nSPC","Global",3.47,14.19,0.05,0.05,0.01,0.01,0,0
"ACSP","2_TOW","Global",3.47,14.19,0,0.04,3.51,0.25,0,0.01
"ACTH","1_nSPC","Global",3.47,14.19,0.02,0.02,0.48,0.48,0.01,0.01
"ACTR","1_nSPC","Global",3.47,14.19,0.74,0.74,1.45,1.45,1.07,1.07
"ACXA","1_nSPC","Global",3.47,14.19,0.02,0.02,4.44,4.44,0.1,0.1
"AEOC","1_nSPC","Global",3.47,14.19,0.01,0.01,27.32,27.32,0.28,0.28
"AEOC","2_TOW","Global",3.47,14.19,0.01,0.2,18.79,1.32,0.15,0.27
"ALCI","2_TOW","Global",3.47,14.19,0,0.07,27.29,1.92,0.07,0.14
"ALSC","1_nSPC","Global",3.47,14.19,0,0,0.28,0.28,0,0
"ALSC","2_TOW","Global",3.47,14.19,0,0.1,0.25,0.02,0,0
"AMBI","1_nSPC","Global",3.47,14.19,0,0,0,0,0,0
"ANCH","1_nSPC","Global",3.47,14.19,0.15,0.15,0.05,0.05,0.01,0.01
"ANCO","1_nSPC","Global",3.47,14.19,0,0,0.02,0.02,0,0
"ANCU","1_nSPC","Global",3.47,14.19,0.27,0.27,0.22,0.22,0.06,0.06
"ANSP","1_nSPC","Global",3.47,14.19,0,0,0,0,0,0
"APAR","1_nSPC","Global",3.47,14.19,0.09,0.09,0.26,0.26,0.02,0.02
"APFU","1_nSPC","Global",3.47,14.19,0.07,0.07,1.35,1.35,0.09,0.09
"APFU","2_TOW","Global",3.47,14.19,0,0.04,0.9,0.06,0,0
"APSP","1_nSPC","Global",3.47,14.19,0,0,0.04,0.04,0,0
"APVI","1_nSPC","Global",3.47,14.19,0.55,0.55,18.28,18.28,10.13,10.13
"APVI","2_TOW","Global",3.47,14.19,0.09,0.76,4.41,0.31,0.39,0.24
"ARHI","1_nSPC","Global",3.47,14.19,0.01,0.01,0.73,0.73,0.01,0.01
"ARME","1_nSPC","Global",3.47,14.19,0.01,0.01,8.98,8.98,0.06,0.06
"ATIN","1_nSPC","Global",3.47,14.19,0,0,2.92,2.92,0,0
"AUCH","1_nSPC","Global",3.47,14.19,0.12,0.12,0.29,0.29,0.03,0.03
