"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACMT","4701","667","4034","96","92","4"
"ACSO","4701","667","4034","4","0","4"
"ACXA","4701","667","4034","106","94","12"
"AEOC","4701","667","4034","86","18","68"
"ALSC","4701","667","4034","130","75","55"
"APFU","4701","667","4034","451","442","9"
"APVI","4701","667","4034","136","44","92"
"AUCH","4701","667","4034","160","46","114"
"BAVI","4701","667","4034","176","58","118"
"BOAL","4701","667","4034","14","9","5"
"BOMU","4701","667","4034","2","0","2"
"CAAB","4701","667","4034","1574","288","1286"
"CAFE","4701","667","4034","21","12","9"
"CAGA","4701","667","4034","8","2","6"
"CAIG","4701","667","4034","133","46","87"
"CALU","4701","667","4034","536","237","299"
"CAME","4701","667","4034","719","387","332"
"CAML","4701","667","4034","414","139","275"
"CAOR","4701","667","4034","157","123","34"
"CASE","4701","667","4034","41","6","35"
"CEAR","4701","667","4034","646","609","37"
"CESX","4701","667","4034","23","21","2"
"CHCH","4701","667","4034","180","48","132"
"CHMC","4701","667","4034","630","124","506"
"CHPE","4701","667","4034","24","7","17"
"CHUB","4701","667","4034","75","69","6"
"CHUD","4701","667","4034","191","50","141"
"COAY","4701","667","4034","298","269","29"
"DIHY","4701","667","4034","20","9","11"
"ECNA","4701","667","4034","4","3","1"
"ELBI","4701","667","4034","226","121","105"
"EPLA","4701","667","4034","4","3","1"
"EPPO","4701","667","4034","46","32","14"
"EPSP","4701","667","4034","74","56","18"
"EPTA","4701","667","4034","45","42","3"
"FICO","4701","667","4034","116","18","98"
"GROU","4701","667","4034","9","3","6"
"HAMM","4701","667","4034","4","1","3"
"HILO","4701","667","4034","34","14","20"
"LEOL","4701","667","4034","78","46","32"
"LETH","4701","667","4034","16","13","3"
"LEXA","4701","667","4034","70","68","2"
"LUBO","4701","667","4034","2950","601","2349"
"LUGI","4701","667","4034","199","192","7"
"LUMO","4701","667","4034","110","107","3"
"MAMA","4701","667","4034","1","0","1"
"MANI","4701","667","4034","43","7","36"
"MOGR","4701","667","4034","228","188","40"
"MOSP","4701","667","4034","183","47","136"
"NAAN","4701","667","4034","24","11","13"
"NABR","4701","667","4034","102","81","21"
"NACA","4701","667","4034","6","0","6"
"NAHE","4701","667","4034","609","226","383"
"NASP","4701","667","4034","27","1","26"
"NAUN","4701","667","4034","39","29","10"
"NAVL","4701","667","4034","335","153","182"
"PACY","4701","667","4034","137","133","4"
"PLLV","4701","667","4034","5","1","4"
"PLTE","4701","667","4034","4","0","4"
"PSFL","4701","667","4034","144","75","69"
"SCAL","4701","667","4034","30","26","4"
"SCFE","4701","667","4034","17","16","1"
"SCFO","4701","667","4034","97","96","1"
"SCFR","4701","667","4034","388","382","6"
"SCGH","4701","667","4034","38","37","1"
"SCLY","4701","667","4034","43","27","16"
"SCRU","4701","667","4034","870","457","413"
"SCSP","4701","667","4034","37","4","33"
"SPBA","4701","667","4034","61","37","24"
"SPHE","4701","667","4034","15","4","11"
"SPLE","4701","667","4034","54","15","39"
"SPQE","4701","667","4034","101","32","69"
"SURG","4701","667","4034","44","15","29"
"TAME","4701","667","4034","25","9","16"
"TRIG","4701","667","4034","3","1","2"
"TROB","4701","667","4034","473","96","377"
"TYCR","4701","667","4034","11","8","3"
"VALO","4701","667","4034","555","240","315"
