"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACXA","1_nSPC","-7.2","-10.453"," -4.052","0.16","0.01757","0.61880","0.07149","0.071","3.09","3.1","2.2e-01","0.22"
"ACXA","2_TOW","-7.2","-10.453"," -4.052","0.16","0.01757","0.61880","0.00005","0.063","0.35","2.2","1.8e-05","0.14"
"AEOC","1_nSPC","-3","-3.728","-2.334","0.068","0.04520","0.09979","0.0229","0.023","26.6","27","0.6081","0.61"
"AEOC","2_TOW","-3","-3.728","-2.334","0.068","0.04520","0.09979","0.0024","0.047"," 3.4","50","0.0082","2.34"
"ALSC","1_nSPC","-4.5","-5.562","-3.668","0.14","0.0927","0.2203","0.087","0.087","0.435","0.44","3.8e-02","0.038"
"ALSC","2_TOW","-4.5","-5.562","-3.668","0.14","0.0927","0.2203","0.001","0.090","0.043","0.30","4.5e-05","0.027"
"APFU","1_nSPC","-38","-1684.60"," 1696.28","0.069","0.005217","0.282591","5.4e-01","0.54","1.367","1.4","7.4e-01","0.74"
"APFU","2_TOW","-38","-1684.60"," 1696.28","0.069","0.005217","0.282591","1.1e-05","1.00","0.094","1.4","1.0e-06","1.36"
"APVI","1_nSPC","-4.4","-5.217","-3.554","0.064","0.04365","0.09040","0.1011","0.10","5.69","5.7","0.575","0.58"
"APVI","2_TOW","-4.4","-5.217","-3.554","0.064","0.04365","0.09040","0.0038","0.23","0.27","4.2","0.001","0.99"
"AUCH","1_nSPC","-4.9","-6.002","-3.905","0.18","0.1084","0.2624","0.1076","0.11","0.316","0.32","3.4e-02","0.034"
"AUCH","2_TOW","-4.9","-6.002","-3.905","0.18","0.1084","0.2624","0.0019","0.20","0.031","0.18","5.9e-05","0.036"
"BAVI","1_nSPC","-3.4","-4.099","-2.626","0.1","0.07689","0.13640","0.0355","0.036","4.22","4.2","0.1497","0.15"
"BAVI","2_TOW","-3.4","-4.099","-2.626","0.1","0.07689","0.13640","0.0021","0.057","0.39","3.7","0.0008","0.22"
"BOMU","1_nSPC","-2.3","-3.163","-1.536","0.02","0.01174","0.03096","0.0083","0.0083","394.1","394","3.26","3.3"
"BOMU","2_TOW","-2.3","-3.163","-1.536","0.02","0.01174","0.03096","0.0032","0.0326","  3.1","156","0.01","5.1"
"CAAB","1_nSPC","-2.8","-3.063","-2.562","0.03","0.02574","0.03429","0.317","0.32","69.3"," 69","21.99","22"
"CAAB","2_TOW","-2.8","-3.063","-2.562","0.03","0.02574","0.03429","0.042","0.42"," 3.1","106"," 0.13","45"
"CAFE","1_nSPC","-3.8","-5.612","-1.675","1","0.1205","4.4838","0.01502","0.0150","3.07","3.07","0.04606","0.0461"
"CAFE","2_TOW","-3.8","-5.612","-1.675","1","0.1205","4.4838","0.00015","0.0064","0.84","0.83","0.00012","0.0053"
"CAIG","1_nSPC","-3.8","-4.509","-2.998","0.044","0.02961","0.06240","0.0318","0.032","23.1","23","0.7348","0.73"
"CAIG","2_TOW","-3.8","-4.509","-2.998","0.044","0.02961","0.06240","0.0026","0.099"," 1.1","26","0.0029","2.53"
"CALU","1_nSPC","-5","-5.425","-4.441","0.18","0.1366","0.2330","0.1885","0.19","7","7.0","1.322","1.3"
"CALU","2_TOW","-5","-5.425","-4.441","0.18","0.1366","0.2330","0.0069","0.50","1","5.7","0.007","2.8"
"CAME","1_nSPC","-5.6","-6.059","-5.208","0.14","0.1124","0.1664","0.4886","0.49","6.8","6.8","3.3165","3.3"
"CAME","2_TOW","-5.6","-6.059","-5.208","0.14","0.1124","0.1664","0.0058","0.62","0.5","3.6","0.0029","2.3"
"CAML","1_nSPC","-3.5","-3.991","-3.057","0.03","0.02493","0.03469","0.0680","0.068","24.27","24","1.6501","1.7"
"CAML","2_TOW","-3.5","-3.991","-3.057","0.03","0.02493","0.03469","0.0057","0.162"," 0.72","24","0.0041","3.9"
"CAOR","1_nSPC","-6.6","-8.079","-5.176","0.19","0.09192","0.35916","0.16967","0.17","1.53","1.5","0.2600","0.26"
"CAOR","2_TOW","-6.6","-8.079","-5.176","0.19","0.09192","0.35916","0.00043","0.24","0.25","1.3","0.0001","0.32"
"CASE","1_nSPC","-2.7","-3.897","-1.365","0.71","0.05858","3.36839","0.00793","0.0079","70","70","0.557","0.56"
"CASE","2_TOW","-2.7","-3.897","-1.365","0.71","0.05858","3.36839","0.00094","0.0132","41","58","0.039","0.77"
"CEAR","1_nSPC","-11","-12.853"," -9.686","0.16","0.1017","0.2382","0.68395","0.68","2.57","2.6","1.75780","1.8"
"CEAR","2_TOW","-11","-12.853"," -9.686","0.16","0.1017","0.2382","0.00071","0.98","0.26","1.6","0.00018","1.6"
"CHCH","1_nSPC","-3.1","-3.743","-2.507","0.067","0.03614","0.10932","0.029","0.029","104","104","3.0196","3.0"
"CHCH","2_TOW","-3.1","-3.743","-2.507","0.067","0.03614","0.10932","0.002","0.043","  5"," 74","0.0099","3.2"
"CHMC","1_nSPC","-3.9","-4.343","-3.404","0.099","0.08055","0.11963","0.2896","0.29","4.57","4.6","1.3247","1.3"
"CHMC","2_TOW","-3.9","-4.343","-3.404","0.099","0.08055","0.11963","0.0071","0.25","0.41","4.2","0.0029","1.1"
"CHPE","1_nSPC","-8.6","-12.341"," -4.916","0.18","0.02143","0.73785","9.3e-02","0.093","3.59","3.59","3.3e-01","0.33"
"CHPE","2_TOW","-8.6","-12.341"," -4.916","0.18","0.02143","0.73785","5.3e-05","0.219","0.17","0.93","9.0e-06","0.20"
"CHUB","1_nSPC","-9.1","-11.264"," -6.766","0.43","0.0856","1.3756","1.6e-01","0.16","2.95","2.9","4.6e-01","0.46"
"CHUB","2_TOW","-9.1","-11.264"," -6.766","0.43","0.0856","1.3756","8.8e-05","0.44","0.85","2.0","7.5e-05","0.86"
"CHUD","1_nSPC","-2.5","-2.963","-2.005","0.072","0.04844","0.10415","0.0353","0.035","66.7","67","2.357","2.4"
"CHUD","2_TOW","-2.5","-2.963","-2.005","0.072","0.04844","0.10415","0.0061","0.069"," 2.2","30","0.013","2.1"
"COAY","1_nSPC","-7.5","-8.702","-6.379","0.34","0.2054","0.5325","0.22275","0.22","1.42","1.42","0.31641","0.32"
"COAY","2_TOW","-7.5","-8.702","-6.379","0.34","0.2054","0.5325","0.00079","0.59","0.29","0.84","0.00023","0.50"
"DIHY","1_nSPC","-3.4","-4.882","-1.922","0.14","0.06077","0.24811","0.01018","0.010","3.14","3.1","0.0319","0.032"
"DIHY","2_TOW","-3.4","-4.882","-1.922","0.14","0.06077","0.24811","0.00054","0.016","0.36","2.6","0.0002","0.043"
"ELBI","1_nSPC","-4.6","-5.341","-3.883","0.053","0.03389","0.08253","0.1031","0.10","17.6","18","1.8138","1.8"
"ELBI","2_TOW","-4.6","-5.341","-3.883","0.053","0.03389","0.08253","0.0022","0.18"," 2.5","46","0.0054","8.2"
"EPPO","1_nSPC","-5.2","-6.934","-3.513","0.046","0.02618","0.07511","0.07412","0.074","4.57","4.6","3.4e-01","0.34"
"EPPO","2_TOW","-5.2","-6.934","-3.513","0.046","0.02618","0.07511","0.00016","0.029","0.18","3.9","2.9e-05","0.11"
"EPSP","1_nSPC","-5.5","-7.138","-3.857","0.5","0.1604","1.1424","0.05874","0.059","0.87","0.87","0.0509","0.051"
"EPSP","2_TOW","-5.5","-7.138","-3.857","0.5","0.1604","1.1424","0.00038","0.087","0.27","0.53","0.0001","0.046"
"EPTA","1_nSPC","-5.6","-7.532","-3.723","0.49","0.1199","1.3211","0.03948","0.039","1.49","1.49","5.9e-02","0.059"
"EPTA","2_TOW","-5.6","-7.532","-3.723","0.49","0.1199","1.3211","0.00013","0.033","0.37","0.76","4.9e-05","0.025"
"FICO","1_nSPC","-2.5","-3.165","-1.906","0.11","0.07243","0.17298","0.0354","0.035","0.446","0.45","0.01580","0.016"
"FICO","2_TOW","-2.5","-3.165","-1.906","0.11","0.07243","0.17298","0.0054","0.065","0.039","0.34","0.00021","0.022"
"GROU","1_nSPC","-2.2","-4.43208","-0.06765","8"," 3.359","17.297","0.00278","0.0028","0.75","0.749","2.1e-03","2.1e-03"
"GROU","2_TOW","-2.2","-4.43208","-0.06765","8"," 3.359","17.297","0.00012","0.0011","0.45","0.056","5.4e-05","6.1e-05"
"HILO","1_nSPC","-4.1","-5.706","-2.425","0.16","0.09221","0.26123","0.00782","0.0078","1.98","2.0","0.01547","0.015"
"HILO","2_TOW","-4.1","-5.706","-2.425","0.16","0.09221","0.26123","0.00059","0.0340","0.28","1.7","0.00016","0.057"
"LEOL","1_nSPC","-4.7","-6.097","-3.411","0.097","0.05347","0.16118","0.02595","0.026","4.79","4.8","0.12421","0.12"
"LEOL","2_TOW","-4.7","-6.097","-3.411","0.097","0.05347","0.16118","0.00059","0.063","0.29","3.0","0.00017","0.19"
"LETH","1_nSPC","-6.3","-10.853"," -2.102","0.04","0.006265","0.138291","0.05624","0.0562","1.84","1.8","1.0e-01","0.104"
"LETH","2_TOW","-6.3","-10.853"," -2.102","0.04","0.006265","0.138291","0.00001","0.0054","0.15","3.8","1.6e-06","0.021"
"LEXA","1_nSPC","-8.8","-14.963"," -2.561","0.053","0.007655","0.175647","3.8e-02","0.038","3.028","3.0","1.1e-01","0.114"
"LEXA","2_TOW","-8.8","-14.963"," -2.561","0.053","0.007655","0.175647","5.2e-06","0.034","0.094","1.8","4.9e-07","0.059"
"LUBO","1_nSPC","-5.3","-5.679","-4.963","0.058","0.05221","0.06385","0.608","0.61","13.00","13","7.908","7.9"
"LUBO","2_TOW","-5.3","-5.679","-4.963","0.058","0.05221","0.06385","0.042","0.90"," 0.63","11","0.026","9.8"
"MANI","1_nSPC","-3","-4.410","-1.613","0.12","0.0311","0.3273","0.0042","0.0042","12.32","12","0.05164","0.052"
"MANI","2_TOW","-3","-4.410","-1.613","0.12","0.0311","0.3273","0.0010","0.0209"," 0.72"," 6","0.00074","0.125"
"MOGR","1_nSPC","-7.3","-8.667","-5.748","0.43","0.2030","0.7760","0.30045","0.30","2.32","2.3","0.69772","0.70"
"MOGR","2_TOW","-7.3","-8.667","-5.748","0.43","0.2030","0.7760","0.00024","0.25","0.62","1.4","0.00015","0.37"
"MOSP","1_nSPC","-2.6","-3.258","-1.978","0.036","0.02376","0.05304","0.0276","0.028","584","584","16.152","16"
"MOSP","2_TOW","-2.6","-3.258","-1.978","0.036","0.02376","0.05304","0.0034","0.044"," 23","656"," 0.078","29"
"NAAN","1_nSPC","-3.9","-6.354","-1.550","0.17","0.01497","0.77168","0.02139","0.0214","4.62","4.6","9.9e-02","0.099"
"NAAN","2_TOW","-3.9","-6.354","-1.550","0.17","0.01497","0.77168","0.00013","0.0065","0.44","2.5","5.6e-05","0.016"
"NABR","1_nSPC","-5.6","-6.930","-4.255","0.26","0.1382","0.4700","0.08697","0.087","3.05","3.1","0.2654","0.27"
"NABR","2_TOW","-5.6","-6.930","-4.255","0.26","0.1382","0.4700","0.00086","0.184","0.46","1.8","0.0004","0.32"
"NAHE","1_nSPC","-4.4","-4.836","-3.905","0.074","0.05915","0.09298","0.2210","0.22","9.9"," 9.9","2.1923","2.2"
"NAHE","2_TOW","-4.4","-4.836","-3.905","0.074","0.05915","0.09298","0.0093","0.42","0.9","12.1","0.0083","5.1"
"NASP","1_nSPC","0.13","-2.10059"," 2.32950","0.63","0.06341","2.18521","0.00062","0.00062","1.16","1.2","0.00072","0.00072"
"NASP","2_TOW","0.13","-2.10059"," 2.32950","0.63","0.06341","2.18521","0.00080","0.00071","0.76","1.2","0.00061","0.00085"
"NAUN","1_nSPC","-5.8","-8.034","-3.414","0.49","0.1080","1.3249","0.03959","0.040","2.32","2.32","9.2e-02","0.092"
"NAUN","2_TOW","-5.8","-8.034","-3.414","0.49","0.1080","1.3249","0.00012","0.037","0.47","0.96","5.4e-05","0.036"
"NAVL","1_nSPC","-4.7","-5.351","-4.032","0.14","0.09992","0.19667","0.1614","0.16","4.6","4.6","0.7388","0.74"
"NAVL","2_TOW","-4.7","-5.351","-4.032","0.14","0.09992","0.19667","0.0045","0.32","0.8","5.6","0.0036","1.81"
"PSFL","1_nSPC","-4.1","-5.054","-3.270","0.095","0.06337","0.13749","0.0434","0.043","5.38","5.4","0.23336","0.23"
"PSFL","2_TOW","-4.1","-5.054","-3.270","0.095","0.06337","0.13749","0.0011","0.062","0.49","5.2","0.00052","0.32"
"SCAL","1_nSPC","-5","-7.079","-3.085","0.14","0.0700","0.2667","0.04618","0.046","2.59","2.6","0.11945","0.12"
"SCAL","2_TOW","-5","-7.079","-3.085","0.14","0.0700","0.2667","0.00029","0.043","0.47","3.3","0.00014","0.14"
"SCFO","1_nSPC","-9.5","-11.700"," -7.152","0.1","0.05217","0.18187","0.17173","0.17","1.17","1.2","0.20098","0.2"
"SCFO","2_TOW","-9.5","-11.700"," -7.152","0.1","0.05217","0.18187","0.00046","0.86","0.24","2.3","0.00011","2.0"
"SCGH","1_nSPC","-6","-8.640","-3.449","0.16","0.05981","0.34881","0.02161","0.022","1.30","1.3","0.02810","0.028"
"SCGH","2_TOW","-6","-8.640","-3.449","0.16","0.05981","0.34881","0.00014","0.052","0.15","0.9","0.00002","0.047"
"SCLY","1_nSPC","-6.4","-8.604","-4.399","0.1","0.0345","0.2321","0.0610","0.061","2.10","2.1","1.3e-01","0.13"
"SCLY","2_TOW","-6.4","-8.604","-4.399","0.1","0.0345","0.2321","0.0001","0.059","0.26","2.5","2.7e-05","0.15"
"SCRU","1_nSPC","-5.8","-6.301","-5.397","0.15","0.1284","0.1739","0.5188","0.52","3.04","3.0","1.5769","1.6"
"SCRU","2_TOW","-5.8","-6.301","-5.397","0.15","0.1284","0.1739","0.0068","0.70","0.38","2.5","0.0025","1.8"
"SCSP","1_nSPC","-1","-2.2577"," 0.1755","1.2","0.1014","4.6805","0.0520","0.0520","0.19","0.19","0.00962","0.0096"
"SCSP","2_TOW","-1","-2.2577"," 0.1755","1.2","0.1014","4.6805","0.0016","0.0045","0.50","0.42","0.00081","0.0019"
"SEDU","1_nSPC","-3.9","-5.712","-2.274","0.067","0.03247","0.11582","0.01159","0.012","9.08","9.1","0.10527","0.11"
"SEDU","2_TOW","-3.9","-5.712","-2.274","0.067","0.03247","0.11582","0.00037","0.019","0.53","7.9","0.00019","0.15"
"SPBA","1_nSPC","-4.9","-6.130","-3.732","0.15","0.07828","0.26640","0.04195","0.042","8.1"," 8.1","0.3410","0.34"
"SPBA","2_TOW","-4.9","-6.130","-3.732","0.15","0.07828","0.26640","0.00066","0.083","2.2","14.3","0.0014","1.19"
