"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"AEOC","1_nSPC","-1.8","-3.1081","-0.4331","0.059","0.02734","0.11285","0.00291","0.0029","9.58"," 9.6","0.0279","0.028"
"AEOC","2_TOW","-1.8","-3.1081","-0.4331","0.059","0.02734","0.11285","0.00063","0.0036","0.79","13.5","0.0005","0.049"
"ALSC","1_nSPC","-3.9","-5.617","-2.168","0.14","0.05473","0.29502","0.01142","0.011","0.501","0.50","5.7e-03","0.0057"
"ALSC","2_TOW","-3.9","-5.617","-2.168","0.14","0.05473","0.29502","0.00037","0.018","0.043","0.31","1.6e-05","0.0054"
"APVI","1_nSPC","-4.6","-5.494","-3.641","0.051","0.03733","0.06822","0.0774","0.077","4.8","4.8","0.36956","0.37"
"APVI","2_TOW","-4.6","-5.494","-3.641","0.051","0.03733","0.06822","0.0016","0.135","0.2","3.9","0.00031","0.52"
"AUCH","1_nSPC","-5","-6.828","-3.175","0.24","0.1110","0.4423","0.01160","0.012","0.285","0.29","3.3e-03","0.0033"
"AUCH","2_TOW","-5","-6.828","-3.175","0.24","0.1110","0.4423","0.00012","0.017","0.028","0.12","3.3e-06","0.0021"
"BAVI","1_nSPC","-4.2","-5.152","-3.279","0.11","0.07581","0.14999","0.06322","0.063","2.96","3.0","0.18719","0.19"
"BAVI","2_TOW","-4.2","-5.152","-3.279","0.11","0.07581","0.14999","0.00067","0.044","0.41","3.8","0.00027","0.17"
"CAAB","1_nSPC","-3.3","-4.242","-2.346","0.025","0.01234","0.04733","0.0392","0.039","35","35","1.3544","1.4"
"CAAB","2_TOW","-3.3","-4.242","-2.346","0.025","0.01234","0.04733","0.0017","0.044"," 1","41","0.0018","1.8"
"CAIG","1_nSPC","-4.8","-7.005","-2.628","0.026","0.008005","0.059678","0.01193","0.012","33.09","33","3.9e-01","0.39"
"CAIG","2_TOW","-4.8","-7.005","-2.628","0.026","0.008005","0.059678","0.00016","0.019"," 0.38","14","6.2e-05","0.28"
"CALU","1_nSPC","-6.4","-9.839","-3.003","0.26","0.06141","0.71252","0.04124","0.041","2.01","2.0","8.3e-02","0.083"
"CALU","2_TOW","-6.4","-9.839","-3.003","0.26","0.06141","0.71252","0.00014","0.079","0.39","1.5","5.4e-05","0.120"
"CAME","1_nSPC","-5.1","-5.860","-4.509","0.12","0.09388","0.15554","0.3289","0.33","4.43","4.4","1.45724","1.46"
"CAME","2_TOW","-5.1","-5.860","-4.509","0.12","0.09388","0.15554","0.0017","0.23","0.31","2.6","0.00054","0.59"
"CAML","1_nSPC","-3.3","-4.655","-2.018","0.031","0.01540","0.05751","0.05234","0.052","34.9","35","1.82685","1.83"
"CAML","2_TOW","-3.3","-4.655","-2.018","0.031","0.01540","0.05751","0.00081","0.021"," 1.1","34","0.00085","0.69"
"CAOR","1_nSPC","-5.6","-8.590","-2.803","0.16","0.06254","0.34252","6.9e-02","0.069","1.33","1.3","9.1e-02","0.091"
"CAOR","2_TOW","-5.6","-8.590","-2.803","0.16","0.06254","0.34252","4.8e-05","0.013","0.17","1.1","8.3e-06","0.014"
"CASE","1_nSPC","-3","-4.362","-1.558","0.12","0.01078","0.59110","0.00993","0.0099","82.7","83","0.8206","0.82"
"CASE","2_TOW","-3","-4.362","-1.558","0.12","0.01078","0.59110","0.00042","0.0083"," 9.9","83","0.0042","0.69"
"CEOC","1_nSPC","-4.5","-5.335","-3.560","0.15","0.09678","0.20997","0.0416","0.042","2.7","2.7","0.11363","0.11"
"CEOC","2_TOW","-4.5","-5.335","-3.560","0.15","0.09678","0.20997","0.0013","0.106","0.2","1.3","0.00026","0.14"
"CHFN","1_nSPC","-9","-14.979"," -3.247","0.44","0.0236","2.0509","1.8e-01","0.184","3.55","3.5","6.5e-01","0.652"
"CHFN","2_TOW","-9","-14.979"," -3.247","0.44","0.0236","2.0509","4.7e-06","0.037","0.47","1.0","2.2e-06","0.039"
"CHMC","1_nSPC","-3.7","-4.094","-3.402","0.092","0.07747","0.10783","0.2041","0.20","4.65","4.7","0.9494","0.95"
"CHMC","2_TOW","-3.7","-4.094","-3.402","0.092","0.07747","0.10783","0.0093","0.29","0.41","4.4","0.0038","1.26"
"CHUB","1_nSPC","-6.7","-9.542","-3.772","0.37","0.09906","0.87346","0.05072","0.051","1.61","1.61","8.2e-02","0.082"
"CHUB","2_TOW","-6.7","-9.542","-3.772","0.37","0.09906","0.87346","0.00016","0.118","0.32","0.87","5.1e-05","0.102"
"CHUD","1_nSPC","-3.7","-4.201","-3.175","0.04","0.02821","0.05589","0.0814","0.081","36.2","36","2.9472","2.9"
"CHUD","2_TOW","-3.7","-4.201","-3.175","0.04","0.02821","0.05589","0.0041","0.141"," 1.2","31","0.0051","4.4"
